time,gFx,gFy,gFz,TgF
0.001000,-0.1536,0.4454,0.6837,0.830
0.002000,-0.1577,0.4439,0.6783,0.826
0.002000,-0.1675,0.4427,0.6810,0.829
0.003000,-0.1814,0.4395,0.6944,0.842
0.006000,-0.1931,0.4383,0.7115,0.858
0.009000,-0.2078,0.4368,0.7349,0.880
0.012000,-0.2212,0.4310,0.7606,0.902
0.014000,-0.2344,0.4336,0.7918,0.933
0.016000,-0.2454,0.4322,0.8211,0.960
0.019000,-0.2537,0.4319,0.8475,0.984
0.022000,-0.2598,0.4322,0.8780,1.013
0.024000,-0.2635,0.4302,0.8980,1.030
0.026000,-0.2649,0.4280,0.9183,1.047
0.030000,-0.2649,0.4283,0.9325,1.060
0.031000,-0.2630,0.4283,0.9449,1.070
0.034000,-0.2574,0.4283,0.9576,1.080
0.036000,-0.2534,0.4310,0.9645,1.086
0.039000,-0.2461,0.4332,0.9713,1.092
0.041000,-0.2429,0.4353,0.9764,1.096
0.045000,-0.2376,0.4349,0.9803,1.098
0.047000,-0.2315,0.4346,0.9798,1.097
0.049000,-0.2261,0.4344,0.9815,1.097
0.051000,-0.2246,0.4373,0.9789,1.095
0.054000,-0.2232,0.4361,0.9757,1.092
0.056000,-0.2193,0.4329,0.9728,1.087
0.059000,-0.2176,0.4349,0.9681,1.083
0.062000,-0.2146,0.4341,0.9627,1.078
0.064000,-0.2149,0.4302,0.9564,1.070
0.066000,-0.2107,0.4314,0.9500,1.064
0.069000,-0.2114,0.4305,0.9464,1.061
0.071000,-0.2119,0.4292,0.9400,1.055
0.074000,-0.2092,0.4275,0.9334,1.048
0.076000,-0.2088,0.4239,0.9295,1.043
0.081000,-0.2083,0.4241,0.9229,1.037
0.081000,-0.2078,0.4227,0.9203,1.034
0.084000,-0.2049,0.4224,0.9151,1.029
0.087000,-0.2017,0.4222,0.9115,1.025
0.090000,-0.1992,0.4195,0.9078,1.020
0.091000,-0.1951,0.4214,0.9063,1.018
0.095000,-0.1883,0.4200,0.9041,1.015
0.097000,-0.1795,0.4131,0.9010,1.007
0.099000,-0.1734,0.4122,0.8961,1.001
0.101000,-0.1636,0.4095,0.8919,0.995
0.104000,-0.1568,0.4060,0.8866,0.988
0.106000,-0.1502,0.4073,0.8831,0.984
0.110000,-0.1443,0.4046,0.8763,0.976
0.112000,-0.1387,0.4031,0.8709,0.970
0.114000,-0.1370,0.4019,0.8673,0.966
0.117000,-0.1328,0.4029,0.8656,0.964
0.120000,-0.1311,0.4034,0.8653,0.964
0.121000,-0.1343,0.4056,0.8690,0.968
0.124000,-0.1372,0.4036,0.8709,0.970
0.126000,-0.1411,0.4053,0.8722,0.972
0.129000,-0.1467,0.4073,0.8758,0.977
0.132000,-0.1533,0.4114,0.8814,0.985
0.134000,-0.1587,0.4148,0.8871,0.992
0.136000,-0.1631,0.4139,0.8895,0.995
0.139000,-0.1673,0.4148,0.8968,1.002
0.141000,-0.1721,0.4183,0.9015,1.009
0.145000,-0.1765,0.4170,0.9029,1.010
0.147000,-0.1790,0.4173,0.9034,1.011
0.149000,-0.1809,0.4170,0.9054,1.013
0.151000,-0.1799,0.4146,0.9066,1.013
0.154000,-0.1797,0.4129,0.9095,1.015
0.156000,-0.1824,0.4131,0.9078,1.014
0.159000,-0.1848,0.4122,0.9098,1.016
0.162000,-0.1834,0.4117,0.9110,1.016
0.164000,-0.1821,0.4095,0.9137,1.018
0.167000,-0.1826,0.4080,0.9181,1.021
0.169000,-0.1846,0.4070,0.9198,1.023
0.171000,-0.1863,0.4041,0.9212,1.023
0.174000,-0.1885,0.4031,0.9232,1.025
0.176000,-0.1919,0.4007,0.9254,1.027
0.179000,-0.1961,0.4014,0.9266,1.029
0.182000,-0.1990,0.4031,0.9293,1.032
0.184000,-0.2031,0.4026,0.9315,1.035
0.186000,-0.2063,0.4051,0.9303,1.035
0.189000,-0.2066,0.4056,0.9293,1.035
0.191000,-0.2110,0.4034,0.9281,1.034
0.196000,-0.2088,0.4053,0.9259,1.032
0.197000,-0.2112,0.4051,0.9222,1.029
0.199000,-0.2107,0.4060,0.9198,1.027
0.202000,-0.2100,0.4065,0.9186,1.026
0.204000,-0.2117,0.4073,0.9193,1.028
0.206000,-0.2102,0.4075,0.9183,1.026
0.209000,-0.2100,0.4073,0.9193,1.027
0.212000,-0.2066,0.4078,0.9215,1.029
0.215000,-0.2058,0.4104,0.9261,1.034
0.216000,-0.2053,0.4097,0.9271,1.034
0.219000,-0.2051,0.4114,0.9310,1.038
0.221000,-0.2071,0.4126,0.9283,1.037
0.224000,-0.2056,0.4134,0.9283,1.037
0.226000,-0.2056,0.4131,0.9322,1.040
0.229000,-0.2031,0.4107,0.9293,1.036
0.232000,-0.2022,0.4124,0.9276,1.035
0.235000,-0.1997,0.4112,0.9251,1.032
0.236000,-0.1992,0.4109,0.9247,1.031
0.239000,-0.1953,0.4109,0.9247,1.031
0.241000,-0.1926,0.4095,0.9234,1.028
0.244000,-0.1892,0.4070,0.9207,1.024
0.250000,-0.1865,0.4095,0.9186,1.023
0.250000,-0.1831,0.4075,0.9142,1.017
0.252000,-0.1797,0.4060,0.9134,1.016
0.254000,-0.1787,0.4041,0.9093,1.011
0.256000,-0.1756,0.4012,0.9034,1.004
0.259000,-0.1756,0.3990,0.9010,1.001
0.262000,-0.1773,0.3982,0.8998,1.000
0.264000,-0.1770,0.3965,0.8998,0.999
0.266000,-0.1765,0.3970,0.9012,1.000
0.269000,-0.1821,0.3941,0.9007,1.000
0.271000,-0.1851,0.3955,0.9007,1.001
0.274000,-0.1892,0.3960,0.9039,1.005
0.276000,-0.1939,0.3960,0.9056,1.007
0.280000,-0.1961,0.3982,0.9068,1.010
0.281000,-0.2022,0.4004,0.9066,1.011
0.284000,-0.2046,0.4031,0.9041,1.011
0.286000,-0.2046,0.4058,0.9041,1.012
0.289000,-0.2063,0.4092,0.9010,1.011
0.291000,-0.2085,0.4104,0.8983,1.009
0.294000,-0.2068,0.4082,0.8980,1.008
0.302000,-0.2056,0.4117,0.8939,1.005
0.302000,-0.2053,0.4126,0.8932,1.005
0.302000,-0.2029,0.4122,0.8932,1.004
0.304000,-0.2036,0.4122,0.8912,1.003
0.306000,-0.2000,0.4114,0.8910,1.002
0.309000,-0.2017,0.4114,0.8895,1.001
0.312000,-0.1990,0.4097,0.8856,0.996
0.314000,-0.2000,0.4075,0.8863,0.996
0.317000,-0.1985,0.4063,0.8849,0.994
0.319000,-0.1988,0.4029,0.8868,0.994
0.321000,-0.1961,0.4007,0.8893,0.995
0.324000,-0.1980,0.4031,0.8878,0.995
0.326000,-0.1953,0.4004,0.8946,0.999
0.329000,-0.1997,0.3987,0.8995,1.004
0.332000,-0.1995,0.3973,0.9046,1.008
0.334000,-0.1992,0.3970,0.9078,1.011
0.336000,-0.1988,0.3931,0.9151,1.016
0.339000,-0.2017,0.3941,0.9229,1.024
0.341000,-0.2027,0.3934,0.9278,1.028
0.344000,-0.2068,0.3921,0.9315,1.032
0.347000,-0.2058,0.3943,0.9376,1.038
0.349000,-0.2063,0.3921,0.9447,1.043
0.351000,-0.2056,0.3946,0.9466,1.046
0.354000,-0.2029,0.3926,0.9474,1.045
0.356000,-0.2009,0.3894,0.9508,1.047
0.359000,-0.2000,0.3902,0.9500,1.046
0.362000,-0.1992,0.3924,0.9481,1.045
0.364000,-0.1944,0.3904,0.9493,1.045
0.366000,-0.1917,0.3877,0.9459,1.040
0.369000,-0.1878,0.3870,0.9420,1.036
0.371000,-0.1843,0.3858,0.9415,1.034
0.374000,-0.1780,0.3855,0.9359,1.028
0.376000,-0.1731,0.3814,0.9308,1.021
0.379000,-0.1704,0.3787,0.9242,1.013
0.382000,-0.1660,0.3789,0.9215,1.010
0.384000,-0.1626,0.3767,0.9149,1.003
0.386000,-0.1575,0.3746,0.9098,0.996
0.389000,-0.1533,0.3728,0.9083,0.994
0.391000,-0.1565,0.3797,0.9029,0.992
0.394000,-0.1621,0.3850,0.8976,0.990
0.397000,-0.1629,0.3848,0.8963,0.989
0.399000,-0.1682,0.3816,0.8993,0.991
0.401000,-0.1687,0.3792,0.9017,0.993
0.404000,-0.1716,0.3765,0.9015,0.992
0.406000,-0.1748,0.3721,0.8976,0.987
0.409000,-0.1753,0.3721,0.8949,0.985
0.413000,-0.1812,0.3755,0.8875,0.981
0.415000,-0.1865,0.3802,0.8802,0.977
0.417000,-0.1885,0.3807,0.8741,0.972
0.419000,-0.1897,0.3836,0.8741,0.973
0.421000,-0.1890,0.3870,0.8768,0.977
0.424000,-0.1880,0.3853,0.8814,0.980
0.426000,-0.1858,0.3868,0.8878,0.986
0.429000,-0.1829,0.3875,0.8934,0.991
0.432000,-0.1826,0.3870,0.8958,0.993
