time,gFx,gFy,gFz,TgF
0.1,-0.2178,0.7215,0.7147,1.04
0.2,-0.1321,0.7005,0.8048,1.08
0.3,-0.1021,0.6763,0.5794,0.9
0.4,-0.0608,0.668,0.6854,0.96
0.5,-0.1502,0.741,0.8097,1.11
0.6,-0.1192,0.6133,0.7352,0.96
0.7,0.0361,0.64,0.6859,0.94
0.8,0.145,0.6458,0.8446,1.07
0.9,0.2119,0.657,0.6944,0.98
1,0.1487,0.7887,0.9073,1.21
1.1,0.2593,0.5377,1.4955,1.61
1.2,-0.0779,0.5076,0.9989,1.12
1.3,0.2644,0.3184,0.9906,1.07
1.4,0.211,0.4356,0.7015,0.85
1.5,0.0488,0.4168,0.7938,0.9
1.6,-0.0315,0.3116,0.786,0.85
1.7,-0.2068,0.3709,0.8055,0.91
1.8,-0.4581,0.2957,0.7073,0.89
1.9,-0.7044,0.2266,0.6209,0.97
2,-0.909,0.3684,0.6146,1.16
2.1,-0.8751,0.25,0.554,1.07
2.2,-0.6885,0.1311,0.564,0.9
2.3,-0.7686,0.0662,0.3724,0.86
2.4,-1.1207,-0.0181,0.5206,1.24
2.5,-0.9513,-0.0264,0.4598,1.06
2.6,-1.0875,-0.0418,0.3199,1.13
2.7,-0.8665,0.0151,0.3272,0.93
2.8,-0.9305,0.01,0.305,0.98
2.9,-0.9564,-0.0037,0.3528,1.02
3,-0.9337,-0.0144,0.3487,1
3.1,-0.9449,-0.0232,0.3631,1.01
3.2,-0.9923,-0.0085,0.357,1.05
3.3,-0.9527,0.012,0.3912,1.03
3.4,-0.9557,0.0195,0.3409,1.01
3.5,-0.9417,0.0413,0.3462,1
3.6,-0.9542,0.0413,0.4017,1.04
3.7,-0.9234,0.0483,0.3958,1.01
3.8,-0.898,0.054,0.3753,0.97
3.9,-0.9334,0.0593,0.3997,1.02
4,-0.9361,0.0549,0.4419,1.04
4.1,-0.9137,0.0608,0.3572,0.98
4.2,-0.9278,0.0508,0.4153,1.02
4.3,-0.9291,0.0613,0.4434,1.03
4.4,-0.9303,0.0635,0.4441,1.03
4.5,-0.9019,0.0864,0.4324,1
4.6,-0.9337,0.0732,0.4302,1.03
4.7,-0.9425,0.0649,0.4002,1.03
4.8,-0.9295,0.0628,0.4224,1.02
4.9,-0.9239,0.0569,0.4546,1.03
5,-0.9234,0.0701,0.429,1.02
5.1,-0.9317,0.0662,0.4485,1.04
5.2,-0.9295,0.0945,0.4244,1.03
5.3,-0.9371,0.095,0.4278,1.03
5.4,-0.9312,0.1316,0.4317,1.03
5.5,-0.8656,0.1516,0.4454,0.99
5.6,-0.974,0.2117,0.4605,1.1
5.7,-0.8695,0.2107,0.4703,1.01
5.8,-0.846,0.1504,0.5201,1
5.9,-0.8702,0.1406,0.5252,1.03
6,-0.9022,0.168,0.459,1.03
6.1,-0.8841,0.1531,0.4966,1.03
6.2,-0.8919,0.1353,0.4974,1.03
6.3,-0.9019,0.1419,0.4949,1.04
6.4,-0.92,0.1409,0.4786,1.05
6.5,-0.9015,0.1384,0.5042,1.04
6.6,-0.8868,0.1587,0.5127,1.04
6.7,-0.8998,0.1487,0.4852,1.03
6.8,-0.8795,0.1511,0.4539,1
6.9,-0.8761,0.1548,0.4561,1
7,-0.8878,0.147,0.4495,1.01
7.1,-0.9039,0.1367,0.5198,1.05
7.2,-0.888,0.1477,0.5147,1.04
7.3,-0.8897,0.1402,0.504,1.03
7.4,-0.8724,0.1509,0.4866,1.01
7.5,-0.8661,0.1533,0.4795,1
7.6,-0.8795,0.1497,0.5027,1.02
7.7,-0.888,0.1502,0.5198,1.04
7.8,-0.8995,0.1533,0.4918,1.04
7.9,-0.89,0.1563,0.4893,1.03
8,-0.8805,0.1546,0.4922,1.02
8.1,-0.8888,0.1492,0.4949,1.03
8.2,-0.8617,0.1568,0.4788,1
8.3,-0.8697,0.157,0.5284,1.03
8.4,-0.8253,0.1521,0.3511,0.91
8.5,-0.3076,0.1497,0.3692,0.5
8.6,-0.0193,0.0039,0.0254,0.03
8.7,-0.0203,0.0032,0.0476,0.05
8.8,-0.0205,0.0061,0.0967,0.1
8.9,-0.0496,-0.1045,0.0073,0.12
9,-0.3677,0.1231,1.34,1.39
9.1,-0.3064,0.1113,0.933,0.99
9.2,-0.3211,0.1275,0.9378,1
9.3,-0.324,0.124,0.9435,1.01
9.4,-0.3233,0.127,0.954,1.02
9.5,-0.3218,0.1282,0.9581,1.02
9.6,-0.3247,0.1282,0.9562,1.02
9.7,-0.3196,0.127,0.9542,1.01
9.8,-0.3216,0.1284,0.9549,1.02
9.9,-0.3245,0.124,0.9493,1.01
