time,x,y,z,TgF,is_fall
1.5,-0.1878,0.6675,0.8355,1.09,0
1.6,-0.1734,0.6361,0.7838,1.02,0
1.7,-0.1409,0.6087,0.8228,1.03,0
1.8,-0.1729,0.6407,0.8016,1.04,0
1.9,-0.2119,0.6961,0.7169,1.02,0
2,-0.2027,0.7088,0.6558,0.99,0
2.1,-0.2381,0.7406,0.744,1.08,0
2.2,-0.0107,0.6378,0.6778,0.93,0
2.3,-0.1599,0.7833,0.6702,1.04,0
2.4,0.0503,0.6771,0.6141,0.92,0
2.5,-0.0359,0.7391,0.5777,0.94,0
2.6,-0.0142,0.8394,0.4637,0.96,0
2.7,-0.0847,0.7501,0.6556,1,0
2.8,0.0899,0.7386,0.7095,1.03,0
2.9,-0.106,0.8043,0.816,1.15,0
3,-0.2754,0.7459,0.5967,0.99,0
3.1,-0.0662,0.8951,0.5264,1.04,0
3.2,0.0408,0.8695,0.294,0.92,0
3.3,0.0686,0.825,0.5342,0.99,0
3.4,0.0935,0.8104,0.4905,0.95,0
3.5,0.0552,0.8866,0.4236,0.98,0
3.6,-0.0322,0.9166,0.4261,1.01,0
3.7,0.0759,0.9381,0.4561,1.05,0
3.8,0.0967,0.9435,0.2928,0.99,0
3.9,0.1665,0.9542,0.2791,1.01,0
4,0.2029,0.9066,0.2857,0.97,0
4.1,0.2481,0.9334,0.2915,1.01,0
4.2,0.2061,0.9442,0.3086,1.01,0
4.3,0.166,1.0257,-0.002,1.04,0
4.4,0.1238,0.9886,0.155,1.01,0
4.5,0.0842,1.004,0.2295,1.03,0
4.6,-0.1365,0.9642,0.2993,1.02,0
4.7,-0.0403,0.9227,0.041,0.92,0
4.8,-0.0361,0.9818,0.3316,1.04,0
4.9,-0.273,1.1149,0.2696,1.18,0
5,-0.291,0.9115,-0.0369,0.96,0
5.1,-0.3047,0.9564,0.0737,1.01,0
5.2,-0.1499,0.9581,0.1438,0.98,0
5.3,-0.2954,0.9217,0.2112,0.99,0
5.4,-0.2156,1.0257,0.251,1.08,0
5.5,-0.4358,0.8719,0.0359,0.98,0
5.6,-0.4234,0.9229,0.1958,1.03,0
5.7,-0.4512,0.919,0.1636,1.04,0
5.8,-0.3284,0.8402,0.1006,0.91,0
5.9,-0.5516,0.8243,0.1348,1,0
6,-0.5767,0.8646,0.2493,1.07,0
6.1,-0.4573,0.9242,0.3655,1.09,0
6.2,-0.4603,0.9422,0.1983,1.07,0
6.3,-0.3909,0.8775,0.1218,0.97,0
6.4,-0.5245,0.8394,0.1506,1,0
6.5,-0.5738,0.8372,0.1907,1.03,0
6.6,-0.4961,0.699,0.3089,0.91,0
6.7,-0.5919,0.6636,0.5342,1.04,0
6.8,-0.4915,0.6741,0.3152,0.89,0
6.9,-0.6229,0.6075,0.4598,0.98,0
7,-0.5919,0.5496,0.7918,1.13,0
7.1,-0.616,0.5284,0.8109,1.15,0
7.2,-0.5037,0.6002,0.6568,1.02,0
7.3,-0.4598,0.6441,0.6204,1.01,0
7.4,-0.5108,0.6353,0.6011,1.01,0
7.5,-0.4966,0.6356,0.5965,1,0
7.6,-0.4771,0.6329,0.5591,0.97,0
7.7,-0.5926,0.6209,0.5645,1.03,0
7.8,-0.5723,0.6285,0.598,1.04,0
7.9,-0.5677,0.6334,0.6046,1.04,0
8,-0.5699,0.6426,0.6194,1.06,0
8.1,-0.5049,0.6668,0.4776,0.96,0
8.2,-0.4986,0.6822,0.4446,0.95,0
8.3,-0.5267,0.6441,0.6004,1.03,0
8.4,-0.576,0.6397,0.5711,1.03,0
8.5,-0.5626,0.6675,0.5665,1.04,0
8.6,-0.5445,0.6795,0.5357,1.02,0
8.7,-0.4942,0.6898,0.4876,0.98,0
8.8,-0.4793,0.7059,0.4935,0.99,0
8.9,-0.511,0.6976,0.5003,1,0
9,-0.5494,0.7022,0.523,1.03,0
9.1,-0.5543,0.6966,0.5162,1.03,0
9.2,-0.5701,0.7034,0.5157,1.04,0
9.3,-0.5171,0.7218,0.5318,1.03,0
9.4,-0.5767,0.6824,0.5377,1.04,0
9.5,-0.5694,0.679,0.5235,1.03,0
9.6,-0.5396,0.6827,0.4119,0.96,1
9.7,-0.5435,0.556,0.1431,0.79,1
9.8,0.0789,0.0935,0.0403,0.13,1
9.9,-0.0168,-0.0034,0.0271,0.03,1
10,-0.0173,-0.0063,0.052,0.06,1
10.1,-0.2852,0.5408,0.7428,0.96,1
10.2,-0.0532,0.1785,0.1445,0.24,1
