time,gFx,gFy,gFz,TgF
0.002000,-0.1533,0.4668,0.8734,1.002
0.003000,-0.1609,0.4646,0.8612,0.992
0.003000,-0.1609,0.4588,0.8529,0.982
0.003000,-0.1599,0.4495,0.8492,0.974
0.003000,-0.1577,0.4458,0.8502,0.973
0.003000,-0.1560,0.4400,0.8565,0.975
0.004000,-0.1516,0.4378,0.8621,0.979
0.010000,-0.1494,0.4344,0.8758,0.989
0.010000,-0.1502,0.4327,0.8900,1.001
0.010000,-0.1506,0.4302,0.9015,1.010
0.013000,-0.1477,0.4261,0.9137,1.019
0.015000,-0.1497,0.4273,0.9249,1.030
0.018000,-0.1506,0.4229,0.9327,1.035
0.022000,-0.1528,0.4217,0.9371,1.039
0.023000,-0.1528,0.4214,0.9400,1.041
0.025000,-0.1538,0.4192,0.9405,1.041
0.029000,-0.1516,0.4185,0.9420,1.042
0.030000,-0.1536,0.4212,0.9352,1.037
0.034000,-0.1563,0.4224,0.9288,1.032
0.035000,-0.1577,0.4244,0.9273,1.032
0.038000,-0.1580,0.4275,0.9229,1.029
0.041000,-0.1565,0.4283,0.9188,1.026
0.043000,-0.1533,0.4266,0.9071,1.014
0.047000,-0.1675,0.4288,0.8980,1.009
0.049000,-0.1653,0.4349,0.8917,1.006
0.050000,-0.1631,0.4378,0.8873,1.003
0.054000,-0.1590,0.4410,0.8834,1.000
0.056000,-0.1528,0.4405,0.8819,0.998
0.058000,-0.1531,0.4405,0.8812,0.997
0.060000,-0.1511,0.4385,0.8773,0.992
0.063000,-0.1497,0.4390,0.8763,0.991
0.065000,-0.1465,0.4356,0.8763,0.990
0.068000,-0.1423,0.4317,0.8763,0.987
0.071000,-0.1402,0.4266,0.8739,0.982
0.073000,-0.1399,0.4202,0.8685,0.975
0.078000,-0.1355,0.4180,0.8670,0.972
0.078000,-0.1321,0.4141,0.8646,0.968
0.080000,-0.1353,0.4090,0.8629,0.964
0.083000,-0.1380,0.4024,0.8607,0.960
0.085000,-0.1426,0.3977,0.8563,0.955
0.088000,-0.1411,0.3953,0.8516,0.949
0.090000,-0.1441,0.3955,0.8451,0.944
0.093000,-0.1441,0.3977,0.8426,0.943
0.095000,-0.1428,0.3992,0.8448,0.945
0.098000,-0.1409,0.3985,0.8543,0.953
0.100000,-0.1392,0.4004,0.8565,0.956
0.103000,-0.1377,0.4019,0.8609,0.960
0.106000,-0.1353,0.4024,0.8621,0.961
0.108000,-0.1384,0.4053,0.8631,0.964
0.110000,-0.1358,0.4078,0.8653,0.966
0.112000,-0.1377,0.4085,0.8668,0.968
0.115000,-0.1372,0.4122,0.8685,0.971
0.118000,-0.1380,0.4090,0.8714,0.972
0.121000,-0.1423,0.4114,0.8761,0.978
0.123000,-0.1431,0.4126,0.8773,0.980
0.125000,-0.1455,0.4134,0.8846,0.987
0.128000,-0.1485,0.4148,0.8888,0.992
0.131000,-0.1497,0.4151,0.8941,0.997
0.133000,-0.1494,0.4165,0.8976,1.001
0.135000,-0.1516,0.4151,0.9019,1.004
0.140000,-0.1543,0.4151,0.9024,1.005
0.140000,-0.1587,0.4153,0.9037,1.007
0.143000,-0.1614,0.4143,0.9049,1.008
0.145000,-0.1655,0.4153,0.9056,1.010
0.148000,-0.1675,0.4156,0.9056,1.010
0.151000,-0.1704,0.4170,0.9073,1.013
0.153000,-0.1721,0.4156,0.9081,1.013
0.156000,-0.1719,0.4165,0.9044,1.010
0.159000,-0.1724,0.4173,0.9019,1.009
0.161000,-0.1712,0.4185,0.9000,1.007
0.163000,-0.1682,0.4180,0.8988,1.005
0.165000,-0.1675,0.4183,0.8941,1.001
0.168000,-0.1668,0.4180,0.8912,0.998
0.171000,-0.1663,0.4185,0.8897,0.997
0.173000,-0.1616,0.4205,0.8905,0.998
0.175000,-0.1599,0.4207,0.8861,0.994
0.178000,-0.1570,0.4195,0.8839,0.991
0.181000,-0.1558,0.4214,0.8829,0.991
0.184000,-0.1550,0.4224,0.8836,0.992
0.185000,-0.1494,0.4217,0.8846,0.991
0.188000,-0.1472,0.4229,0.8861,0.993
0.190000,-0.1477,0.4212,0.8893,0.995
0.193000,-0.1465,0.4187,0.8941,0.998
0.195000,-0.1455,0.4187,0.8993,1.003
0.198000,-0.1472,0.4165,0.9046,1.007
0.200000,-0.1475,0.4153,0.9081,1.009
0.204000,-0.1509,0.4148,0.9134,1.014
0.206000,-0.1543,0.4119,0.9203,1.020
0.208000,-0.1528,0.4109,0.9239,1.023
0.210000,-0.1533,0.4092,0.9286,1.026
0.214000,-0.1546,0.4087,0.9298,1.027
0.215000,-0.1511,0.4095,0.9349,1.032
0.218000,-0.1492,0.4080,0.9381,1.034
0.221000,-0.1455,0.4075,0.9408,1.036
0.223000,-0.1455,0.4075,0.9408,1.036
0.226000,-0.1431,0.4075,0.9457,1.040
0.228000,-0.1416,0.4090,0.9464,1.041
0.231000,-0.1404,0.4080,0.9503,1.044
0.234000,-0.1397,0.4082,0.9520,1.045
0.235000,-0.1384,0.4092,0.9508,1.044
0.238000,-0.1367,0.4100,0.9532,1.047
0.240000,-0.1348,0.4092,0.9564,1.049
0.243000,-0.1350,0.4112,0.9547,1.048
0.245000,-0.1316,0.4107,0.9559,1.049
0.247000,-0.1328,0.4134,0.9564,1.050
0.251000,-0.1318,0.4126,0.9566,1.050
0.254000,-0.1292,0.4131,0.9552,1.049
0.257000,-0.1294,0.4131,0.9557,1.049
0.258000,-0.1294,0.4168,0.9569,1.052
0.260000,-0.1282,0.4158,0.9554,1.050
0.263000,-0.1277,0.4175,0.9530,1.048
0.265000,-0.1245,0.4175,0.9540,1.049
0.268000,-0.1228,0.4178,0.9474,1.043
0.271000,-0.1231,0.4170,0.9449,1.040
0.273000,-0.1221,0.4183,0.9442,1.040
0.275000,-0.1206,0.4175,0.9398,1.035
0.280000,-0.1192,0.4183,0.9383,1.034
0.280000,-0.1192,0.4185,0.9352,1.031
0.284000,-0.1223,0.4175,0.9342,1.031
0.285000,-0.1223,0.4195,0.9317,1.029
0.290000,-0.1248,0.4187,0.9298,1.027
0.290000,-0.1240,0.4178,0.9293,1.026
0.293000,-0.1262,0.4192,0.9269,1.025
0.295000,-0.1287,0.4163,0.9227,1.020
0.298000,-0.1250,0.4187,0.9232,1.021
0.300000,-0.1272,0.4178,0.9210,1.019
0.304000,-0.1265,0.4165,0.9207,1.018
0.306000,-0.1289,0.4190,0.9198,1.019
0.308000,-0.1272,0.4192,0.9193,1.018
0.310000,-0.1294,0.4187,0.9198,1.019
0.314000,-0.1304,0.4205,0.9166,1.017
0.315000,-0.1289,0.4197,0.9154,1.015
0.318000,-0.1292,0.4219,0.9164,1.017
0.321000,-0.1294,0.4195,0.9168,1.017
0.324000,-0.1282,0.4200,0.9161,1.016
0.325000,-0.1272,0.4212,0.9161,1.016
0.328000,-0.1243,0.4205,0.9144,1.014
0.330000,-0.1248,0.4183,0.9137,1.013
0.332000,-0.1226,0.4195,0.9122,1.011
0.336000,-0.1206,0.4180,0.9112,1.010
0.338000,-0.1209,0.4153,0.9107,1.008
