time,x,y,z,TgF,is_fall
0.1,0.059698944,0.916944153,0.391105446,0.998656104,0
0.2,0.022184613,0.938066186,0.438301527,1.035648857,0
0.3,0.009158525,0.943699025,0.423730183,1.034504227,0
0.4,-0.022156453,0.954002189,0.473936132,1.065470104,0
0.5,0.034195819,0.919654882,0.441451862,1.020693001,0
0.6,0.033739803,0.952194329,0.428713823,1.044800439,0
0.7,0.016782817,0.963547089,0.443443022,1.060823439,0
0.8,-0.007830046,0.938463136,0.40084811,1.020516327,0
0.9,-0.029413342,0.931414509,0.416106445,1.020559996,0
1,0.002362249,0.967271292,0.459523651,1.07087876,0
1.1,0.034300042,0.929379168,0.445759593,1.031321359,0
1.2,0.018099084,0.941046515,0.426669354,1.033413208,0
1.3,-0.011648944,0.96077762,0.434818968,1.054654857,0
1.4,0.021191943,0.935594961,0.420733056,1.026062052,0
1.5,0.017640859,0.939206017,0.430184556,1.033188218,0
1.6,-0.003583994,0.962953138,0.435986894,1.057060151,0
1.7,-0.006127203,0.948774425,0.438748537,1.045328049,0
1.8,0.015715481,0.946410323,0.443205512,1.045165347,0
1.9,0.012006864,0.94545244,0.443980476,1.044577974,0
2,0.012604866,0.943205289,0.447485286,1.044048936,0
2.1,0.034902347,0.89867228,0.515633442,1.036681189,0
2.2,0.073517721,0.970613361,0.563164098,1.124566118,0
2.3,-0.132764791,1.150753125,0.691970398,1.349326601,0
2.4,0.081965302,0.87960312,0.488398958,1.009432267,0
2.5,0.132184779,0.837695709,0.269616595,0.889887647,0
2.6,0.109823017,0.885322256,0.40889687,0.981352761,0
2.7,0.139877046,0.927544245,0.327091692,0.993424828,0
2.8,0.171582425,0.90984112,0.387126312,1.003552776,0
2.9,0.170484014,0.909338973,0.353562696,0.990438664,0
3,0.162508309,0.936911263,0.303004862,0.998009825,1
3.1,0.171790019,0.938690715,0.349882779,1.016400525,1
3.2,0.182584645,0.959063086,0.362249463,1.041327916,1
3.3,0.176438883,0.978014217,0.357114031,1.056017481,1
3.4,0.141042729,0.896117605,0.287157341,0.951514136,1
3.5,0.137070491,0.711084066,0.177243132,0.745549459,1
3.6,0.300712196,0.517846035,0.146724595,0.616539088,1
3.7,0.110405128,0.147629539,-0.010074477,0.18462196,1
3.8,-0.037406947,-0.040552724,0.026019014,0.060998297,1
3.9,-7.979416359,0.479153041,2.536821396,8.386664168,1
4,-0.28351497,0.012440556,0.009541989,0.283948156,1
4.1,0.130775081,0.042008186,0.02459742,0.139541544,1
4.2,0.595571543,-0.171808257,4.28948619,4.334041453,1
4.3,-0.386652178,0.599636457,0.641060528,0.959177975,1
4.4,-0.007483235,0.224271362,1.03705329,1.061052859,1
4.5,-0.080699955,0.260345214,1.038877675,1.07403861,0
4.6,-0.081912721,0.264441086,1.002763778,1.040275914,0
4.7,-0.112667433,0.261103307,0.977572269,1.018094509,0
4.8,-0.08882722,0.26738857,0.985610926,1.025093079,0
4.9,-0.084260156,0.271235008,1.004498703,1.043880188,0
5,-0.040432097,0.235755097,1.008105852,1.036094894,0
5.1,-0.098571525,0.248705911,0.98788948,1.023472814,0
5.2,-0.062770509,0.286364311,1.015246538,1.056726165,0
5.3,-0.085933173,0.260356667,0.982826833,1.020352237,0
5.4,-0.190800386,0.251665111,0.95621296,1.007017051,0
5.5,-0.176939892,0.231070677,0.897772973,0.943767818,0
5.6,-0.172629215,0.238725205,1.01774562,1.059526647,0
5.7,-0.106813445,0.146723249,1.073970249,1.089196456,0
5.8,-0.06011143,-0.015712548,0.965244878,0.967242443,0
5.9,-0.286213089,-0.107650734,1.293444866,1.329099783,0
6,-0.27732629,-0.080997395,1.155294252,1.190871638,0
6.1,-0.22155638,0.019079137,1.195805376,1.216306598,0
6.2,-0.212381535,0.104515235,1.02280147,1.049834367,0
6.3,-0.32282439,0.174837992,0.883876943,0.957090571,0
6.4,-0.378787448,0.255049163,0.756341677,0.883505936,0
6.5,-0.501580508,0.342102242,0.676178506,0.908754269,0
6.6,-0.517403939,0.493044966,0.618253528,0.945006666,0
6.7,-0.396253708,0.43196731,0.539374641,0.796578785,0
6.8,-0.652490879,0.451691926,0.772845949,1.107727766,0
6.9,-0.504737265,0.439783539,0.865560701,1.094241562,0
7,-0.394704941,0.433179148,0.969444319,1.132809981,0
7.1,-0.363760533,0.482227484,0.844579732,1.038354465,0
7.2,-0.170275448,0.522567048,0.833629595,0.998503054,0
7.3,-0.294310554,0.81763408,0.692381358,1.111096817,0
7.4,-0.318223619,0.723356236,0.757698794,1.09481413,0
7.5,-0.159124918,0.671951472,0.691097532,0.976962291,0
7.6,-0.205893824,0.616718464,0.777785009,1.013747232,0
7.7,-0.165400111,0.632904853,0.746696934,0.992714491,0
7.8,-0.095271148,0.674102754,0.77174692,1.029118275,0
7.9,-0.09649556,0.710844583,0.787013348,1.06489503,0
