time,gFx,gFy,gFz,TgF,is_fall
0.1,-0.2595,0.5987,0.816,1.04,0
0.2,-0.2366,0.5784,0.804,1.02,0
0.3,-0.1829,0.5662,0.8568,1.04,0
0.4,-0.1836,0.5604,0.8495,1.03,0
0.5,-0.0735,0.5035,0.8387,0.98,0
0.6,-0.02,0.4725,0.9146,1.03,0
0.7,-0.0684,0.4964,0.8951,1.03,0
0.8,-0.0393,0.4837,0.8709,1,0
0.9,-0.0339,0.4749,0.8936,1.01,0
1,-0.0215,0.47,0.8932,1.01,0
1.1,-0.0369,0.4756,0.9041,1.02,0
1.2,-0.0298,0.4678,0.8961,1.01,0
1.3,-0.0349,0.4678,0.8878,1,0
1.4,-0.0369,0.4739,0.8968,1.02,0
1.5,-0.0278,0.4683,0.9012,1.02,0
1.6,-0.0322,0.4715,0.8988,1.02,0
1.7,-0.0266,0.4695,0.8956,1.01,0
1.8,-0.0325,0.4688,0.8976,1.01,0
1.9,-0.0295,0.4732,0.8966,1.01,0
2,-0.0352,0.4749,0.899,1.02,0
2.1,-0.0359,0.47,0.899,1.02,0
2.2,-0.0349,0.4725,0.8998,1.02,0
2.3,-0.0374,0.4717,0.8971,1.01,0
2.4,-0.0386,0.4729,0.898,1.02,0
2.5,-0.0303,0.47,0.9046,1.02,0
2.6,-0.0315,0.4639,0.9027,1.02,0
2.7,-0.0386,0.4766,0.8973,1.02,0
2.8,-0.0313,0.4598,0.9002,1.01,0
2.9,-0.0364,0.4678,0.8946,1.01,0
3,-0.0327,0.4625,0.8963,1.01,0
3.1,-0.0466,0.4612,0.9005,1.01,0
3.2,-0.0315,0.4439,0.9073,1.01,0
3.3,-0.0435,0.4561,0.922,1.03,0
3.4,-0.0447,0.4505,0.8951,1,0
3.5,-0.1174,0.4295,0.8893,0.99,0
3.6,-0.0789,0.2884,1.0353,1.08,0
3.7,-0.1167,0.3255,0.9439,1.01,0
3.8,-0.0979,0.3457,0.9376,1,0
3.9,-0.1128,0.2776,1.0272,1.07,0
4,-0.0896,0.3267,0.9115,0.97,0
4.1,-0.1245,0.3706,1.0086,1.08,0
4.2,-0.0901,0.3965,0.8976,0.99,0
4.3,-0.1209,0.3299,1.0409,1.1,0
4.4,-0.1387,0.3736,0.8104,0.9,0
4.5,-0.1621,0.312,0.9171,0.98,0
4.6,-0.1179,0.283,0.9776,1.02,0
4.7,-0.0903,0.2874,0.8714,0.92,0
4.8,-0.0767,0.2852,1.0155,1.06,0
4.9,-0.0676,0.2862,0.9911,1.03,0
5,-0.0391,0.2845,0.9569,1,0
5.1,-0.0308,0.2732,0.974,1.01,0
5.2,-0.0581,0.2996,0.963,1.01,0
5.3,-0.0454,0.2884,0.9852,1.03,0
5.4,-0.0452,0.2952,0.9425,0.99,0
5.5,-0.0501,0.2879,0.9659,1.01,0
5.6,-0.0466,0.292,0.9691,1.01,0
5.7,-0.0654,0.2842,0.972,1.01,0
5.8,-0.0584,0.284,0.9801,1.02,0
5.9,-0.0596,0.3081,0.9498,1,0
6,-0.0386,0.334,0.9769,1.03,0
6.1,0.0017,0.3116,0.9376,0.99,0
6.2,-0.0056,0.303,0.9654,1.01,0
6.3,-0.0051,0.3011,0.985,1.03,0
6.4,-0.0134,0.3167,0.9571,1.01,0
6.5,0.0083,0.3147,0.9522,1,0
6.6,0.0098,0.3059,0.9696,1.02,0
6.7,-0.0032,0.316,0.9686,1.02,0
6.8,0.0049,0.3103,0.9584,1.01,0
6.9,0.0056,0.3123,0.9669,1.02,0
7,0.0095,0.3069,0.9649,1.01,0
7.1,0.0142,0.2981,0.9579,1,0
7.2,0.0042,0.3055,0.9544,1,0
7.3,0.0061,0.3047,0.9637,1.01,0
7.4,0.0037,0.3098,0.9657,1.01,0
7.5,0.0056,0.3084,0.9632,1.01,0
7.6,-0.0054,0.3098,0.9681,1.02,0
7.7,0.001,0.3052,0.9696,1.02,0
7.8,0.0029,0.3076,0.9615,1.01,0
7.9,0.0005,0.3138,0.9613,1.01,0
8,0.0046,0.3076,0.9671,1.01,0
8.1,0.0059,0.3116,0.9623,1.01,0
8.2,0.0049,0.3101,0.972,1.02,0
8.3,0.0103,0.3123,0.9671,1.02,0
8.4,0.009,0.3152,0.9459,1,0
8.5,0.0071,0.3152,0.951,1,0
8.6,0.0112,0.3103,0.9701,1.02,0
8.7,0.0044,0.3164,0.9603,1.01,0
8.8,0.002,0.3133,0.9657,1.02,0
8.9,0.0098,0.3138,0.9691,1.02,0
9,0.0029,0.316,0.9615,1.01,0
9.1,0.0037,0.3125,0.9562,1.01,0
9.2,0.009,0.3164,0.9493,1,0
9.3,0.0095,0.3262,0.9806,1.03,0
9.4,0.0063,0.3118,0.9703,1.02,0
9.5,0.0093,0.3142,0.9618,1.01,0
9.6,0.0068,0.3199,0.9625,1.01,0
9.7,0.0056,0.3174,0.9659,1.02,0
9.8,0.0044,0.3213,0.9701,1.02,0
9.9,0.0098,0.3172,0.9596,1.01,0
10,0.0105,0.3155,0.9557,1.01,0
10.1,0.0063,0.3177,0.9574,1.01,0
10.2,0.009,0.3162,0.9596,1.01,0
10.3,0.01,0.3194,0.962,1.01,0
10.4,0.001,0.3233,0.9625,1.02,0
10.5,0.0073,0.3216,0.9667,1.02,0
10.6,0.009,0.3186,0.9703,1.02,0
10.7,0.0146,0.324,0.9679,1.02,0
10.8,0.02,0.3225,0.9544,1.01,0
10.9,0.0176,0.325,0.9403,1,0
11,0.0168,0.3343,0.9691,1.03,0
11.1,0.0315,0.3479,0.982,1.04,0
11.2,0.0686,0.3611,0.9161,0.99,0
11.3,0.0703,0.3711,0.9566,1.03,0
11.4,0.0872,0.3985,0.9305,1.02,0
11.5,0.1409,0.4158,0.8685,0.97,0
11.6,0.1441,0.4395,0.8582,0.97,0
11.7,0.1904,0.46,0.8497,0.98,0
11.8,0.1953,0.4556,0.8809,1.01,0
11.9,0.1912,0.4568,0.8773,1.01,0
12,0.1919,0.449,0.8919,1.02,0
12.1,0.19,0.4527,0.8873,1.01,0
12.2,0.1939,0.4522,0.8712,1,0
12.3,0.1995,0.4493,0.8683,1,0
12.4,0.2066,0.4353,0.8473,0.97,0
12.5,0.1384,0.4275,0.8946,1,0
12.6,0.1353,0.428,0.8873,0.99,0
12.7,0.117,0.4065,0.9439,1.03,0
12.8,0.0457,0.4246,0.8966,0.99,0
12.9,0.1909,0.3196,0.9913,1.06,0
13,0.074,0.3999,0.9637,1.05,0
13.1,0.2547,0.1629,1.0736,1.12,0
13.2,0.0371,0.376,0.9015,0.98,0
13.3,0.1797,0.3211,1.1027,1.16,0
13.4,0.0181,0.419,0.8839,0.98,0
13.5,0.2798,0.396,0.9305,1.05,0
13.6,0.1204,0.3992,0.9881,1.07,0
13.7,0.2915,0.2005,0.7423,0.82,0
13.8,-0.0227,0.5748,1.1427,1.28,0
13.9,-0.0801,0.5762,1.0245,1.18,0
14,-0.0374,0.4874,1.0758,1.18,0
14.1,-0.1143,0.5154,0.5176,0.74,0
14.2,-0.0828,0.4307,0.9493,1.05,0
14.3,-0.3194,0.2671,1.026,1.11,0
14.4,-0.0571,0.0623,1.4518,1.45,0
14.5,-0.6429,0.2593,0.7828,1.05,0
14.6,-0.1929,0.2188,0.8123,0.86,0
14.7,0.0894,-0.0942,1.11,1.12,0
14.8,-0.3216,0.1255,1.108,1.16,0
14.9,-0.2442,0.1314,0.9625,1,0
15,-0.3833,0.1214,0.9015,0.99,0
15.1,-0.5982,0.1235,0.7647,0.98,0
15.2,-0.6414,0.0791,0.816,1.04,0
15.3,-0.7584,0.0586,0.8197,1.12,0
15.4,-0.6246,0.0833,0.9078,1.11,0
15.5,-0.4918,0.2867,0.6883,0.89,0
15.6,-0.1919,0.3191,0.7601,0.85,0
15.7,-0.3479,0.3496,0.7547,0.9,0
15.8,-0.315,0.4195,0.7618,0.92,0
15.9,-0.4014,0.5906,0.953,1.19,0
16,-0.7589,0.291,1.4413,1.65,0
16.1,-0.1148,0.3355,0.9801,1.04,0
16.2,-0.6671,0.273,0.8433,1.11,0
16.3,-0.493,0.3238,0.7347,0.94,0
16.4,-0.5152,0.272,1.0367,1.19,0
16.5,-0.3301,0.095,0.9452,1.01,0
16.6,-0.2466,0.0212,1.0563,1.08,0
16.7,-0.3641,0.2469,0.6771,0.81,0
16.8,-0.292,0.3423,0.7635,0.89,0
16.9,-0.2415,0.3557,0.9063,1,0
17,-0.2163,0.3623,0.8653,0.96,0
17.1,-0.3335,0.429,0.8035,0.97,0
17.2,-0.3951,0.2928,1.0226,1.13,0
17.3,-0.2884,0.2708,0.8834,0.97,0
17.4,-0.1528,0.3125,0.7369,0.81,0
17.5,-0.2368,0.0479,1.328,1.35,0
17.6,-0.1533,0.2556,0.7874,0.84,0
17.7,-0.1455,0.2539,0.9835,1.03,0
17.8,-0.3453,0.2466,1.0299,1.11,0
17.9,-0.3631,0.2447,0.8914,0.99,0
18,-0.4788,0.2678,0.9674,1.11,0
18.1,-0.3428,0.0549,1.1847,1.23,0
18.2,-0.5806,0.1404,0.7476,0.96,0
18.3,-0.2534,0.103,0.9212,0.96,0
18.4,-0.3948,0.2859,0.827,0.96,0
18.5,-0.3472,0.3279,1.0082,1.12,0
18.6,-0.3689,0.3135,0.8685,0.99,0
18.7,-0.273,0.3457,0.8338,0.94,0
18.8,-0.145,0.3821,0.9955,1.08,0
18.9,-0.3445,0.1968,1.2504,1.31,0
19,-0.1878,0.1697,0.6632,0.71,0
19.1,-0.1333,0.0725,1.0223,1.03,0
19.2,-0.2647,0.1673,0.9486,1,0
19.3,-0.357,0.3018,0.7879,0.92,0
19.4,-0.4114,0.2854,1.024,1.14,0
19.5,-0.4764,0.2383,1.1224,1.24,0
19.6,-0.0251,0.0256,0.7398,0.74,0
19.7,-0.5503,0.197,0.7733,0.97,0
19.8,-0.2005,0.1297,0.7994,0.83,0
19.9,-0.1782,0.2854,0.7503,0.82,0
20,-0.2727,0.2835,1.0863,1.16,0
20.1,-0.2764,0.2617,1.0685,1.13,0
20.2,-0.2869,-0.001,1.485,1.51,0
20.3,-0.2725,0.2525,0.6348,0.74,0
20.4,-0.1013,-0.0581,1.0917,1.1,0
20.5,-0.2097,0.116,0.7042,0.74,0
20.6,-0.3401,0.2791,0.7557,0.87,0
20.7,-0.4073,0.315,0.8128,0.96,0
20.8,-0.3719,0.0193,1.5058,1.55,0
20.9,-0.4139,0.1983,0.4751,0.66,0
21,-0.4273,0.1892,0.9598,1.07,0
21.1,-0.3035,0.3133,0.7044,0.83,0
21.2,-0.3089,0.2969,0.9825,1.07,0
21.3,-0.2161,0.2354,1.1903,1.23,0
21.4,-0.3802,0.1775,1.245,1.31,0
21.5,-0.0964,0.0747,0.8145,0.82,0
21.6,-0.4952,0.1072,0.9796,1.1,0
21.7,-0.2559,0.0422,0.8221,0.86,0
21.8,-0.3416,0.2122,0.5506,0.68,0
21.9,-0.5059,0.1741,0.8101,0.97,0
22,-0.5948,0.1128,1.1346,1.29,0
22.1,-0.2815,0.1216,1.0931,1.14,0
22.2,-0.7459,0.1528,0.7911,1.1,0
22.3,-0.4222,0.1262,0.6905,0.82,0
22.4,-0.3274,0.1868,0.7352,0.83,0
22.5,-0.1941,0.221,0.9488,0.99,0
22.6,-0.2835,0.1861,1.3527,1.39,0
22.7,-0.4324,0.0002,1.5097,1.57,0
22.8,-0.3943,0.1958,0.555,0.71,0
22.9,-0.3372,0.0125,1.1092,1.16,0
23,-0.3821,0.1182,0.689,0.8,0
23.1,-0.3531,0.2219,0.5052,0.66,0
23.2,-0.4639,0.219,0.7247,0.89,0
23.3,-0.7247,0.127,1.2902,1.49,0
23.4,-0.4432,0.1568,0.9928,1.1,0
23.5,-0.7689,0.1643,0.7159,1.06,0
23.6,-0.1953,0.0576,0.6629,0.69,0
23.7,-0.2527,0.1668,0.7913,0.85,0
23.8,-0.166,0.2385,1.0538,1.09,0
23.9,-0.4261,0.158,1.5517,1.62,0
24,-0.2259,0.1333,0.8558,0.9,0
24.1,-0.6192,0.1355,0.9825,1.17,0
