time,gFx,gFy,gFz,TgF,is_fall
0.1,-0.2217,0.7169,0.586,0.95,0
0.2,-0.1304,0.7156,0.5406,0.91,0
0.3,-0.427,0.8958,1.2526,1.6,0
0.4,-0.3328,0.6863,1.1146,1.35,0
0.5,-0.1592,0.6458,0.5355,0.85,0
0.6,-0.2005,0.3443,0.8788,0.96,0
0.7,-0.2376,0.5232,0.5696,0.81,0
0.8,-0.0498,0.493,1.1517,1.25,0
0.9,-0.134,0.6693,1.0646,1.26,0
1,-0.0073,0.6068,0.9427,1.12,0
1.1,-0.1123,0.5787,0.9659,1.13,0
1.2,0.1797,0.7559,0.6971,1.04,0
1.3,-0.0029,0.7806,0.6461,1.01,0
1.4,-0.1904,0.9027,1.3021,1.6,0
1.5,0.0471,0.8045,0.6019,1.01,0
1.6,0.002,0.6873,0.5372,0.87,0
1.7,0.1948,0.658,0.4759,0.84,0
1.8,0.1091,0.6903,0.7386,1.02,0
1.9,0.0613,0.744,0.8687,1.15,0
2,0.1585,0.6842,0.9806,1.21,0
2.1,0.0049,0.6185,0.6326,0.88,0
2.2,-0.4229,0.4708,0.5086,0.81,0
2.3,-0.2017,0.3472,0.513,0.65,0
2.4,-0.678,0.3448,0.5352,0.93,0
2.5,-0.6851,0.0652,0.6221,0.93,0
2.6,-1.0428,0.281,0.5816,1.23,0
2.7,-1.2526,0.2017,1.2474,1.78,0
2.8,-0.7791,0.1914,0.5457,0.97,0
2.9,-0.3438,0.2461,0.3377,0.54,0
3,-0.6129,0.2066,0.596,0.88,0
3.1,-0.7493,0.209,0.765,1.09,0
3.2,-0.7782,-0.0132,0.7049,1.05,0
3.3,-0.7699,-0.2334,0.7896,1.13,0
3.4,-0.7647,-0.2083,0.5989,0.99,0
3.5,-0.8121,-0.3196,0.545,1.03,0
3.6,-0.7418,-0.3113,0.4273,0.91,0
3.7,-0.8297,-0.4229,0.5093,1.06,0
3.8,-0.9772,-0.5728,0.5999,1.28,0
3.9,-1.0436,-0.5853,0.5328,1.31,0
4,-0.4961,-0.6495,0.1155,0.83,0
4.1,-0.8648,-0.4502,0.316,1.02,0
4.2,-1.0213,-0.1077,0.1619,1.04,0
4.3,-0.7435,-0.5418,0.1389,0.93,0
4.4,-1.0843,-0.1616,-0.0298,1.1,0
4.5,-1.2157,-0.3579,0.2219,1.29,0
4.6,-0.7774,-0.1025,-0.0623,0.79,0
4.7,-0.8438,-0.1695,-0.1848,0.88,0
4.8,-0.9442,-0.1485,0.0469,0.96,0
4.9,-1.3922,0.073,-0.1983,1.41,0
5,-0.7528,-0.1641,0.2962,0.83,0
5.1,-1.3847,-0.6011,0.397,1.56,0
5.2,-0.6392,-0.1961,0.0505,0.67,0
5.3,-0.7755,0.1111,0.3194,0.85,0
5.4,-0.566,0.1353,0.4314,0.72,0
5.5,-0.7247,0.1214,0.1611,0.75,0
5.6,-1.4606,0.2439,0.2478,1.5,0
5.7,-1.3895,-0.0686,0.1536,1.4,0
5.8,-0.8099,-0.3919,0.0071,0.9,0
5.9,-0.7967,-0.0686,-0.0588,0.8,0
6,-0.3426,0.0437,-0.4085,0.53,0
6.1,-1.0018,-0.1841,-0.1389,1.03,0
6.2,-0.9793,-0.4852,-0.2151,1.11,0
6.3,-1.4972,-0.4024,-0.657,1.68,0
6.4,-0.9083,-0.4012,0.1201,1,0
6.5,-0.4463,-0.3731,-0.4427,0.73,0
6.6,-0.8897,-0.2447,-0.2512,0.96,0
6.7,-0.7774,-0.2864,-0.4178,0.93,0
6.8,-1.1048,-0.5906,-0.7559,1.46,0
6.9,-0.7887,-0.6006,-0.911,1.35,0
7,-0.796,-0.5384,-0.1235,0.97,0
7.1,-0.6656,-0.378,-0.3953,0.86,0
7.2,-0.5066,-0.1238,-0.4217,0.67,0
7.3,-1.0033,-0.523,-0.6429,1.3,0
7.4,-1.0375,-0.3931,-0.6715,1.3,0
7.5,-0.9102,-0.3753,-0.3145,1.03,0
7.6,-0.9098,-0.493,-0.1792,1.05,0
7.7,-0.6773,-0.3821,0.0564,0.78,0
7.8,-0.7286,-0.3401,0.0088,0.8,0
7.9,-0.8321,-0.2783,-0.3746,0.95,0
8,-1.1173,-0.4463,-1.5155,1.94,0
8.1,-0.6097,-0.7105,-0.1096,0.94,0
8.2,-1.432,-0.7428,0.1116,1.62,0
8.3,-0.9112,-0.1118,-0.0757,0.92,0
8.4,-0.8228,-0.241,-0.1489,0.87,0
8.5,-0.962,-0.3494,-0.3465,1.08,0
8.6,-1.1927,0.063,-0.5076,1.3,0
8.7,-0.995,-0.1611,-0.219,1.03,0
8.8,-0.8914,-0.2378,-0.8016,1.22,0
8.9,-0.4136,-0.2967,-0.5232,0.73,0
9,-0.5118,-0.1897,-0.5672,0.79,0
9.1,-0.3138,-0.1968,-0.9586,1.03,0
9.2,-0.691,-0.0352,-1.3031,1.48,0
9.3,-1.0255,-0.6954,-0.7105,1.43,0
9.4,-0.4021,-0.7027,-0.4693,0.94,0
9.5,-0.7547,-0.2068,-0.5643,0.96,0
9.6,-0.4393,-0.3973,-0.5274,0.79,0
9.7,-0.6622,-0.3609,-0.8578,1.14,0
9.8,-0.7877,-0.4192,-0.9139,1.28,0
9.9,-0.6292,-0.471,-0.5687,0.97,0
10,-0.504,-0.5872,-0.5738,0.96,0
10.1,-0.4883,-0.242,-0.525,0.76,0
10.2,-0.3406,-0.4786,-0.4388,0.73,0
10.3,-0.199,-0.376,-1.0401,1.12,0
10.4,-0.3987,-0.0879,-1.5143,1.57,0
10.5,-0.6241,-0.6558,-0.3977,0.99,0
10.6,-0.9435,-0.5699,-0.6114,1.26,0
10.7,-0.2666,-0.261,-0.5706,0.68,0
10.8,-0.5313,-0.3142,-0.7098,0.94,0
10.9,-0.8731,-0.2913,-0.9295,1.31,0
11,-0.5828,-0.27,-1.0482,1.23,0
11.1,-0.6519,-0.3267,-0.6517,0.98,0
11.2,-0.8912,-0.9657,-0.4878,1.4,0
11.3,-0.5198,-0.0737,-0.5591,0.77,0
11.4,-0.5171,-0.3501,-0.6177,0.88,0
11.5,-0.5582,-0.2283,-0.8736,1.06,0
11.6,-0.91,-0.1719,-0.8878,1.28,0
11.7,-0.8526,-0.1655,-0.4161,0.96,0
11.8,-1.0553,-0.3794,-0.4927,1.22,0
11.9,-0.7232,-0.0024,-0.2762,0.77,0
12,-0.7857,-0.093,-0.5601,0.97,0
12.1,-1.0099,-0.0083,-0.5687,1.16,0
12.2,-1.2858,-0.1016,-0.4832,1.38,0
12.3,-1.0914,-0.1995,-0.272,1.14,0
12.4,-1.1012,-0.3084,-0.451,1.23,0
12.5,-0.8197,-0.1311,-0.2901,0.88,0
12.6,-0.7818,-0.1541,-0.3872,0.89,0
12.7,-1.0135,-0.094,-0.4141,1.1,0
12.8,-1.2802,-0.0557,-0.6094,1.42,0
12.9,-0.8805,-0.3045,-0.1353,0.94,0
13,-1.0355,-0.1643,-0.1929,1.07,0
13.1,-0.6368,-0.0198,-0.1423,0.65,0
13.2,-0.8612,-0.0002,-0.2859,0.91,0
13.3,-1.0802,0.0425,-0.3711,1.14,0
13.4,-1.4005,0.0603,-0.3335,1.44,0
13.5,-0.7064,-0.2388,0.0813,0.75,0
13.6,-0.9952,-0.3472,-0.2884,1.09,0
13.7,-0.752,-0.0889,-0.4471,0.88,0
13.8,-0.9046,-0.0549,-0.3216,0.96,0
13.9,-1.1908,-0.1243,-0.6158,1.35,0
14,-1.0274,-0.3523,-0.3767,1.15,0
14.1,-1.2618,-0.295,0.0874,1.3,0
14.2,-0.6802,-0.0811,-0.1821,0.71,0
14.3,-0.6568,-0.1052,-0.2195,0.7,0
14.4,-0.9327,0.0078,-0.4517,1.04,0
14.5,-1.1764,-0.0344,-0.398,1.24,0
14.6,-1.2191,-0.1663,-0.2603,1.26,0
14.7,-1.1073,-0.3455,-0.2571,1.19,0
14.8,-0.7667,-0.1135,-0.3057,0.83,0
14.9,-0.6385,-0.0735,-0.3706,0.74,0
15,-0.8014,-0.0662,-0.4786,0.94,0
15.1,-1.1346,0.0874,-0.7918,1.39,0
15.2,-0.8941,-0.409,-0.0762,0.99,0
15.3,-1.0509,-0.1736,-0.1807,1.08,0
15.4,-0.6934,-0.0071,-0.0881,0.7,0
15.5,-0.8912,0.0027,-0.1807,0.91,0
15.6,-1.184,-0.0027,-0.1956,1.2,0
15.7,-1.4286,-0.2503,-0.1951,1.46,0
15.8,-0.7894,-0.4446,0.2735,0.95,0
15.9,-0.8944,-0.0584,0.0862,0.9,0
16,-0.7318,-0.2542,-0.0464,0.78,0
16.1,-0.867,-0.0938,0.0298,0.87,0
16.2,-1.0455,-0.3677,-0.3746,1.17,0
16.3,-1.3595,-0.1726,-0.4227,1.43,0
16.4,-1.0287,-0.1345,0.618,1.21,0
16.5,-0.9054,-0.1819,-0.0313,0.92,0
16.6,-0.7838,-0.061,0.0921,0.79,0
16.7,-0.9513,-0.0237,-0.1482,0.96,0
16.8,-1.2406,0.1008,-0.0293,1.25,0
16.9,-1.2194,-0.1807,-0.0256,1.23,0
17,-1.1009,-0.6107,0.1658,1.27,0
17.1,-0.8534,-0.1265,-0.125,0.87,0
17.2,-0.817,-0.1509,-0.04,0.83,0
17.3,-0.9503,-0.1294,-0.1824,0.98,0
17.4,-1.1659,-0.2803,-0.2871,1.23,0
17.5,-1.0609,-0.3909,0.1492,1.14,0
17.6,-1.1317,0.0083,0.1653,1.14,0
17.7,-0.7413,-0.0642,0.0408,0.75,0
17.8,-0.8829,-0.0222,-0.0461,0.88,0
17.9,-1.1046,-0.1333,-0.1177,1.12,0
18,-1.1949,0.0112,-0.2823,1.23,0
18.1,-0.9342,-0.0982,0.2469,0.97,0
18.2,-1.1215,-0.4207,0.1011,1.2,0
18.3,-0.8546,-0.0842,-0.054,0.86,0
18.4,-0.8299,-0.1795,-0.0388,0.85,0
18.5,-1.0162,-0.1458,-0.2381,1.05,0
18.6,-1.191,-0.2356,-0.3763,1.27,0
18.7,-0.9115,-0.2298,0.2981,0.99,0
18.8,-1.119,-0.0391,0.2097,1.14,0
18.9,-0.7498,0.0271,0.0349,0.75,0
19,-0.8639,-0.0894,-0.0505,0.87,0
19.1,-1.0992,-0.0945,-0.2114,1.12,0
19.2,-1.1864,-0.1226,-0.3128,1.23,0
19.3,-0.8416,-0.1716,0.4153,0.95,0
19.4,-1.0438,-0.0342,0.0576,1.05,0
19.5,-0.7989,-0.1477,0.0144,0.81,0
19.6,-0.7977,-0.0872,-0.0825,0.81,0
19.7,-1.0211,-0.239,-0.3037,1.09,0
19.8,-1.4386,-0.3208,-0.4698,1.55,0
19.9,-1.1195,0.0742,0.6697,1.31,0
