time,gFx,gFy,gFz,TgF
0.001000,-0.3648,0.3431,0.8082,0.951
0.002000,-0.3523,0.3455,0.8182,0.955
0.003000,-0.3433,0.3445,0.8302,0.962
0.004000,-0.3362,0.3450,0.8455,0.973
0.008000,-0.3313,0.3477,0.8617,0.986
0.010000,-0.3308,0.3504,0.8758,1.000
0.011000,-0.3306,0.3540,0.8929,1.016
0.015000,-0.3301,0.3565,0.9061,1.028
0.018000,-0.3316,0.3570,0.9205,1.041
0.019000,-0.3304,0.3592,0.9322,1.052
0.021000,-0.3301,0.3572,0.9391,1.058
0.024000,-0.3264,0.3582,0.9447,1.062
0.026000,-0.3211,0.3592,0.9422,1.058
0.030000,-0.3152,0.3599,0.9405,1.055
0.032000,-0.3108,0.3599,0.9374,1.051
0.034000,-0.3055,0.3606,0.9320,1.045
0.036000,-0.2996,0.3626,0.9281,1.040
0.039000,-0.2962,0.3662,0.9186,1.032
0.041000,-0.2891,0.3653,0.9093,1.022
0.044000,-0.2842,0.3684,0.8985,1.012
0.047000,-0.2779,0.3711,0.8910,1.004
0.049000,-0.2722,0.3709,0.8839,0.996
0.051000,-0.2693,0.3719,0.8763,0.989
0.054000,-0.2654,0.3699,0.8629,0.976
0.056000,-0.2649,0.3714,0.8512,0.966
0.059000,-0.2578,0.3728,0.8387,0.953
0.061000,-0.2515,0.3743,0.8260,0.941
0.064000,-0.2412,0.3738,0.8114,0.925
0.067000,-0.2312,0.3706,0.7952,0.907
0.069000,-0.2295,0.3743,0.7801,0.895
0.071000,-0.2276,0.3841,0.7594,0.881
0.074000,-0.2237,0.3882,0.7430,0.868
0.076000,-0.2205,0.3916,0.7244,0.853
0.081000,-0.2469,0.4090,0.6868,0.837
0.082000,-0.2385,0.4146,0.6756,0.828
0.084000,-0.2237,0.4195,0.6607,0.814
0.086000,-0.2168,0.4209,0.6468,0.802
0.089000,-0.2112,0.4224,0.6285,0.786
0.091000,-0.2097,0.4222,0.6177,0.777
0.094000,-0.2071,0.4227,0.6048,0.766
0.097000,-0.2049,0.4244,0.5997,0.763
0.099000,-0.1951,0.4227,0.6016,0.761
0.101000,-0.1873,0.4236,0.5997,0.758
0.104000,-0.1751,0.4231,0.5948,0.751
0.106000,-0.1631,0.4224,0.5877,0.742
0.109000,-0.1524,0.4256,0.5833,0.738
0.112000,-0.1416,0.4219,0.5787,0.730
0.114000,-0.1297,0.4241,0.5723,0.724
0.117000,-0.1209,0.4234,0.5655,0.717
0.119000,-0.1150,0.4263,0.5640,0.716
0.121000,-0.1091,0.4275,0.5655,0.717
0.124000,-0.1011,0.4302,0.5674,0.719
0.126000,-0.0967,0.4356,0.5757,0.728
0.129000,-0.0911,0.4346,0.5818,0.732
0.131000,-0.0879,0.4349,0.5923,0.740
0.134000,-0.0869,0.4366,0.6028,0.749
0.136000,-0.0823,0.4385,0.6104,0.756
0.139000,-0.0803,0.4407,0.6168,0.762
0.141000,-0.0820,0.4436,0.6229,0.769
0.144000,-0.0850,0.4480,0.6297,0.777
0.147000,-0.0872,0.4534,0.6407,0.790
0.149000,-0.0896,0.4578,0.6475,0.798
0.151000,-0.0918,0.4617,0.6563,0.808
0.154000,-0.0957,0.4664,0.6632,0.816
0.156000,-0.0982,0.4703,0.6712,0.825
0.159000,-0.1013,0.4725,0.6771,0.832
0.163000,-0.1023,0.4756,0.6783,0.835
0.165000,-0.1035,0.4771,0.6817,0.838
0.167000,-0.1016,0.4808,0.6871,0.845
0.170000,-0.0969,0.4795,0.6954,0.850
0.172000,-0.0984,0.4812,0.6995,0.855
0.174000,-0.0982,0.4812,0.7039,0.858
0.176000,-0.0991,0.4834,0.7078,0.863
0.179000,-0.1055,0.4834,0.7108,0.866
0.182000,-0.1065,0.4866,0.7174,0.873
0.184000,-0.1077,0.4881,0.7247,0.880
0.186000,-0.1094,0.4925,0.7296,0.887
0.189000,-0.1091,0.4935,0.7366,0.893
0.191000,-0.1104,0.4969,0.7449,0.902
0.194000,-0.1089,0.4996,0.7528,0.910
0.197000,-0.1118,0.5001,0.7618,0.918
0.199000,-0.1135,0.5030,0.7694,0.926
0.201000,-0.1165,0.5030,0.7794,0.935
0.204000,-0.1201,0.5062,0.7877,0.944
0.206000,-0.1223,0.5098,0.7996,0.956
0.209000,-0.1255,0.5110,0.8075,0.964
0.212000,-0.1250,0.5115,0.8167,0.972
0.214000,-0.1275,0.5135,0.8258,0.981
0.217000,-0.1306,0.5149,0.8363,0.991
0.219000,-0.1353,0.5191,0.8448,1.001
0.221000,-0.1372,0.5208,0.8565,1.012
0.224000,-0.1397,0.5198,0.8658,1.019
0.227000,-0.1402,0.5213,0.8761,1.029
0.229000,-0.1423,0.5240,0.8844,1.038
0.232000,-0.1433,0.5228,0.8890,1.041
0.234000,-0.1409,0.5235,0.8924,1.044
0.236000,-0.1402,0.5274,0.8976,1.050
0.239000,-0.1358,0.5264,0.9010,1.052
0.241000,-0.1394,0.5272,0.9032,1.055
0.244000,-0.1394,0.5264,0.9054,1.057
0.248000,-0.1375,0.5291,0.9076,1.059
0.249000,-0.1367,0.5308,0.9059,1.059
0.251000,-0.1340,0.5296,0.9078,1.060
0.254000,-0.1292,0.5301,0.9049,1.057
0.257000,-0.1262,0.5298,0.9034,1.055
0.259000,-0.1201,0.5337,0.8988,1.052
0.261000,-0.1148,0.5372,0.8956,1.051
0.264000,-0.1091,0.5398,0.8944,1.050
0.266000,-0.1040,0.5420,0.8927,1.050
0.269000,-0.0989,0.5435,0.8861,1.044
0.271000,-0.0942,0.5462,0.8827,1.042
0.274000,-0.0906,0.5482,0.8748,1.036
0.276000,-0.0835,0.5511,0.8714,1.034
0.279000,-0.0786,0.5518,0.8668,1.031
0.282000,-0.0693,0.5511,0.8673,1.030
0.284000,-0.0635,0.5496,0.8668,1.028
0.286000,-0.0520,0.5506,0.8678,1.029
0.289000,-0.0464,0.5508,0.8702,1.031
0.291000,-0.0410,0.5474,0.8687,1.028
0.294000,-0.0330,0.5464,0.8707,1.028
0.296000,-0.0286,0.5430,0.8739,1.029
0.299000,-0.0217,0.5398,0.8788,1.032
0.301000,-0.0200,0.5374,0.8827,1.034
0.304000,-0.0161,0.5359,0.8863,1.036
0.307000,-0.0112,0.5340,0.8902,1.038
0.309000,-0.0085,0.5323,0.8971,1.043
0.312000,-0.0063,0.5330,0.9037,1.049
0.314000,-0.0100,0.5340,0.9083,1.054
0.317000,-0.0115,0.5347,0.9151,1.060
0.319000,-0.0122,0.5347,0.9256,1.069
0.321000,-0.0142,0.5372,0.9310,1.075
0.323000,-0.0166,0.5384,0.9405,1.084
0.326000,-0.0200,0.5391,0.9479,1.091
0.329000,-0.0251,0.5386,0.9535,1.095
0.332000,-0.0273,0.5359,0.9610,1.101
0.334000,-0.0313,0.5374,0.9732,1.112
0.337000,-0.0371,0.5347,0.9784,1.116
0.339000,-0.0403,0.5372,0.9881,1.125
0.341000,-0.0439,0.5369,0.9950,1.131
0.344000,-0.0479,0.5352,1.0045,1.139
0.346000,-0.0518,0.5359,1.0101,1.145
0.349000,-0.0552,0.5357,1.0133,1.148
0.351000,-0.0608,0.5328,1.0160,1.149
0.354000,-0.0652,0.5320,1.0191,1.152
0.356000,-0.0728,0.5279,1.0211,1.152
0.359000,-0.0784,0.5218,1.0255,1.153
0.361000,-0.0830,0.5176,1.0284,1.154
0.364000,-0.0894,0.5140,1.0365,1.160
0.366000,-0.0964,0.5096,1.0411,1.163
0.369000,-0.1065,0.5054,1.0484,1.169
0.375000,-0.1143,0.5008,1.0565,1.175
0.376000,-0.1223,0.5015,1.0648,1.183
0.376000,-0.1289,0.5013,1.0785,1.196
0.379000,-0.1365,0.5015,1.0863,1.204
0.381000,-0.1419,0.5032,1.0983,1.216
0.384000,-0.1477,0.5047,1.1073,1.226
0.386000,-0.1497,0.5064,1.1197,1.238
0.388000,-0.1528,0.5069,1.1332,1.251
0.392000,-0.1516,0.5086,1.1439,1.261
0.393000,-0.1536,0.5115,1.1542,1.272
0.396000,-0.1494,0.5123,1.1642,1.281
0.399000,-0.1480,0.5135,1.1749,1.291
0.401000,-0.1455,0.5157,1.1840,1.300
0.403000,-0.1428,0.5147,1.1918,1.306
0.407000,-0.1394,0.5159,1.1976,1.311
0.409000,-0.1372,0.5159,1.2015,1.315
0.411000,-0.1314,0.5162,1.2062,1.319
0.414000,-0.1260,0.5147,1.2076,1.319
0.416000,-0.1209,0.5115,1.2067,1.316
0.419000,-0.1179,0.5093,1.2028,1.311
0.421000,-0.1140,0.5074,1.1991,1.307
0.424000,-0.1118,0.5032,1.1901,1.297
0.427000,-0.1074,0.4991,1.1798,1.286
0.429000,-0.1050,0.4944,1.1652,1.270
0.432000,-0.1050,0.4874,1.1532,1.256
0.433000,-0.1047,0.4815,1.1444,1.246
0.436000,-0.1035,0.4732,1.1366,1.236
0.439000,-0.1060,0.4673,1.1315,1.229
0.441000,-0.1084,0.4620,1.1271,1.223
0.444000,-0.1160,0.4551,1.1251,1.219
0.446000,-0.1231,0.4515,1.1239,1.217
0.452000,-0.1311,0.4461,1.1229,1.215
0.453000,-0.1387,0.4388,1.1256,1.216
0.453000,-0.1480,0.4358,1.1283,1.219
0.456000,-0.1543,0.4319,1.1339,1.223
0.459000,-0.1602,0.4300,1.1417,1.230
0.461000,-0.1648,0.4256,1.1505,1.238
0.464000,-0.1668,0.4246,1.1595,1.246
0.466000,-0.1680,0.4205,1.1698,1.254
0.469000,-0.1682,0.4202,1.1788,1.263
0.471000,-0.1692,0.4156,1.1857,1.268
0.473000,-0.1663,0.4124,1.1903,1.271
0.477000,-0.1641,0.4080,1.1903,1.269
0.480000,-0.1633,0.4063,1.1952,1.273
0.484000,-0.1572,0.4034,1.1932,1.269
0.485000,-0.1509,0.3995,1.1881,1.263
0.488000,-0.1467,0.3965,1.1779,1.251
0.489000,-0.1380,0.3951,1.1666,1.239
0.491000,-0.1284,0.3912,1.1532,1.224
0.494000,-0.1194,0.3872,1.1368,1.207
0.504000,-0.1113,0.3836,1.1202,1.189
0.505000,-0.0977,0.3836,1.1012,1.170
0.506000,-0.0923,0.3836,1.0858,1.155
0.507000,-0.0864,0.3833,1.0721,1.142
0.508000,-0.0813,0.3853,1.0597,1.130
0.520000,-0.0764,0.3848,1.0460,1.117
0.521000,-0.0740,0.3855,1.0301,1.102
0.531000,-0.0703,0.3868,1.0133,1.087
0.532000,-0.0708,0.3868,0.9960,1.071
0.532000,-0.0679,0.3880,0.9847,1.061
0.532000,-0.0689,0.3870,0.9703,1.047
0.533000,-0.0676,0.3863,0.9549,1.032
0.533000,-0.0667,0.3872,0.9415,1.020
0.533000,-0.0667,0.3885,0.9237,1.004
0.533000,-0.0676,0.3850,0.9107,0.991
0.534000,-0.0681,0.3853,0.9005,0.982
