x,y,z,magnitude,angle,,
-0.394424,-0.045502,-1.172058,1.237481587,-1.24417466,-0.036778131,-0.324390578
-0.270248,0.029572,-0.348251,0.441800004,-0.907967805,0.066985347,-0.658204704
-0.468018,0.368515,-0.33287,0.682383023,-0.509573777,0.570486153,-0.755782336
-0.006302,0.502609,-0.074799,0.508183444,-0.147725689,1.42254339,-0.012401352
5.134766,-3.189743,-6.641602,8.980599056,-0.83240156,-0.363108262,0.608652032
0.08873,-0.656433,0.297943,0.726324533,0.42268041,-1.128505847,0.122468937
0.150452,-0.755875,-0.435623,0.885296684,-0.514459543,-1.023260295,0.170774149
0.637115,-0.391769,-0.342941,0.822804352,-0.429916955,-0.49625849,0.885641966
0.446899,-0.237366,-0.684509,0.851242565,-0.934209135,-0.282592745,0.552710494
0.484039,-0.347656,-1.149445,1.294751812,-1.092482842,-0.27184765,0.383153256
