x,y,z,is_fall
0.125153,-0.416061,-0.974594,0
0.080551,-0.457489,-0.853973,0
0.12883,-0.459305,-0.881973,0
0.102432,-0.450424,-0.90155,0
0.057587,-0.406662,-0.901932,0
0.025162,-0.343506,-0.814056,0
0.019287,-0.296097,-0.866043,0
0.313721,-0.373062,-0.935516,0
0.166107,-0.335892,-0.987427,0
0.063614,-0.277588,-0.985474,0
-0.157822,-0.237778,-0.980194,0
-0.177811,-0.279831,-0.896759,0
-0.389954,-0.199753,-0.88269,0
-0.260437,-0.181778,-1.056229,0
-0.249908,-0.247772,-0.949081,0
-0.232956,-0.144684,-1.233322,0
-0.109818,-0.234253,-1.066925,0
-0.098694,-0.199173,-1.039215,0
-0.143524,-0.226303,-0.933945,0
-0.130432,-0.255478,-0.867828,0
-0.041016,-0.281387,-0.904907,0
-0.014206,-0.299545,-0.886581,0
-0.126053,-0.289398,-0.903839,0
-0.221802,-0.344833,-0.819611,0
-0.147095,-0.299942,-0.886398,0
-0.191086,-0.283844,-0.818497,0
-0.292343,-0.298355,-0.888565,0
-0.39978,-0.191452,-0.951691,0
-0.820206,-0.555923,-0.869385,0
-0.541306,-0.148956,-0.884689,0
-0.39856,0.054153,-0.743149,0
-0.337509,0.09404,-0.946213,0
-0.340744,0.077301,-1.058945,0
-0.207596,0.121994,-1.046738,0
-0.139908,0.160278,-0.999542,0
-0.169434,0.133209,-0.946091,0
-0.181183,0.175339,-1.006058,0
-0.201797,0.150238,-0.958344,0
-0.215622,0.195862,-0.977921,0
-0.212189,0.153076,-0.972946,0
-0.145874,0.110489,-0.979843,0
-0.110443,0.120453,-1.013397,0
-0.198746,0.108429,-1.000793,0
-0.227371,0.173111,-0.978439,0
-0.413452,0.026535,-0.879791,0
-0.250107,0.070206,-0.998718,0
-0.369476,0.07341,-0.939682,0
-0.439987,0.004807,-0.815414,0
-0.466431,0.026291,-0.914429,0
-0.559387,0.008316,-0.832031,0
-0.577194,-0.028595,-0.831924,0
-0.703568,0.01799,-0.767944,0
-0.686707,-0.020294,-0.648788,0
-0.737839,-0.032242,-0.656601,0
-0.937012,-0.073242,-0.357513,0
-0.945541,0.118591,-0.589706,0
-1.011047,0.206573,-0.313248,0
-0.746262,0.157059,-0.336395,0
-0.977417,0.317139,-0.288498,0
-0.867691,0.488495,-0.070297,0
-0.979385,0.620316,-0.079376,0
-0.806137,0.501205,-0.095169,0
-0.76828,0.535599,-0.248566,0
-0.668945,0.530807,-0.32962,0
-0.846909,0.641861,-0.253555,0
-0.665878,0.671371,-0.074554,0
-0.706635,0.836075,-0.006256,0
-0.681808,0.813232,-0.085632,0
-0.614731,0.854691,-0.185806,0
-0.632675,0.473267,-0.184158,0
-0.321991,1.595306,0.185242,0
-0.404373,0.938187,-0.240448,0
-0.295319,0.736176,-0.254471,0
-0.398148,0.954514,-0.103958,0
-0.256058,0.906296,-0.042099,0
-0.130112,1.061661,0.204056,0
-0.35466,1.054214,-0.152634,0
-0.31868,0.907639,0.014893,0
-0.385986,0.910614,-0.115051,0
-0.379913,0.974075,0.004669,0
-0.353622,0.953232,-0.051361,0
-0.248199,0.781662,-0.049408,0
-0.441025,1.131424,0.037811,0
-0.370621,0.929626,-0.046951,0
-0.39183,0.88089,0.009888,0
-0.480652,0.906784,0.079697,0
-0.497787,0.940704,-0.058243,0
-0.465851,0.84201,0.143829,0
-0.42485,0.876083,0.083405,0
-0.514359,0.921783,-0.023788,0
-0.571747,0.947098,-0.096695,0
-0.540253,0.851456,0.114487,0
-0.324997,0.900787,0.053497,0
-0.398773,1.00795,0.11795,0
-0.387436,0.761093,0.204178,0
-0.407364,0.761612,0.214554,0
-0.477875,0.720627,0.268555,0
-0.75209,0.864685,0.654373,0
-0.652771,0.83783,0.278687,0
-0.357803,0.705368,-0.183304,0
-0.445694,0.956238,-0.026428,0
-0.407654,0.974899,0.012787,0
-0.375122,0.893494,0.007095,0
-0.319763,0.732758,0.115021,0
-0.468918,0.895889,-0.019135,0
-0.628662,1.060898,-0.037186,0
-0.57338,0.99144,-0.040924,0
-0.303574,0.860413,-0.064651,0
-0.435791,1.089691,0.178543,0
-0.406982,0.849701,-0.040771,0
-0.47963,0.883438,0.091187,0
-0.535034,0.887466,0.084427,0
-0.41214,0.882034,-0.060913,0
-0.399872,0.970901,0.044601,0
-0.332642,0.876968,-0.045013,0
-0.428879,1.059418,-0.086365,0
-0.395691,0.848999,-0.024948,0
-0.417755,0.902451,-0.057251,0
-0.396423,0.924057,-0.037659,0
-0.306717,0.934509,0.192444,0
-0.404037,0.983429,-0.031876,0
-0.413086,0.959,-0.029739,0
-0.428741,0.95636,-0.076599,0
-0.373138,0.998672,-0.024033,0
-0.301468,0.894852,0.196365,0
-0.347992,0.849319,0.028549,0
-0.426163,0.830139,0.133942,0
-0.456894,0.808487,0.336487,0
-0.54213,0.81456,0.3564,0
-0.545059,0.811035,0.262146,0
-0.223648,0.66893,0.252243,0
-0.425461,0.870972,-0.026764,0
-0.307999,0.660049,0.339615,0
-0.193787,0.515564,0.007294,1
-0.087769,0.571671,0.101852,1
-0.793945,0.839874,0.339935,1
-1.693848,1.436264,0.517075,1
-0.65094,0.937424,0.28862,1
0.077332,-0.433792,0.961487,1
-0.239349,0.357681,0.719208,1
0.539856,0.358124,0.995865,1
0.631729,0.712997,0.692902,1
0.272705,0.554764,0.219696,1
0.705933,0.201157,0.029861,1
2.487778,-0.033783,-0.100586,1
0.692703,0.578384,0.348145,1
0.567734,0.644287,0.160538,1
0.820312,0.642426,0.119843,1
0.7164,0.989777,0.128479,1
0.606461,0.634903,0.056747,1
0.769257,0.804352,0.099396,1
0.881424,0.369507,0.179794,1
0.828308,0.574188,0.197449,1
0.891174,0.353333,0.215637,1
0.938187,0.491867,0.297836,1
0.807098,0.37355,0.245773,1
0.877518,0.359833,0.514801,1
0.761887,0.431396,0.467102,1
0.833801,0.320755,0.532974,1
0.892334,0.204727,0.740829,1
0.587433,0.350464,0.662109,1
0.618073,0.374771,0.747101,1
0.586166,0.4664,0.67601,1
0.502167,0.544662,0.616226,1
0.583786,0.603729,0.689438,1
0.326752,0.58345,0.661011,1
0.33374,0.831207,0.54425,1
0.620438,0.527725,0.455399,1
0.325409,1.02034,0.567535,1
0.200684,0.861694,0.801605,1
0.064713,0.811813,0.882278,1
0.090408,0.59407,0.695602,1
-0.072464,0.629944,0.530945,1
0.058212,1.045212,0.478928,1
0.14328,0.963715,0.19165,1
-0.284836,1.218323,0.053879,0
-0.356491,0.791153,0.128555,0
-0.357651,0.828552,0.090836,0
-0.068542,1.084961,-0.034332,0
0.152069,0.753494,-0.031906,0
-0.11676,0.952148,0.732101,0
-0.256775,0.928741,0.278183,0
-0.237244,0.864548,0.012222,0
-0.389725,0.840851,0.294312,0
-0.352676,0.780518,0.555817,0
-0.293671,0.850708,0.378418,0
-0.490097,0.929794,0.430389,0
-0.40744,0.892456,0.236801,0
-0.429916,0.823578,0.08873,0
-0.459213,0.918228,0.13855,0
-0.495682,0.846298,0.085129,0
-0.48143,0.886337,0.093887,0
-0.491684,0.963318,0.169678,0
-0.422577,0.941437,-0.187653,0
-0.407089,0.965775,0.110626,0
-0.388092,0.837097,0.657867,0
-0.435852,0.840698,0.310791,0
-0.358994,0.713654,0.297333,0
-0.253189,0.772949,0.479187,0
-0.305298,0.854355,0.66713,0
-0.461319,0.819855,0.416855,0
-0.302643,0.944504,0.352875,0
-0.349945,0.777679,0.313858,0
-0.434311,0.838882,0.280029,0
-0.439804,0.854935,0.363342,0
-0.444077,0.895325,0.092224,0
-0.494385,1.001633,0.065247,0
-0.28334,0.90448,0.182404,0
-0.270126,0.927963,0.109512,0
-0.29155,0.940201,0.259781,0
-0.24382,0.857925,0.048874,0
-0.276123,1.047745,0.140289,0
-0.395401,1.117264,-0.042633,0
-0.404358,0.844711,-0.17099,0
-0.431702,1.033554,0.068787,0
-0.371063,0.936447,-0.140106,0
-0.415451,0.910019,-0.00412,0
-0.503387,0.857697,0.279541,0
-0.41951,0.921753,-0.148651,0
-0.39801,0.915298,-0.056061,0
-0.360489,0.831696,-0.003708,0
-0.371811,0.922394,0.039001,0
-0.513672,0.938156,0.069489,0
-0.401611,0.952698,0.032059,0
-0.428162,0.928528,0.042252,0
-0.442337,0.857635,0.084183,0
-0.295258,0.900696,0.006577,0
-0.427078,1.018341,0.235153,0
-0.393326,1.003891,-0.03569,0
-0.415115,1.008957,-0.027344,0
-0.474136,0.853653,0.046799,0
-0.494781,0.844391,-0.003662,0
-0.671585,0.770615,0.090729,0
-0.628159,0.669052,0.087311,0
-0.662399,0.647964,0.072815,0
-0.748398,0.629959,-0.026535,0
-0.755768,0.644745,0.027512,0
-0.715958,0.624527,0.094467,0
-0.718643,0.703583,0.074219,0
-0.643723,0.741867,0.071167,0
-0.700851,0.781387,0.011658,0
-0.657944,0.57933,0.044556,0
-0.690231,0.816345,-0.178879,0
-0.734146,0.690262,0.033783,0
-0.780792,0.654007,-0.064041,0
-0.732346,0.659332,-0.223846,0
-0.807449,0.637878,-0.031403,0
-0.756134,0.664536,-0.157578,0
-0.726791,0.628738,-0.429428,0
-0.799332,0.554535,-0.212967,0
-0.771271,0.413513,-0.344452,0
-0.837296,0.564636,-0.239014,0
-0.687241,0.541504,-0.389694,0
-0.800415,0.455566,-0.579178,0
-0.716263,0.50795,-0.590698,0
-0.732086,0.392487,-0.553467,0
-0.735641,0.223633,-0.580597,0
-0.802628,0.412994,-0.544098,0
-0.676163,0.140656,-0.848022,0
-0.527603,-0.108459,-0.801819,0
-0.450363,0.043045,-0.974976,0
-0.573486,0.010162,-0.691208,0
-0.502869,0.057922,-0.963654,0
-0.391968,0.067047,-1.006363,0
-0.288498,0.003906,-0.89743,0
-0.308502,-0.098511,-0.909943,0
-0.204025,-0.085907,-1.06041,0
-0.013733,-0.057816,-1.043152,0
-0.159668,-0.035767,-1.067657,0
-0.03273,-0.074997,-0.930618,0
-0.017014,-0.102158,-0.965073,0
-0.061203,-0.126648,-1.016632,0
-0.112671,-0.122284,-0.956543,0
-0.094635,-0.158279,-0.960587,0
-0.108551,-0.293076,-0.908951,0
0.0849,-0.161469,-1.065002,0
0.055038,-0.189972,-0.994324,0
0.008301,-0.19873,-1.042374,0
