x,y,z,is_fall
-0.179626,-0.552322,-0.826797,0
-0.122009,-0.526871,-0.833878,0
-0.108902,-0.537827,-0.831009,0
-0.05983,-0.51236,-0.850739,0
-0.017685,-0.491501,-0.880234,0
0.027069,-0.492401,-0.843124,0
0.06398,-0.547272,-0.872421,0
0.069687,-0.510345,-0.824478,0
0.064728,-0.545944,-0.657532,0
0.145889,-0.490494,-0.805634,0
0.078201,-0.404953,-0.867783,0
-0.028549,-0.437729,-0.966537,0
0.023193,-0.465591,-0.769958,0
-0.141129,-0.346786,-0.999359,0
0.124359,-0.208511,-1.040939,0
0.077087,-0.23259,-0.959518,0
0.060104,-0.283417,-0.93071,0
-0.009445,-0.223816,-1.064499,0
-0.055695,-0.287399,-1.001373,0
-0.149124,-0.232422,-0.922699,0
-0.102509,-0.253479,-0.992294,0
-0.212585,-0.238373,-0.986633,0
-0.377655,-0.196976,-1.008118,0
-0.380615,-0.1436,-0.791901,0
-0.492661,-0.055588,-0.95816,0
-0.569977,-0.055588,-0.8573,0
-0.699295,0.006592,-0.802811,0
-0.737305,0.037476,-0.660431,0
-0.68663,-0.001999,-0.529465,0
-0.895859,-0.047333,-0.545609,0
-0.796463,-0.200256,-0.385696,0
-0.826584,0.097473,-0.531296,0
-1.047791,0.108582,-0.531601,0
-0.86853,-0.077606,-0.453186,0
-0.834076,0.251236,-0.462509,0
-0.91362,0.469559,-0.381561,0
-0.867004,0.111465,-0.328384,0
-0.981705,0.474915,-0.414215,0
-0.858612,0.381729,-0.295059,0
-0.842499,-0.196564,0.071396,0
-0.893097,-0.217896,-0.124542,0
-0.566895,-0.1772,-0.391586,0
-0.856064,-0.017288,-0.560516,0
-1.149902,0.42215,-0.602448,0
-0.793961,-0.006775,-0.496841,0
-0.85495,0.042664,-0.388214,0
-0.866806,-0.029007,-0.366714,0
-0.913071,-0.365219,-0.205688,0
-0.854996,-0.374619,-0.095764,0
-1.031113,-0.019363,-0.458282,0
-0.867355,-0.339661,-0.281784,0
-0.753647,-0.185181,-0.182922,0
-1.10791,-0.298569,-0.331757,0
-1.082504,-0.283127,-0.289703,0
-0.790024,-0.37822,-0.029953,0
-0.973709,-0.216858,-0.753326,0
-0.904068,-0.322906,-0.287323,0
-0.826172,-0.42627,-0.259109,0
-0.802979,-0.54863,-0.465088,0
-0.643143,-0.388718,-0.357391,0
-0.797791,-0.369568,-0.047455,0
-0.315338,-0.950119,-0.290558,0
-0.563461,-0.671234,-0.036026,0
-0.466614,-0.867096,-0.123016,0
-0.273727,-1.132172,-0.666122,0
-0.143295,-1.28804,-0.191833,0
-0.134094,-0.965637,-0.15506,0
-0.182968,-0.914612,-0.156357,0
-0.37915,-0.777573,-0.329056,0
-0.265366,-0.852051,-0.330795,0
-0.026108,-0.973251,-0.163574,0
-0.232468,-0.831451,-0.179153,0
-0.237839,-0.913574,-0.199188,0
-0.636505,-0.804657,-0.386337,0
-0.544754,-0.744308,-0.375671,0
-0.349884,-0.820999,-0.351608,0
-0.368225,-0.806885,-0.321518,0
-0.411392,-0.917755,-0.424774,0
-0.569656,-0.616547,-0.328293,0
-0.414688,-0.914886,-0.23851,0
-0.48378,-0.933289,-0.238785,0
-0.541321,-0.829849,-0.210007,0
-0.486374,-0.859833,-0.175552,0
-0.518707,-0.867035,-0.137589,0
-0.487274,-0.831558,-0.162964,0
-0.501953,-0.848663,-0.164749,0
-0.469894,-0.814148,-0.205551,0
-0.464386,-0.812271,-0.247986,0
-0.491791,-0.848343,-0.265839,0
-0.450165,-0.793488,-0.268402,0
-0.446121,-0.808105,-0.354095,0
-0.477295,-0.832047,-0.30809,0
-0.497635,-0.918823,-0.365463,0
-0.459625,-0.882172,-0.373566,0
-0.460571,-0.828049,-0.370193,0
-0.462814,-0.816101,-0.325653,0
-0.456055,-0.828598,-0.296539,0
-0.434311,-0.778214,-0.324814,0
-0.452957,-0.811386,-0.306534,0
-0.425369,-0.807617,-0.297531,0
-0.468216,-0.87352,-0.319061,0
-0.490372,-0.861313,-0.309692,0
-0.436737,-0.812897,-0.302124,0
-0.43222,-0.794434,-0.290787,0
-0.44072,-0.834442,-0.304092,0
-0.490967,-0.862183,-0.361633,0
-0.455551,-0.841553,-0.379517,0
-0.501511,-0.933105,-0.386093,0
-0.492676,-0.910309,-0.332809,0
-0.675247,-1.142731,-0.37999,0
-0.540543,-0.976898,-0.05278,0
0.19223,0.222473,-0.205246,0
-0.74173,-1.011459,0.018372,0
-0.59671,-1.41156,-0.303131,0
-0.391098,-0.827759,-0.239014,0
-0.428253,-0.853348,-0.151962,0
-0.441483,-0.887909,-0.135529,0
-0.435242,-0.88443,-0.235641,0
-0.476166,-0.889359,-0.125061,0
