x,y,z,is_fall
-0.167084,-0.344086,-0.679016,1
0.116928,-0.665298,-0.549072,1
0.402054,-0.578308,-0.153885,1
1.121628,-0.392242,0.289337,1
0.774918,-0.933533,0.278961,1
-1.552109,0.957672,-4.67868,1
0.7603,-0.396179,-4.814392,1
-0.44722,-0.966354,0.219421,1
-0.384705,0.61087,-2.137878,1
-0.148834,-0.147034,-0.688309,1
0.003082,-0.075943,-0.769638,1
-0.071289,-0.005646,-0.549774,1
-0.41745,-0.342148,-1.01442,1
-0.59552,-0.462479,-0.994415,1
0.366989,-1.29866,-0.491409,1
0.316208,-0.85817,-0.098389,1
-0.808426,1.063477,-0.77066,1
0.083344,1.605957,-1.456894,1
-0.044083,2.072739,0.232346,1
-0.645325,-0.279327,-0.842682,1
-0.748444,-0.069733,-0.55661,1
