x,y,z,is_fall
0.036774,-0.038284,-1.032288,0
0.039764,-0.049698,-0.95459,0
-0.08223,0.05957,-1.085571,0
-0.022125,0.018097,-0.904999,0
-0.010056,0.1577,-0.913239,0
0.026321,0.222214,-1.075012,0
0.090912,0.246719,-1.007751,0
0.083267,0.2901,-0.885818,0
0.008728,0.274185,-0.963089,0
0.056168,0.364502,-0.955185,0
0.017395,0.413742,-0.939575,0
-0.006195,0.424988,-0.92276,0
0.034302,0.419815,-0.864365,0
-0.005463,0.447388,-0.900925,0
0.028381,0.464539,-0.892975,0
-0.007172,0.46785,-0.88739,0
0.029541,0.463821,-0.889847,0
0.004349,0.458939,-0.908707,0
0.008743,0.456039,-0.8983,0
0.026352,0.451126,-0.89537,0
-0.001068,0.457855,-0.882828,0
-0.009216,0.466019,-0.887161,0
-0.014893,0.473953,-0.863297,0
-0.031616,0.478729,-0.886612,0
-0.005234,0.513428,-0.873138,0
-0.023575,0.534622,-0.846512,0
-0.040268,0.492279,-0.878906,0
0.016373,0.479752,-0.84137,0
0.008163,0.524551,-0.864624,0
-0.016815,0.50209,-0.85849,0
0.040802,0.481201,-0.828506,0
0.043564,0.48111,-0.870621,0
0.084381,0.477951,-0.817551,0
0.160538,0.459656,-0.82045,0
0.203598,0.401047,-0.758087,0
-0.051788,0.074554,-0.6996,0
-0.003952,0.160416,-0.560043,1
0.208466,0.364822,-0.422348,1
0.460922,0.545197,-0.687119,1
0.914505,0.129486,-2.8423,1
0.237411,-0.989914,-1.512344,1
0.766693,-0.483963,0.27478,1
1.51297,-0.930786,-0.661224,1
0.701126,-0.584152,-0.118713,1
0.660248,-0.353958,-0.036438,1
0.819244,-0.642395,0.102448,0
0.737701,-0.752884,-0.421509,0
0.849396,-0.256989,-0.457184,0
0.95282,-0.288788,-0.385529,0
0.936996,-0.284882,-0.312088,0
1.027451,-0.346375,-0.233887,0
1.142334,-0.368225,-0.12822,0
0.563095,-0.687546,0.095413,0
0.656952,-0.741089,-0.036057,0
0.533203,-0.801804,-0.048141,0
0.568253,-0.812622,-0.067017,0
0.450363,-0.868103,-0.09877,0
-0.054611,-1.024796,-0.048203,0
1.082642,-0.551392,-0.132889,0
0.534653,-0.775772,-0.123245,0
0.697464,-0.692566,-0.120026,0
0.683289,-0.692001,-0.215714,0
0.735931,-0.670837,-0.270599,0
0.739258,-0.645447,-0.180252,0
0.719513,-0.657333,-0.24324,0
0.718781,-0.655258,-0.222931,0
0.72319,-0.656281,-0.224121,0
0.718735,-0.655548,-0.22493,0
0.72345,-0.655884,-0.217163,0
0.710785,-0.661652,-0.244492,0
0.70874,-0.664246,-0.228165,0
0.7202,-0.661819,-0.231842,0
0.704163,-0.66713,-0.240311,0
0.711563,-0.663361,-0.238174,0
0.697235,-0.674423,-0.284729,0
