x,y,z,is_fall
-0.134216,-0.041336,-0.981186,0
-0.147812,0.018753,-0.927002,0
-0.161331,0.016342,-1.007141,0
-0.153351,-0.066299,-0.974731,0
-0.197556,-0.067184,-0.98996,0
-0.133514,-0.070709,-1.006348,0
-0.406357,-0.047821,-1.039627,0
-0.4496,0.047287,-0.9133,0
-0.360016,0.069046,-0.859024,0
-0.389847,0.096237,-0.882584,0
-0.541443,0.064087,-0.816467,0
-0.689301,0.035156,-0.798294,0
-0.825073,-0.024338,-0.620819,0
-0.696365,0.215088,-0.677505,0
-0.686691,0.313141,-0.624023,0
-0.641495,0.396057,-0.63298,0
-0.841354,0.211121,-0.476669,0
-0.874878,0.247986,-0.441971,0
-0.915802,0.159622,-0.348129,0
-0.940506,0.137619,-0.415451,0
-0.929901,0.063995,-0.239532,0
-0.855774,0.021408,-0.337097,0
-1.106583,-0.299286,-0.249435,0
-0.875885,-0.008865,-0.173416,0
-1.007904,-0.003967,-0.295776,0
-1.006226,0.305069,-0.481476,0
-0.841919,0.129776,-0.442993,0
-0.85997,0.199371,-0.506638,0
-0.85321,0.258194,-0.500641,0
-0.850739,0.243469,-0.438049,0
-1.003708,-0.023636,-0.256561,0
-0.864517,-0.015671,-0.250351,0
-0.997513,-0.000168,-0.414719,0
-0.9133,-0.241928,-0.298553,0
-0.823166,-0.386108,-0.330627,0
-0.374985,-0.762726,-0.391388,0
-0.576736,-0.735123,-0.382568,0
-0.418365,-0.767151,-0.556839,0
-0.507339,-0.826263,0.157089,0
-0.779449,-0.830536,-0.058304,0
-0.942154,-0.611359,0.262329,0
-0.972916,-0.590591,0.064621,0
-0.724854,-0.513855,0.124725,0
-0.769119,-0.782578,0.026642,0
-0.673843,-0.815033,-0.240784,0
-0.39711,-0.801422,-0.17009,0
-0.408356,-0.860382,-0.142822,0
-0.437836,-0.954849,-0.066055,0
-0.374146,-0.998291,-0.019882,0
-0.36586,-0.912933,-0.021225,0
-0.430862,-0.951523,-0.056335,0
-0.38829,-0.979446,-0.042084,0
-0.276199,-0.727112,0.009232,0
-1.272339,-0.657394,1.084442,0
-0.715195,-0.587677,0.15094,0
-0.645721,-0.767792,-0.032196,0
-0.666107,-0.663818,-0.106537,0
-0.675766,-0.794495,-0.001709,0
-0.740509,-0.764816,0.004776,0
-0.721985,-0.855362,0.03923,0
-0.621979,-0.665451,0.188477,0
-0.609116,-0.72583,-0.048859,0
-0.610703,-0.799728,0.000793,0
