x,y,z,is_fall
-0.067612,-0.130783,-0.973297,0
-0.105957,-0.076874,-0.864532,0
-0.008621,-0.110657,-0.946915,0
0.09903,-0.163071,-1.036392,0
0.073715,-0.018768,-1.079315,0
0.093613,0.068253,-0.71225,0
-0.214844,0.215729,-1.22229,0
-0.420715,0.168976,-0.937363,0
-0.572998,0.267609,-0.765884,0
-0.498108,0.325027,-0.637589,0
-0.491211,0.37674,-0.596054,0
-0.61676,0.320068,-0.446198,0
-0.803955,0.288101,-0.376755,0
-0.927444,0.393387,-0.484039,0
-0.818634,0.464615,-0.454071,0
-0.619598,0.560425,-0.595062,0
-0.655945,0.521942,-0.467072,0
-0.665176,0.6922,-0.468536,0
-0.761475,0.658112,-0.419006,0
-0.785995,0.412766,-0.357513,0
-0.911453,0.399002,-0.325027,0
-0.908432,0.203003,-0.350677,0
-0.990677,0.233826,-0.240891,0
-1.001755,0.171906,-0.422409,0
-0.837753,-0.141068,-0.302582,0
-0.927139,-0.224991,-0.355667,0
-0.775604,-0.257584,-0.52887,0
-0.603607,-0.23381,-0.487061,0
-0.643829,-0.08786,-0.610168,0
-0.762527,-0.588974,-0.888489,0
-0.737656,-0.576187,-0.521698,0
-0.615158,-0.598572,-0.34668,0
-0.908218,-0.667297,-0.602768,0
-0.543442,-0.240921,0.190231,0
-0.55777,-1.163727,-0.978882,0
-0.707108,-0.947464,-0.215073,0
-0.678848,-0.552002,-0.165466,0
-0.427338,-0.811783,-0.2603,0
-0.539017,-0.984619,-0.242416,0
-0.438873,-0.88382,-0.197296,0
-0.6763,-0.907669,-0.009644,0
-0.505905,-0.741531,0.122314,0
-0.343948,-1.017044,-0.173416,0
0.020844,-0.832779,-0.005585,0
-0.227341,-0.987579,-0.045258,0
-0.162842,-1.093597,0.023773,0
-0.128784,-0.917282,0.16423,0
-0.153839,-1.023163,-0.020401,0
-0.04512,-1.021469,0.018524,0
-0.027756,-1.122299,0.071808,0
0.331787,-0.892792,0.057358,0
0.199432,-1.015961,0.025711,0
0.327591,-0.948212,0.055618,0
0.333527,-0.997696,-0.012222,0
0.127762,-1.168762,0.192017,0
-0.026993,-1.056641,0.028351,0
-0.207062,-0.851395,0.02507,0
-0.0905,-0.917831,-0.13028,0
-0.313782,-0.765976,-0.595184,0
-0.308167,-1.012329,-0.159958,0
-0.244492,-0.855423,-0.135712,0
-0.15892,-1.036438,-0.301102,0
-0.302811,-1.119537,-0.287903,0
-0.260895,-1.063873,-0.113708,0
-0.205124,-0.782181,0.074142,0
-0.209412,-0.964142,-0.07045,0
-0.201263,-0.972794,-0.025925,0
-0.197861,-0.879745,-0.018372,0
-0.251648,-1.009308,-0.019669,0
-0.256805,-1.06015,-0.05307,0
-0.238876,-0.937424,-0.019882,0
-0.265182,-1.083054,-0.008453,0
-0.212616,-0.933899,-0.019104,0
-0.173355,-0.9617,-0.011612,0
0.07785,-1.035141,0.083817,0
-0.195755,-0.631393,-1.601486,0
-0.036133,-0.904617,-0.0923,0
-0.304367,-0.966614,-0.160446,0
-0.392258,-1.084595,0.057709,0
-0.291275,-0.82196,-0.036819,0
-0.231796,-0.953735,-0.079895,0
-0.394501,-1.135895,-0.014999,0
-0.307632,-0.859619,-0.082565,0
-0.305099,-0.876892,-0.032562,0
-0.314606,-0.927032,-0.037506,0
-0.282303,-0.873718,-0.04538,0
-0.27623,-0.791656,-0.067612,0
-0.305405,-0.64238,-0.117645,0
-0.095764,-0.49939,-0.074707,1
-0.134155,-0.593475,0.094742,1
-0.450745,-0.672272,0.009659,1
2.563431,-3.824493,0.087494,1
0.663483,-0.262894,-0.809845,1
0.562897,-0.333511,0.663254,1
0.810272,-0.101898,0.705139,1
0.17337,1.674896,0.918533,1
0.420197,-0.365402,0.639465,1
0.599655,-0.624603,0.655624,1
0.205734,-0.893265,1.05986,1
0.264313,-0.558716,0.783157,1
0.38353,-0.48027,0.778488,0
0.416977,-0.459641,0.789001,0
0.436005,-0.440384,0.801361,0
0.395508,-0.475769,0.776001,0
0.395111,-0.462845,0.801346,0
0.387909,-0.455582,0.800873,0
0.397034,-0.462204,0.794022,0
0.398148,-0.457672,0.797348,0
0.39447,-0.456863,0.796539,0
0.396973,-0.457352,0.799606,0
0.390915,-0.45517,0.805359,0
0.399445,-0.443192,0.798325,0
0.415573,-0.440369,0.787659,0
0.3927,-0.45816,0.807327,0
0.366196,-0.443588,0.824829,0
0.381744,-0.440094,0.809418,0
0.386734,-0.439865,0.807266,0
0.377502,-0.436249,0.815552,0
0.379059,-0.444824,0.817368,0
0.392181,-0.440628,0.802948,0
0.34758,-0.436676,0.813492,0
0.38591,-0.43306,0.821075,0
0.363861,-0.437607,0.811447,0
0.376053,-0.459015,0.800095,0
0.370377,-0.441757,0.840149,0
0.342697,-0.431488,0.858582,0
0.39595,-0.469147,0.789047,0
0.410004,-0.450409,0.809769,0
0.374435,-0.43399,0.842209,0
0.394592,-0.43959,0.820724,0
0.380753,-0.435745,0.829758,0
0.418182,-0.450104,0.912292,0
0.382248,-0.450684,0.81514,0
0.526352,-0.452133,0.718582,0
0.480713,-0.467056,0.679077,0
0.569,-0.434143,0.642914,0
0.650131,-0.45459,0.643463,0
0.483536,-0.43074,0.670059,0
0.614578,-0.371582,0.732056,0
0.762344,-0.452011,0.677399,0
0.489944,-0.494736,0.807098,0
0.345947,-0.471985,0.631409,0
0.417221,-0.527908,0.549362,0
0.328598,-0.420151,0.654877,0
0.467041,-0.523056,0.673172,0
0.404129,-0.615265,0.705856,0
0.396057,-0.785599,0.635208,0
0.257156,-0.763611,0.637741,0
0.180145,-0.809448,0.561523,0
0.157043,-0.902588,0.466537,0
0.166779,-0.912903,0.353546,0
0.053406,-0.979706,0.253342,0
0.067108,-0.938873,0.304825,0
0.028427,-0.96907,0.139526,0
0.105743,-0.999771,-0.009109,0
0.075165,-0.960251,0.073196,0
