x,y,z,is_fall
-0.10762,-0.174271,-0.933258,0
-0.131927,-0.08345,-1.119751,0
0.036392,-0.137283,-0.889008,0
0.054977,-0.161377,-1.056,0
0.097763,-0.059265,-0.949661,0
0.089813,-0.076355,-0.933304,0
0.115646,-0.161621,-1.094971,0
0.098907,-0.006165,-1.072525,0
-0.039581,0.015976,-1.037292,0
0.090118,0.036774,-0.829834,0
0.01355,-0.097198,-0.860291,0
0.078506,-0.113388,-1.189621,0
-0.104172,-0.344269,-1.160675,0
0.016083,0.073059,-2.037979,0
0.207123,0.124023,-0.372116,0
0.028488,-0.050812,-0.108139,0
-0.235718,0.150742,-0.232819,0
0.130493,-0.525909,-1.954987,0
0.178589,-0.355759,-1.892319,0
0.229584,0.223343,-1.313934,0
0.036224,0.081284,-0.05307,0
0.05928,0.025436,-0.236267,0
-0.046387,-0.097778,-1.125366,0
-0.105972,-0.389694,-2.299957,0
-0.135437,-0.341629,-1.221771,0
0.109634,0.090714,-0.416245,0
0.093765,-0.066238,-0.088867,0
-0.263016,0.115707,-0.686554,0
-0.188919,-0.922195,-1.808762,0
0.275238,-0.057449,-1.124695,0
0.247635,-0.059341,-0.494186,0
0.172623,-0.310242,-1.086655,0
0.070755,-0.124802,-1.045563,0
0.096069,-0.132889,-0.91835,0
-0.019806,-0.135513,-0.990707,0
-0.01355,-0.144623,-1.014816,0
0.013428,-0.149612,-1.010193,0
0.004105,-0.144684,-0.985428,0
-0.005905,-0.132507,-0.994919,0
-0.030716,-0.144608,-1.001083,0
-0.048706,-0.14502,-0.962921,0
-0.047928,-0.143204,-0.99234,0
-0.054321,-0.140884,-1.087753,0
-0.046341,-0.200638,-0.932419,0
-0.078857,-0.202499,-0.932617,0
-0.074539,-0.200531,-0.983673,0
-0.042679,-0.177948,-0.990341,0
-0.072815,-0.162216,-1.004745,0
-0.059845,-0.147018,-1.010727,0
-0.06102,-0.173401,-0.997635,0
-0.053192,-0.176468,-0.961105,0
-0.05925,-0.189499,-0.98233,0
-0.08136,-0.204208,-0.962738,0
-0.086182,-0.212738,-0.980301,0
-0.089111,-0.206833,-0.991089,0
-0.076813,-0.201462,-0.966461,0
-0.068161,-0.208084,-0.96904,0
-0.068848,-0.210434,-0.963776,0
-0.086304,-0.210938,-0.985535,0
-0.072098,-0.21048,-0.982391,0
-0.080063,-0.212891,-0.983032,0
-0.084747,-0.21022,-0.958847,0
-0.085754,-0.207657,-0.973892,0
-0.076614,-0.216766,-0.979736,0
-0.081467,-0.213867,-0.968658,0
-0.084534,-0.209015,-0.984421,0
-0.094696,-0.208847,-0.962769,0
-0.10849,-0.217194,-0.960999,0
-0.093063,-0.228271,-0.96167,0
-0.115265,-0.228775,-0.975876,0
-0.085144,-0.226822,-0.9254,0
-0.118103,-0.186722,-0.953278,0
-0.065308,-0.142029,-0.81868,0
-0.102097,-0.203751,-1.169098,0
-0.123444,-0.443054,-1.386429,0
-0.082794,0.123123,-1.76123,0
0.081375,0.016571,-0.241638,0
-0.051514,-0.001678,-0.123627,0
0.010025,-0.146011,-0.540161,0
0.027008,-0.478134,-2.284622,0
0.019577,-0.472107,-0.904282,0
-0.013718,-0.017929,-0.764832,0
-0.013931,-0.101334,-1.10675,0
-0.025955,-0.269196,-1.026367,0
-0.108063,-0.093704,-0.974609,0
-0.062088,-0.147675,-0.986923,0
-0.059387,-0.125427,-1.017929,0
-0.063766,-0.10202,-0.96344,0
-0.08667,-0.135345,-0.992203,0
-0.073196,-0.114639,-0.994965,0
-0.059082,-0.11554,-0.986603,0
-0.09375,-0.126892,-1.005325,0
-0.077942,-0.12529,-0.968231,0
-0.068283,-0.110153,-0.973236,0
-0.091812,-0.085236,-0.950989,0
-0.065231,-0.057846,-0.739365,0
-0.071259,-0.182831,-0.892654,0
-0.157898,-0.170807,-1.3479,0
-0.252655,-0.098679,-1.99707,0
-0.134949,-0.347702,-1.007797,0
0.129639,0.094955,0.01001,0
0.013596,-0.058502,-0.219757,0
-0.015854,-0.158569,-0.314713,0
0.161316,-0.37204,-2.438507,0
-0.395187,-0.739563,-1.594482,0
0.138657,0.032166,-0.524658,0
0.03154,0.069717,-0.949936,0
0.058151,-0.196396,-1.067764,0
-0.033936,-0.163223,-0.9039,0
-0.017548,-0.066666,-0.995712,0
-0.007874,-0.123535,-0.992996,0
-0.021927,-0.081024,-1.001297,0
-0.04274,-0.079742,-0.978577,0
-0.05397,-0.105865,-1.019012,0
-0.017212,-0.080978,-0.991425,0
-0.063416,-0.095581,-0.991745,0
-0.089706,-0.097397,-1.015213,0
-0.07254,-0.089294,-0.99086,0
-0.074646,-0.090958,-0.982788,0
-0.06665,-0.114609,-0.984818,0
-0.045364,-0.068909,-0.867752,0
-0.004105,-0.053223,-0.657227,0
-0.061325,-0.211243,-0.993469,0
0.005844,-0.236557,-1.42421,0
-0.336121,-0.30571,-1.939758,0
-0.389984,0.255402,-1.542267,0
-0.04454,0.088974,-0.229965,0
0.039658,0.033951,-0.074387,0
-0.026917,-0.031403,-0.094635,0
0.030594,-0.252533,-1.346176,0
-0.035782,-0.446289,-1.261581,0
-0.039825,-0.177139,-0.609085,0
0.189194,-0.170273,-0.95224,0
0.55452,-0.442551,-1.08461,0
0.105133,0.083221,-2.134995,0
0.03125,0.03331,-1.691742,0
0.047363,-0.220367,-0.622131,0
-0.238373,0.061462,-0.353287,0
0.041519,-0.145981,-1.008942,0
0.366837,-0.279953,-0.990799,0
0.035797,-0.027328,-1.298965,0
0.090317,-0.156387,-1.080536,0
0.179733,-0.235977,-0.99295,0
0.018356,-0.222839,-0.87825,0
-0.05011,-0.11586,-0.977692,0
0.064377,-0.119537,-0.880035,0
0.099152,-0.108627,-1.016678,0
0.115921,-0.139542,-0.926361,0
0.066864,-0.148621,-0.980194,0
0.04686,-0.16333,-0.92485,0
-0.000351,-0.196381,-0.913712,0
-0.035583,-0.194977,-0.966324,0
-0.005875,-0.170502,-0.935379,0
0.015793,-0.15062,-0.940964,0
0.044998,-0.128815,-0.729324,0
0.089264,-0.159119,-0.975037,0
-0.036987,-0.257843,-1.968445,0
-0.116989,-0.323288,-1.745651,0
-0.337036,0.012344,-0.84346,0
-0.032104,0.049347,-0.242538,0
-0.046677,-0.0186,-0.160873,0
0.014008,0.005508,-0.25058,0
-0.341293,-0.09108,-1.612854,0
-0.387161,-0.212738,-1.758606,0
-0.14238,-0.216568,-1.143799,0
-0.071594,-0.134659,-0.854675,0
-0.127792,-0.050369,-0.98288,0
-0.176132,-0.046112,-1.002274,0
-0.133484,-0.029938,-1.058044,0
-0.159439,-0.011993,-1.007492,0
-0.092789,-0.026459,-0.983856,0
-0.12944,-0.027893,-0.99324,0
-0.073593,-0.051865,-0.980652,0
-0.076233,-0.055725,-0.986801,0
-0.076385,-0.049042,-0.984314,0
-0.066818,-0.058105,-0.992279,0
-0.051941,-0.069565,-1.000137,0
-0.066742,-0.064301,-0.989365,0
-0.060699,-0.060135,-0.974228,0
-0.06842,-0.062729,-1.007248,0
-0.079529,-0.051956,-0.909821,0
-0.106613,-0.033493,-0.972534,0
-0.143997,-0.034058,-1.113602,0
-0.052994,-0.047699,-0.931641,0
-0.029221,-0.010651,-0.89122,0
-0.130066,-0.035248,-0.788849,0
-0.266159,-0.102814,-1.634384,0
-0.298676,0.023026,-1.795074,0
0.202194,-0.103485,-0.903793,0
0.010315,-0.010712,-0.152267,0
-0.04689,-0.032562,-0.17662,0
-0.107605,0.008026,-0.68161,0
-0.056747,-0.20723,-1.416779,0
0.102829,-0.096298,-0.963364,0
-0.061005,0.055771,-1.412201,0
0.181168,-0.2453,-1.987137,0
0.285416,-0.208511,-1.113663,0
-0.111938,0.003601,-0.931229,0
0.080231,-0.035782,-0.86264,0
0.038589,-0.144012,-0.827713,0
-0.033768,-0.184647,-0.663422,0
