x,y,z,magnitude,angle
-0.246933,-0.303711,-0.629959,0.741663414,-1.014822046
0.067108,-0.144958,-0.92572,0.939400779,-1.399923332
0.00296,-0.178497,-1.17749,1.190946112,-1.420330286
-0.009674,-0.199646,-0.995483,1.015351424,-1.37264396
-0.014771,-0.202362,-1.093811,1.112470703,-1.387382535
-0.023376,-0.162857,-1.037964,1.050922502,-1.413595682
-0.049118,-0.158447,-0.868683,0.884380113,-1.382105897
-0.133987,-0.082947,-0.690567,0.708318786,-1.346442822
-0.241196,0.079712,-1.321915,1.346101326,-1.38094506
-0.55162,-0.472305,-2.134171,2.254338594,-1.242816286
0.185883,0.147888,-0.101822,0.258439683,-0.404965968
0.182526,0.320328,0.332642,0.496564667,0.734055998
0.00174,-0.044266,0.283585,0.287024317,1.41583391
-0.252197,-0.11322,-0.89386,0.935632297,-1.27085538
-1.043747,0.963287,-3.939423,4.187646501,-1.224761046
0.746262,0.424957,-1.404724,1.646434007,-1.022074295
0.297455,0.579086,0.569824,0.865170193,0.718991952
-0.591888,-0.334961,-0.243408,0.722341838,-0.343697513
-0.011307,0.093857,-0.107834,0.143405566,-0.851017106
0.073212,0.336075,-0.51181,0.61664891,-0.979082694
-2.210083,-0.127762,-3.933426,4.513605,-1.058171155
-0.027298,0.586365,-1.260422,1.390407391,-1.134949203
-0.308701,0.452209,0.787369,0.959030359,0.963169623
-0.893936,-0.353317,-0.294205,1.00524179,-0.297018834
-0.101044,0.032974,0.25676,0.277890036,1.178314365
-0.191025,0.68782,-2.641953,2.736695554,-1.306898847
-0.20285,0.710754,-2.879227,2.972585993,-1.319509853
0.117126,0.520645,-0.212921,0.574565112,-0.379630895
-0.776062,-0.729874,0.176575,1.079892131,0.16424922
0.3759,0.130676,0.015961,0.398286054,0.040084947
-0.008804,0.048172,-0.177139,0.183783235,-1.301083441
-1.984589,-1.409698,-2.781906,3.696598834,-0.851938338
0.118835,-0.344528,-2.537979,2.564012228,-1.428174134
0.024292,0.454346,0.58757,0.743141234,0.911881728
0.086914,-0.309448,-0.45546,0.557454859,-0.956249397
-0.087357,-0.003632,0.171509,0.192509153,1.09935253
0.024399,0.189957,-1.023392,1.041158085,-1.385796198
-0.731049,-0.812714,-4.264999,4.402857385,-1.31989438
-0.013916,0.452637,-0.798355,0.917847817,-1.05482105
-0.465683,0.008362,-0.344788,0.57949059,-0.637246537
0.027054,-0.164856,-0.103104,0.196315701,-0.552944097
-0.071701,0.023376,-0.079742,0.109755443,-0.813276687
-0.558884,-0.853622,-2.578384,2.772920103,-1.193989514
-0.293121,-0.45636,-2.058838,2.129083906,-1.313205447
0.138519,0.738358,0.66568,1.00373797,0.725087555
0.119614,-0.099854,-0.049026,0.163345888,-0.304835344
0.001221,-0.000504,0.114288,0.114295633,1.559238932
-0.073441,0.340057,-0.633057,0.722352759,-1.068297996
-0.107849,-0.540771,-3.764862,3.80502964,-1.425365348
-0.115021,-0.040222,-1.645874,1.6503784,-1.49689699
0.112457,0.198837,0.6306,0.670700447,1.223249557
0.069748,-0.113464,-0.301025,0.329173075,-1.154241997
0.00531,0.044479,0.045975,0.064189393,0.798399125
-0.011292,0.338058,-1.831497,1.862469324,-1.388170994
-0.936157,-0.350769,-4.086868,4.207364837,-1.330891096
0.233337,0.395401,-0.673096,0.814767655,-0.972187227
-0.635651,-0.024521,-0.139526,0.651245712,-0.2159186
0.049591,-0.129791,-0.035156,0.143321022,-0.247824481
0.007996,-0.099686,-0.018188,0.101646633,-0.179902472
-0.476898,-0.213135,-2.03038,2.096497359,-1.318985959
-0.46666,-0.013245,-2.030609,2.083583427,-1.344817811
0.036118,0.336609,0.697708,0.775504083,1.119043286
-0.128082,-0.104065,-0.292786,0.336092494,-1.057533638
0.076889,-0.099014,0.113922,0.169392776,0.7376243
-0.026428,0.30864,-0.261948,0.405677019,-0.701947232
-0.230835,-0.268646,-3.108261,3.128376882,-1.457332353
-0.36554,0.112595,-1.739319,1.780878353,-1.354334923
-0.131638,0.048203,-0.691086,0.70516094,-1.370663106
