x,y,z,is_fall
0.020935,-0.145813,-0.929962,0
0.044571,-0.171432,-0.999069,0
0.001266,-0.114151,-0.973877,0
-0.09375,-0.11705,-0.984055,0
-0.150452,-0.202301,-0.901367,0
0.150696,-0.012878,-1.063705,0
0.069122,-0.138489,-1.071655,0
0.008698,0.051056,-0.997955,0
0.053452,-0.044556,-1.042709,0
0.07312,-0.026108,-1.025726,0
-0.090881,-0.008575,-0.980545,0
-0.069016,-0.018204,-1.042007,0
-0.135635,0.019531,-0.96373,0
-0.146179,0.074112,-1.020828,0
-0.056793,0.068756,-1.016373,0
-0.028046,0.035583,-1.024307,0
-0.032715,0.00206,-0.964859,0
-0.031052,0.017456,-1.024826,0
-0.024689,0.007523,-0.993546,0
-0.026855,0.002304,-1.028458,0
-0.005066,-0.009308,-1.008896,0
-0.024796,-0.014221,-0.952606,0
-0.025162,-0.019089,-1.015213,0
0.008179,0.005569,-1.019821,0
-0.008545,0.008575,-0.985504,0
-0.025299,0.013885,-0.979309,0
0.026993,0.025757,-1.03775,0
0.035767,0.008667,-1.000641,0
0.022186,0.005219,-0.99852,0
0.012344,-0.014587,-1.005905,0
0.035431,0.007782,-0.988876,0
0.004883,-0.008194,-0.989288,0
0.036697,-0.026749,-1.004837,0
0.015945,-0.005981,-1.056671,0
0.033264,0.073135,-0.992462,0
0.026123,0.03656,-0.971848,0
0.001999,0.005005,-1.014023,0
0.009735,0.018463,-1.025589,0
-0.010849,0.022644,-0.980469,0
0.007538,0.024643,-0.955948,0
0.017548,-0.004974,-1.01593,0
0.032578,0.005341,-0.957825,0
-0.013229,-0.026596,-0.928238,0
-0.033401,-0.032715,-1.041672,0
-0.002167,-0.023727,-1.067841,0
0.004639,-0.019501,-0.994568,0
-0.030136,-0.04744,-0.977554,0
0.004181,-0.03894,-0.978394,0
0.012466,-0.03627,-1.031006,0
0.030563,-0.028854,-1.272247,0
-0.239655,-0.032608,-1.582474,0
0.023865,0.313232,-1.82402,0
0.122726,0.192245,-0.012115,0
-0.166473,-0.612167,-0.263809,0
0.087372,0.092712,-0.351639,0
0.094238,-0.008392,-1.855789,0
0.079025,-0.37265,-1.306107,0
0.1409,0.111969,-0.81929,0
0.069138,-0.004471,-0.921478,0
-0.017914,-0.184113,-1.070724,0
-0.014099,0.004105,-0.977432,0
-0.010834,-0.044769,-0.995422,0
-0.00177,-0.092606,-1.046478,0
0.031555,-0.03125,-0.988724,0
-0.006027,-0.073441,-1.001617,0
0.003418,-0.069916,-1.018875,0
0.052338,-0.028214,-0.975555,0
0.002655,-0.075043,-1.01918,0
-0.026337,-0.084549,-0.991257,0
-0.006516,-0.086716,-0.968704,0
-0.007385,-0.093857,-1.029602,0
-0.001801,-0.064011,-0.97023,0
-0.003052,-0.089188,-0.984848,0
0.03244,-0.030014,-0.865936,0
-0.056458,-0.135925,-1.013794,0
0.010269,-0.173294,-1.187439,0
-0.303528,-0.482407,-1.719025,0
0.183853,0.103271,-1.151718,0
0.037933,0.027679,-0.09761,0
0.06601,-0.062698,-0.242706,0
-0.129425,-0.10405,-0.712631,0
-0.116837,-0.177689,-1.950607,0
0.301849,-0.210373,-1.068497,0
0.127182,-0.00499,-0.837616,0
0.089325,-0.073975,-1.17395,0
-0.052887,-0.308655,-0.898392,0
0.040375,-0.06012,-1.011154,0
0.075775,-0.166519,-0.999771,0
0.051987,-0.164688,-0.990631,0
0.047501,-0.132355,-0.982498,0
0.034256,-0.132507,-0.992584,0
0.074585,-0.149582,-0.982773,0
0.056519,-0.121216,-0.954681,0
0.017548,-0.147247,-0.955994,0
0.014786,-0.088974,-0.864899,0
0.076614,-0.082642,-0.886597,0
0.00647,-0.28125,-1.324219,0
-0.305817,-0.351532,-1.647766,0
0.039322,-0.019867,-1.426971,0
0.083313,0.105484,-0.172272,0
0.019928,0.00235,-0.136948,0
0.023438,-0.097244,-0.783997,0
-0.23114,-0.323456,-2.318466,0
0.191528,-0.285797,-1.144669,0
0.028793,0.112564,-0.7229,0
-0.057312,-0.037125,-1.08902,0
0.05661,-0.28212,-0.974609,0
-0.051712,-0.126953,-1.026871,0
0.11084,-0.10228,-0.94545,0
0.023514,-0.136749,-0.943939,0
0.066284,-0.12999,-1.020081,0
0.080978,-0.125046,-0.968994,0
0.081284,-0.125931,-1.079437,0
-0.014847,-0.113708,-0.971039,0
-0.015198,-0.063629,-0.911133,0
0.095657,-0.064621,-0.848282,0
0.020401,-0.104645,-0.901382,0
-0.016235,-0.173279,-0.97995,0
-0.050003,-0.2108,-1.552917,0
-0.264771,-0.284531,-1.684082,0
-0.072632,-0.02182,-0.97699,0
0.06514,-0.011673,-0.081741,0
0.013489,-0.074097,-0.22139,0
-0.20163,-0.190002,-1.217575,0
-0.188828,-0.165802,-1.640274,0
-0.006729,0.005737,-0.686737,0
-0.119003,0.155869,-0.939285,0
-0.014862,-0.056625,-1.13623,0
-0.030838,-0.183502,-1.002335,0
-0.06041,-0.082962,-0.950394,0
0.062958,-0.090042,-0.954712,0
0.038986,-0.113434,-0.975204,0
0.040985,-0.110901,-1.015121,0
0.080917,-0.080902,-0.9953,0
0.064209,-0.056244,-0.992767,0
0.046631,-0.079071,-0.987335,0
0.044907,-0.085861,-1.002274,0
0.029587,-0.070679,-0.919357,0
0.02684,-0.052521,-0.96051,0
0.054138,-0.099609,-1.121445,0
-0.015991,-0.075699,-0.996017,0
0.027039,0.009323,-0.861557,0
0.031677,-0.007202,-0.885666,0
0.115509,-0.091904,-0.91658,0
0.069733,-0.116837,-1.122635,0
-0.063965,-0.210327,-1.704071,0
-0.301224,-0.141586,-1.292374,0
0.103683,0.060196,-0.192307,0
0.091507,-0.097015,-0.248184,0
-0.123718,-0.113739,-0.477188,0
-0.705276,0.128204,-1.840179,0
0.054596,-0.205582,-1.081696,0
-0.032654,-0.048798,-0.625687,0
-0.150269,0.058685,-1.137253,0
-0.108353,-0.159454,-0.992722,0
-0.073471,-0.076355,-1.035538,0
-0.025024,-0.055283,-0.963882,0
-0.027771,-0.07724,-1.025665,0
-0.041351,-0.066376,-0.989258,0
0.004456,-0.105911,-0.979843,0
-0.009857,-0.087082,-1.004166,0
-0.02504,-0.104294,-0.989059,0
-0.029602,-0.101944,-0.990341,0
-0.029251,-0.091614,-0.996628,0
-0.043427,-0.106476,-1.012222,0
-0.038437,-0.105026,-0.987534,0
-0.05574,-0.109451,-0.970993,0
-0.040161,-0.098022,-0.946762,0
-0.026291,-0.105469,-0.849442,0
-0.024872,-0.111237,-0.948273,0
-0.019455,-0.210968,-1.351288,0
-0.393814,-0.265839,-1.524643,0
-0.29361,-0.033859,-1.238708,0
0.06044,0.004166,-0.147446,0
0.026535,-0.062256,-0.189453,0
-0.213013,-0.008545,-0.94841,0
-0.30368,-0.16745,-2.059906,0
0.022308,-0.292542,-0.88179,0
-0.103653,-0.04187,-0.897522,0
-0.048615,-0.137817,-1.041962,0
-0.019653,-0.187759,-0.9711,0
-0.094177,-0.18602,-0.971771,0
0.001984,-0.174576,-0.988327,0
-0.034836,-0.167191,-1.003845,0
-0.029831,-0.13208,-0.982269,0
-0.006592,-0.166672,-0.986176,0
-0.024933,-0.13945,-0.997925,0
-0.016907,-0.105545,-0.965347,0
-0.015015,-0.132095,-1.00235,0
-0.030411,-0.131699,-1.014038,0
-0.010239,-0.111496,-0.996948,0
-0.048325,-0.096786,-1.007324,0
-0.015366,-0.114502,-0.98616,0
-0.005539,-0.13298,-0.970123,0
-0.035355,-0.183105,-0.874451,0
-0.071838,-0.099945,-0.827515,0
-0.009796,-0.259613,-1.311737,0
-0.164459,-0.252502,-1.449036,0
-0.341446,-0.088013,-1.345673,0
0.04007,-0.057373,-0.219101,0
0.094757,-0.087677,-0.244812,0
-0.247543,0.018341,-0.942078,0
-0.169586,-0.319855,-1.711639,0
