x,y,z,magnitude,angle
-0.255249,-0.271332,-0.904449,0.978162103,-1.180092436
-0.149658,-0.229172,-0.902908,0.943483004,-1.276458496
-0.046951,-0.282608,-1.147873,1.183082458,-1.326216764
-0.273529,-0.163788,-0.581497,0.663161657,-1.069282065
0.025726,-0.100876,-0.85376,0.860083677,-1.449458574
-0.608185,0.148621,-0.661667,0.910922837,-0.813025563
-0.198257,0.236557,-1.103577,1.145926371,-1.29808274
0.377548,-0.166733,-1.014908,1.095618836,-1.184559193
-0.22702,-0.373001,-2.16951,2.213016373,-1.3721808
0.019806,-0.011963,-0.865829,0.866138123,-1.544078566
-0.319672,0.369095,0.486282,0.689123712,0.783343875
-0.843491,0.099228,-2.533661,2.672220299,-1.247358074
0.068863,0.249802,-1.452835,1.475761732,-1.394297506
-0.510452,-0.456573,0.246704,0.727930637,0.345759591
-0.064697,-0.279617,-2.419693,2.436654588,-1.452736125
0.169022,-0.12735,-0.183243,0.279936521,-0.713637094
-0.423309,0.567993,-0.391342,0.809292974,-0.504717698
-0.614395,1.09729,-2.929382,3.187915536,-1.165288061
-0.124359,-0.11348,0.312088,0.35460089,1.076095095
0.044189,-0.34581,-0.291382,0.454357452,-0.696198704
0.331696,0.4245,-3.13176,3.177757572,-1.400444291
0.690079,0.14743,-0.167389,0.725233554,-0.232907022
-0.835464,0.672882,-0.485107,1.177327092,-0.424692889
0.001801,0.634109,-2.432281,2.513580779,-1.315766582
-0.255951,-0.041046,0.098755,0.277395455,0.363992513
-0.29007,-0.081848,-0.520386,0.601366185,-1.045827654
0.207001,0.241272,-3.06366,3.080109444,-1.467400977
-0.16095,0.345093,0.811829,0.896694154,1.13222142
-0.593658,0.439819,-0.878815,1.14812298,-0.871719048
-1.072479,1.236389,-2.357986,2.870360072,-0.96402763
0.018539,-0.165619,-0.081558,0.185539901,-0.45512124
-0.145645,-0.097733,-0.52684,0.555269836,-1.249414904
-0.396988,-0.0168,-2.751648,2.78018856,-1.427385697
0.295212,0.328278,-0.16185,0.47022547,-0.351382948
-1.099335,0.39003,0.075714,1.168928335,0.064817526
-0.135239,0.824203,-1.887711,2.064231816,-1.15423564
-0.006714,-0.287872,-0.363342,0.463608429,-0.900642359
-0.019852,-0.177933,-0.430283,0.466044756,-1.176495547
-0.452393,-0.122482,-3.276535,3.309885628,-1.428718647
0.332458,0.090286,0.306122,0.460858506,0.726480569
-0.429214,0.523697,-0.232391,0.715883218,-0.330611405
-0.608902,0.667587,-2.656387,2.805855652,-1.242924259
0.23172,0.054138,-0.025757,0.239350171,-0.107820995
-0.016663,-0.44426,-0.463577,0.642299181,-0.806321862
0.368225,-0.383499,-2.770554,2.8211045,-1.381204863
0.23674,0.363358,0.456161,0.629410615,0.810661472
-0.422089,0.276428,-0.234894,0.556548969,-0.435710368
0.060333,0.59787,-2.053009,2.139143418,-1.286054311
-0.080322,0.050049,0.352997,0.365463279,1.308855105
0.120422,-0.693451,-1.338715,1.512459454,-1.086761598
-0.125656,-0.440964,-1.985062,2.037329091,-1.343793408
0.096634,-0.017288,0.024658,0.101217695,0.246089896
0.081284,0.51239,-0.469345,0.699596548,-0.735394189
0.039154,0.567734,-2.537125,2.600165032,-1.350146229
-0.914337,-0.167236,0.401962,1.012696143,0.408161593
-0.237839,-0.428787,-0.955078,1.073591946,-1.096490277
0.309555,-0.063217,-3.501541,3.515765928,-1.480809984
0.176315,0.290878,0.637756,0.722792989,1.080831591
-1.160873,0.304214,-0.558167,1.323526607,-0.435349218
0.275772,0.850372,-2.419083,2.578981445,-1.216812975
-0.420013,-0.309128,0.242462,0.57511639,0.435195523
0.014145,-0.411972,-1.012085,1.092811538,-1.184019051
0.224457,-0.146317,-2.789841,2.802677722,-1.475050161
0.424622,0.126175,0.571472,0.723052018,0.911397764
-0.251175,0.027176,-0.46994,0.533545705,-1.077521208
-0.322083,-0.002411,-1.921936,1.948738376,-1.404752053
-0.010864,0.528076,0.132797,0.544625864,0.246314755
-0.269867,-0.381058,-1.271133,1.354183334,-1.218756416
-0.076797,-0.406677,-2.72699,2.758216529,-1.420179581
-0.14325,-0.221222,-0.33342,0.425004273,-0.901905169
0.027634,0.15976,-0.190964,0.250507774,-0.866871222
-0.107651,-0.205872,-2.057114,2.070190819,-1.458338486
-0.133392,0.116287,-0.068604,0.189796209,-0.369834774
0.163757,-0.294693,-1.021912,1.076087568,-1.252133042
-0.132324,-0.751099,-1.436859,1.626721591,-1.082823606
-0.234634,-0.145233,-0.428452,0.509624229,-0.99861417
-0.21402,0.017014,-1.026962,1.049163946,-1.36470596
