x,y,z,is_fall
-0.58374,-0.228622,-0.781647,1
0.872406,-0.392105,-0.461044,1
-1.436539,0.57724,-1.840622,1
-1.651031,0.1642,-0.488754,1
-1.437241,-0.29451,0.045944,1
0.380249,0.703873,0.478531,1
-0.141418,0.550049,-4.181732,1
-0.108383,0.184052,-1.045639,1
-0.089127,0.478882,-1.176712,1
-0.066681,0.184067,-0.955475,1
0.209335,-0.07515,-0.979446,1
0.105881,0.054947,-0.847824,1
-0.058868,-0.015793,-0.453827,1
-0.132111,-0.1306,-0.397263,1
-0.190399,0.026642,-0.747787,1
-0.170578,0.018005,0.066879,1
3.179977,0.772247,-5.516098,1
-0.73111,-1.084167,-0.05246,1
1.741257,0.358139,-0.929001,1
0.649902,0.154694,-0.269516,1
