x,y,z,is_fall
-0.201462,-0.304779,-1.306458,0
-0.339645,-0.287994,-0.910904,0
-0.303696,-0.253952,-1.05072,0
-0.095917,-0.117874,-0.866669,0
-0.153458,-0.138672,-0.633728,0
-0.20018,-0.328125,-0.681671,0
-0.083908,-0.27562,-0.711624,0
-0.025208,-0.418945,-0.672592,0
0.026749,-0.517639,-0.720612,0
0.052658,-0.368912,-1.019791,0
0.007095,-0.315994,-0.763397,0
-0.180267,-0.268753,-0.75647,0
-0.283295,-0.117813,-1.171951,0
-0.220917,-0.122406,-0.962234,0
-0.456894,0.031219,-0.941559,0
-0.556656,-0.002533,-0.771408,0
-0.603577,-0.133865,-0.828293,0
-0.713577,-0.087906,-0.763107,0
-0.635788,-0.063812,-0.667313,0
-0.638443,0.021271,-0.639969,0
-0.708206,-0.026642,-0.593597,0
-0.828674,-0.142822,-0.700699,0
-0.885757,0.057541,-0.639847,0
-0.758652,0.199402,-0.552963,0
-0.918777,0.227417,-0.692551,0
-0.825653,0.212036,-0.5793,0
-0.758392,0.241776,-0.635956,0
-0.530579,0.350128,-0.539185,0
-0.929031,-0.009506,-0.566193,0
-0.795303,0.08548,-0.560928,0
-0.804062,0.200378,-0.548706,0
-0.79213,0.114868,-0.599991,0
-0.971695,0.029709,-0.286819,0
-0.853745,-0.29953,-0.437363,0
-0.71936,-0.205017,-0.661819,0
-0.624237,-0.363983,-0.028748,0
-0.750061,-0.195435,-0.542084,0
-0.797668,-0.614685,-0.342072,0
-0.733063,-0.908127,-0.429443,0
-0.631393,-0.619934,-0.17308,0
-0.713165,-0.683441,0.083069,0
-0.767456,-0.610229,-0.265503,0
-0.756409,-0.590454,-0.134827,0
-0.711899,-0.491562,-0.552368,0
-0.672501,-0.615372,-0.317337,0
-0.685333,-0.74147,-0.291534,0
-0.93454,-0.710785,-0.498856,0
-0.659058,-0.623367,-0.246506,0
-0.73587,-0.483856,-0.112885,0
-0.92836,-0.723526,-0.081619,0
-0.766205,-0.661728,0.033936,0
-0.639816,-0.665436,0.101059,0
-0.643402,-0.802216,0.157043,0
-0.524185,-0.792786,0.08577,0
-0.504517,-0.860138,0.128555,0
-0.306885,-0.839798,0.345108,0
-0.497742,-1.036407,0.472549,0
-0.524292,-0.774277,0.152893,0
-0.536514,-0.644867,0.059494,0
-0.517639,-0.775818,0.189743,0
-0.690491,-0.684692,0.22316,0
-0.724823,-0.706848,0.16449,0
-0.603912,-0.75647,0.103058,0
-0.660995,-0.852173,0.032654,0
-0.680893,-0.768463,-0.130905,0
-0.606049,-0.788864,-0.108521,0
-0.66687,-0.714661,-0.077118,0
-0.639801,-0.744415,-0.102631,0
-0.689148,-0.71962,-0.215454,0
-0.702881,-0.672867,-0.148315,0
-0.652618,-0.743439,-0.119247,0
-0.686981,-0.742798,-0.100143,0
-0.582733,-0.830948,-0.167618,0
-0.638123,-0.75441,-0.244858,0
-0.614639,-0.676529,-0.169342,0
-0.641006,-0.715698,-0.105347,0
-0.764099,-0.796646,-0.150909,0
-0.636459,-0.746887,-0.148422,0
-0.658875,-0.723709,-0.068558,0
-0.668518,-0.762329,-0.098511,0
-0.670822,-0.714783,-0.142975,0
-0.648041,-0.726639,-0.103683,0
-0.656631,-0.720032,-0.106842,0
-0.606491,-0.687241,-0.068298,0
-0.40947,-0.492706,-0.01178,0
-0.333191,-0.48317,-0.012375,0
-0.330795,-0.509125,-0.001678,0
-0.330933,-0.506454,0.072006,0
-5.764343,-0.965866,-0.657639,1
1.29425,-0.474594,1.067795,1
-0.876938,2.430374,0.86377,1
-0.920807,-0.20636,0.312546,1
0.141891,0.651062,0.144943,1
-0.009506,1.03656,0.172943,1
-0.10466,0.89357,-0.166687,0
-0.218262,0.945267,0.065002,0
-0.482208,0.950226,0.312576,0
-0.505783,0.518524,0.580933,0
-0.202271,0.89032,0.48262,0
-0.365112,0.914246,0.309525,0
-0.326721,0.844879,0.290985,0
-0.341476,0.877853,0.432236,0
-0.347137,0.847763,0.338989,0
-0.3311,0.868591,0.386383,0
-0.339172,0.871506,0.350479,0
-0.339844,0.862457,0.364792,0
-0.351364,0.849625,0.393234,0
-0.350204,0.850754,0.366089,0
-0.332077,0.866867,0.368866,0
-0.335754,0.862534,0.379944,0
-0.333694,0.849274,0.371368,0
-0.352875,0.850632,0.398712,0
-0.337204,0.847916,0.359863,0
-0.373856,0.852112,0.411942,0
-0.328217,0.862289,0.361359,0
-0.333878,0.873367,0.38063,0
-0.344803,0.839645,0.394882,0
-0.383835,0.83461,0.37764,0
-0.417847,0.879822,0.293076,0
-0.4384,0.84317,0.355667,0
-0.367203,0.775909,0.455444,0
-0.366699,0.824158,0.422745,0
-0.361023,0.794205,0.468613,0
-0.36853,0.761139,0.50206,0
-0.390732,0.776688,0.519348,0
-0.409424,0.737808,0.51976,0
-0.399521,0.781174,0.52771,0
-0.427368,0.733871,0.542847,0
-0.424622,0.736588,0.507889,0
-0.446716,0.734085,0.540222,0
-0.481888,0.669662,0.554443,0
-0.456741,0.724396,0.511993,0
-0.454559,0.667923,0.542557,0
-0.421646,0.750992,0.493729,0
-0.443649,0.728653,0.510529,0
-0.453812,0.731796,0.50325,0
-0.443268,0.738098,0.526611,0
-0.451462,0.736328,0.507401,0
-0.454514,0.72583,0.526337,0
-0.534576,0.667282,0.497971,0
-0.60936,0.664078,0.454651,0
-0.545532,0.725098,0.467529,0
-0.554901,0.66925,0.451309,0
-0.549667,0.677246,0.490738,0
-0.543762,0.709625,0.442993,0
-0.558289,0.694061,0.499771,0
-0.478699,0.718781,0.476089,0
-0.462158,0.739487,0.457321,0
-0.480362,0.713455,0.522446,0
-0.476471,0.69696,0.514938,0
-0.451996,0.731735,0.494308,0
-0.46817,0.771713,0.439621,0
-0.463165,0.663376,0.562805,0
-0.447189,0.722076,0.511032,0
-0.459564,0.6716,0.475586,0
-0.512665,0.577332,0.69313,0
-0.538452,0.610626,0.57901,0
-0.590424,0.574188,0.461121,0
-0.690872,0.561661,0.389221,0
-0.822067,0.532806,0.143845,0
-0.850815,0.454712,-0.212265,0
-0.865509,0.468384,-0.202911,0
-0.99498,0.509247,-0.490204,0
-0.869385,0.460373,-0.3797,0
-0.85965,0.335052,0.029175,0
-0.854706,0.378494,-0.419296,0
-0.849716,0.382706,-0.32843,0
-0.882462,0.251526,-0.436523,0
-0.735291,0.44812,-0.657639,0
