x,y,z,is_fall
-0.026932,-0.169266,-0.948196,0
-0.250793,-0.164703,-1.051498,0
-0.259979,-0.094299,-1.018082,0
-0.309555,0.004822,-0.993073,0
-0.597626,0.03569,-0.81691,0
-0.618347,0.149841,-0.698715,0
-0.726334,0.077103,-0.60614,0
-0.848541,-0.008331,-0.483063,0
-0.936111,-0.088791,-0.359024,0
-0.892365,-0.084274,-0.392563,0
-0.903885,0.036682,-0.445938,0
-0.828995,0.262466,-0.463593,0
-0.943146,0.115036,-0.369446,0
-1.092606,0.089508,-0.287262,0
-0.834763,-0.079239,-0.324265,0
-0.97641,0.905228,-0.309952,0
-1.115753,-0.223785,-0.104874,0
-0.836075,0.001068,-0.292801,0
-0.889847,0.340576,-0.134674,0
-0.909027,-0.129257,-0.089951,0
-0.575485,-0.427383,-0.259399,0
-0.660248,-0.01416,-0.315125,0
-1.010193,0.297577,-0.66423,0
-0.808151,0.107468,-0.422943,0
-1.003876,0.004959,-0.438248,0
-1.02356,0.145142,-0.487442,0
-0.906403,0.140945,-0.526367,0
-0.828293,-0.028091,-0.473206,0
-0.85379,-0.001221,-0.413895,0
-0.973648,0.049789,-0.483109,0
-0.877899,-0.136047,-0.42453,0
-0.983215,0.037888,-0.425827,0
-0.902725,-0.171997,-0.490356,0
-0.813721,-0.125702,-0.524246,0
-0.845901,-0.098297,-0.570633,0
-0.66449,-0.103409,-0.550049,0
-0.592682,0.106522,-0.412018,0
-0.430206,-0.60936,-0.788681,0
-0.924316,-0.196228,-0.679688,0
-0.716614,-0.229385,-0.450836,0
-0.453125,-0.719376,-0.259064,0
-1.495621,0.160126,0.028992,0
-0.994705,0.108612,-0.144684,0
-0.794281,0.228516,-0.577103,0
-0.510437,0.040344,-0.34877,0
-0.653839,-0.370682,-0.501556,0
-0.741348,-0.546204,-0.581406,0
-0.881805,-0.415176,-0.288513,0
-0.755508,-0.651245,-0.319397,0
-0.75148,-0.443756,-0.266068,0
-0.69693,-0.137253,-0.027344,0
-0.602173,-0.268204,-0.449509,0
-0.537872,-0.580368,-0.268524,0
-0.751572,-0.797943,-0.193924,0
-0.42189,-1.192123,-0.069305,0
-0.358978,-0.848373,-0.272339,0
0.024353,-1.04216,-0.257767,0
-0.013458,-1.011551,-0.12645,0
-0.102371,-0.952164,-0.157532,0
0.28511,-1.016937,0.004349,0
0.241043,-0.94455,-0.134491,0
0.363831,-0.994141,-0.16861,0
0.358902,-0.924286,-0.187042,0
0.362183,-0.926758,-0.286102,0
0.355164,-0.909607,-0.180908,0
0.410553,-0.883865,-0.155182,0
0.402573,-0.901581,-0.309845,0
0.383789,-0.956482,-0.28598,0
0.413254,-0.8246,-0.29747,0
0.38826,-0.888321,-0.308578,0
0.414154,-0.81044,-0.238617,0
0.43483,-0.847427,-0.26535,0
0.409668,-0.922348,-0.233231,0
0.311981,-0.857376,-0.170197,0
0.370575,-0.983856,-0.187881,0
0.397064,-0.955795,-0.097855,0
0.297668,-1.007965,-0.255692,0
0.346741,-0.859726,0.039078,0
0.361282,-0.882477,-0.036224,0
0.380814,-0.863251,-0.062653,0
0.505905,-0.99733,-0.154678,0
0.424988,-0.856461,-0.016754,0
0.412872,-0.847885,-0.069077,0
0.429276,-0.873886,-0.095718,0
0.414032,-0.925491,-0.111282,0
0.414215,-0.906647,-0.176712,0
0.418198,-0.802979,-0.329498,0
0.419632,-0.909302,-0.090729,0
0.277817,-0.909317,-0.380661,0
0.356659,-0.886459,-0.164795,0
0.388092,-0.83786,-0.183701,0
0.537735,-0.865005,-0.302841,0
0.359192,-0.893402,-0.093063,0
0.301636,-0.941238,-0.238312,0
0.430115,-0.876419,-0.075897,0
0.405777,-0.920181,-0.142746,0
0.365082,-0.910629,-0.109726,0
0.370773,-0.88205,-0.121872,0
0.375854,-0.803635,-0.148026,0
0.345337,-0.686844,-0.192215,0
0.242386,-0.754929,-0.257095,0
0.229401,-0.680786,-0.286118,0
0.241669,-0.518127,-0.292847,0
0.164795,-0.534164,-0.03093,1
-0.34343,-1.92009,-0.010941,1
0.574921,0.458496,0.006882,1
-1.554672,0.247009,0.369965,1
