x,y,z,is_fall
-0.097061,-0.241119,-1.003647,0
-0.077423,-0.278442,-0.994995,0
-0.075043,-0.234009,-0.936172,0
-0.020508,-0.202408,-0.966904,0
0.093094,-0.219162,-0.912216,0
0.256531,-0.145035,-0.930405,0
0.531082,-0.268463,-0.94043,0
0.33902,-0.392136,-0.748993,0
0.445572,-0.433121,-0.812775,0
0.658005,-0.337067,-0.550552,0
0.156998,-0.493835,-1.019119,0
0.280289,-0.38063,-0.929077,0
0.357086,-0.172226,-0.913818,0
0.435577,-0.017334,-0.792831,0
0.503967,0.045792,-0.808151,0
0.583481,0.092331,-0.68959,0
0.713943,0.287064,-0.712082,0
0.750641,0.421188,-0.675995,0
0.994293,0.318298,-0.616562,0
1.052933,0.361221,-0.181274,0
0.677658,0.462509,0.013657,0
0.951401,0.426712,-0.148605,0
0.929443,0.313263,-0.141129,0
0.962982,0.176071,-0.159927,0
0.958633,0.306732,-0.052612,0
0.952347,0.349579,0.002426,0
0.945068,0.164032,-0.062042,0
0.961914,0.217422,-0.175888,0
0.977264,0.164703,-0.137466,0
1.084885,0.202133,-0.278229,0
0.988327,0.158905,-0.076462,0
1.005417,0.246185,-0.151474,0
0.820175,0.201813,-0.000824,0
0.950607,0.41452,-0.139145,0
1.008713,0.438492,0.043777,0
0.782562,0.392502,-0.081009,0
0.977966,0.331238,-0.12915,0
0.912201,0.392502,-0.183365,0
0.896423,0.250427,-0.229736,0
1.079315,0.530945,-0.024307,0
0.784409,0.672989,0.148819,0
0.719254,0.565186,-0.126434,0
0.916168,0.53241,-0.151215,0
0.815338,0.70546,-0.033051,0
0.666946,0.673645,-0.187576,0
0.794006,0.702377,-0.191544,0
0.62233,0.778809,-0.084885,0
0.592545,0.827576,-0.071457,0
0.731949,0.929855,-0.106415,0
0.706329,0.67038,-0.12352,0
0.535431,0.71875,-0.125824,0
0.785477,0.729248,-0.210495,0
0.618759,0.785843,-0.22554,0
0.487732,0.852173,-0.103653,0
0.620224,0.838181,-0.099838,0
0.589722,0.834824,-0.028702,0
0.511734,0.810944,-0.158707,0
0.508347,0.812317,-0.137482,0
0.476471,0.823013,-0.16452,0
0.40416,0.803879,-0.144806,0
0.511993,0.926819,-0.10939,0
0.488159,0.792725,-0.078339,0
0.445953,0.696915,-0.134705,0
0.641174,0.774902,-0.186722,0
0.623444,0.744995,-0.156357,0
0.654816,0.772751,-0.166397,0
0.622391,0.755203,-0.15593,0
0.63327,0.753448,-0.137146,0
0.644012,0.771545,-0.161346,0
0.638702,0.753296,-0.104828,0
0.641708,0.764481,-0.103729,0
0.599625,0.725998,-0.076904,0
0.601654,0.698257,-0.06395,0
0.540237,0.673325,-0.19191,0
0.546463,0.666458,-0.243042,0
0.547089,0.624237,-0.351028,0
0.741592,0.678131,-0.360733,0
0.697067,0.707291,-0.463181,0
0.725372,0.453384,-0.637451,0
0.74913,0.479065,-0.751968,0
0.621231,0.429153,-0.808975,0
0.46611,0.370438,-0.759979,0
0.406693,0.326172,-0.853455,0
0.362808,0.283142,-0.890488,0
0.361481,0.267456,-0.870789,0
0.365936,0.233948,-0.893768,0
0.33313,0.234863,-0.918091,0
0.324966,0.192993,-0.911301,0
0.365204,0.208527,-0.909393,0
0.353622,0.225677,-0.919342,0
0.343384,0.206757,-0.914673,0
0.365952,0.208496,-0.92244,0
0.354218,0.190506,-0.928864,0
0.361572,0.20639,-0.922668,0
0.370087,0.205353,-0.907959,0
0.365234,0.208755,-0.903656,0
0.358246,0.206146,-0.905121,0
0.357162,0.194489,-0.910385,0
0.363495,0.198181,-0.911652,0
0.362366,0.200287,-0.913467,0
0.360977,0.188354,-0.902328,0
0.367157,0.200195,-0.90271,0
0.367767,0.198685,-0.904602,0
0.383102,0.196945,-0.90361,0
0.369904,0.194168,-0.911438,0
0.350937,0.18869,-0.911987,0
0.363403,0.179779,-0.909439,0
0.383514,0.193512,-0.903,0
0.362747,0.186691,-0.902313,0
0.3591,0.17897,-0.907608,0
0.367477,0.173279,-0.908707,0
0.367584,0.170959,-0.917709,0
0.359604,0.163742,-0.927963,0
0.356995,0.196228,-0.923187,0
0.354095,0.171967,-0.902344,0
0.396896,0.224503,-0.878571,0
0.383453,0.189636,-0.889023,0
0.371918,0.207291,-0.89621,0
0.421021,0.181213,-0.873093,0
0.419189,0.286545,-0.760025,0
0.678802,0.341599,-1.128235,0
0.628525,0.45993,-0.76358,0
0.671387,0.514404,-0.722275,0
0.721344,0.424774,-0.625824,0
0.685196,0.528641,-0.639954,0
0.741135,0.569519,-0.485718,0
0.554138,0.497284,-0.368149,0
0.640457,0.583267,-0.301941,0
0.547836,0.505386,-0.21814,0
0.795624,0.619156,-0.381424,0
0.700806,0.628922,-0.203659,0
0.693512,0.677368,-0.247833,0
0.634125,0.693115,-0.251892,0
0.672043,0.661758,-0.325439,0
0.688904,0.66333,-0.291626,0
0.66713,0.693253,-0.247421,0
0.682281,0.662399,-0.282425,0
0.677856,0.687332,-0.266006,0
0.654572,0.652588,-0.224228,0
0.775558,0.632843,-0.227859,0
0.73233,0.671707,-0.137909,0
0.757126,0.646271,-0.116302,0
0.742737,0.644165,-0.154297,0
0.750092,0.636505,-0.15126,0
0.755188,0.637802,-0.153793,0
0.757919,0.63942,-0.147583,0
0.750366,0.641174,-0.145782,0
0.751678,0.632645,-0.12738,0
0.769485,0.63858,-0.144653,0
0.753983,0.648422,-0.151871,0
0.750244,0.63559,-0.133011,0
0.739883,0.652969,-0.155228,0
0.745102,0.651123,-0.147247,0
0.727753,0.658875,-0.098572,0
0.753433,0.646667,-0.141327,0
0.749619,0.646378,-0.154968,0
0.753128,0.644485,-0.147034,0
0.744492,0.64653,-0.137726,0
0.746841,0.642441,-0.148605,0
0.728256,0.656616,-0.153046,0
0.733459,0.645767,-0.156296,0
0.743576,0.643112,-0.154984,0
0.733307,0.650757,-0.153625,0
0.7164,0.683456,-0.138519,0
0.727692,0.65123,-0.146194,0
0.720383,0.678986,-0.161942,0
0.733002,0.671692,-0.142456,0
0.73027,0.667969,-0.088608,0
0.741837,0.654922,-0.131836,0
0.705414,0.641068,-0.134232,0
0.737228,0.661652,-0.167221,0
0.702972,0.632782,-0.086365,0
0.648056,0.572311,-0.125595,0
0.589523,0.588608,-0.240463,0
0.580017,0.610931,-0.321396,0
0.603943,0.524689,-0.526108,0
0.682785,0.496246,-0.524368,0
0.728699,0.42749,-0.740448,0
0.606857,0.305008,-0.869217,0
0.544052,0.290024,-0.991287,0
0.437012,0.186401,-0.956665,0
0.288208,0.168228,-0.900833,0
0.286758,0.122559,-0.889374,0
0.248581,0.132309,-0.910309,0
0.254837,0.090973,-0.945511,0
0.202606,0.085953,-0.909088,0
0.215118,0.086105,-1.01442,0
0.186203,0.069977,-0.97348,0
0.176254,0.100021,-0.981476,0
0.186371,0.116516,-0.976105,0
0.183838,0.098175,-0.933502,0
0.186935,0.124252,-0.968338,0
0.155106,0.07634,-0.983032,0
0.169144,0.084381,-0.977875,0
0.166138,0.087692,-0.985672,0
0.176361,0.094452,-0.975433,0
0.180389,0.078949,-0.981522,0
0.165466,0.084763,-0.977188,0
0.18158,0.076111,-0.979477,0
0.184082,0.072678,-0.983017,0
