x,y,z,is_fall
0.053894,-0.284515,-0.811859,0
0.046127,-0.124588,-1.057526,0
-0.056931,-0.336533,-0.886246,0
-0.008728,-0.081055,-0.952148,0
0.033478,-0.496277,-0.458908,0
-0.173615,-0.293854,-1.333908,0
0.11171,-0.183792,-0.891891,0
0.049515,-0.140869,-1.025467,0
0.007889,-0.172943,-1.109634,0
-0.021317,-0.145615,-1.094177,0
0.009079,-0.183609,-1.17363,0
0.021332,-0.101212,-0.938324,0
-0.024826,-0.175659,-1.063416,0
-0.048569,-0.053802,-0.958664,0
-0.007233,-0.041229,-0.965164,0
0.026703,-0.016724,-0.930832,0
-0.00209,0.008759,-0.853592,0
-0.108994,-0.098175,-0.73851,0
-0.125702,-0.151733,-0.893372,0
-0.030746,-0.188873,-0.85907,0
-0.132614,-0.149109,-1.110229,0
-0.183289,-0.265335,-1.176712,0
-0.048492,-0.266739,-1.100616,0
-0.087463,-0.356323,-1.142731,0
0.064285,-0.136429,-0.987839,0
-0.162354,-0.255081,-0.921814,0
-0.097641,-0.193146,-1.108902,0
-0.039871,-0.221161,-0.982468,0
-0.10817,-0.230362,-0.956116,0
-0.082825,-0.208481,-0.951004,0
-0.139053,-0.27356,-0.988892,0
-0.096329,-0.177292,-0.950699,0
-0.19014,-0.24884,-0.926315,0
-0.079514,-0.212891,-0.945465,0
-0.138641,-0.190598,-0.954254,0
-0.076767,-0.150131,-0.971466,0
-0.087097,-0.095612,-0.988541,0
-0.094437,-0.072449,-1.035751,0
0.028168,-0.076035,-1.241074,0
-0.226212,0.252884,-1.058197,0
-0.090088,0.331528,-1.235168,0
-0.280899,0.169846,-1.053513,0
-0.206024,0.190842,-0.999603,0
-0.055145,0.134628,-0.876892,0
-0.083328,0.13504,-0.777145,0
-0.164841,0.071365,-0.818878,0
-0.151291,0.056061,-1.000778,0
-0.128403,0.000916,-0.891312,0
-0.160294,0.017593,-0.994232,0
-0.132751,-0.087952,-0.994431,0
-0.115341,-0.042175,-0.984467,0
-0.110535,-0.063385,-0.994812,0
-0.117752,-0.080856,-0.972687,0
-0.095642,-0.1306,-0.954453,0
-0.122879,-0.120682,-1.021667,0
-0.095764,-0.084702,-0.978943,0
-0.094727,-0.136673,-0.990936,0
-0.0961,-0.119202,-1.006683,0
-0.111374,-0.156601,-0.95549,0
-0.093719,-0.14978,-0.980911,0
-0.106812,-0.158188,-1.001297,0
-0.10228,-0.159729,-0.998199,0
-0.125809,-0.19101,-1.08667,0
