x,y,z,is_fall
0.227509,-0.372833,-0.819702,0
0.148132,-0.359238,-0.878311,0
0.190063,-0.449631,-0.966721,0
0.17482,-0.250443,-1.071838,0
0.137512,-0.375824,-0.923798,0
0.122711,-0.324081,-0.914719,0
0.253784,-0.343155,-0.826279,0
0.096375,-0.325531,-0.94281,0
0.085876,-0.318115,-0.851181,0
0.204712,-0.309158,-0.997147,0
0.310181,-0.271423,-0.94841,0
0.133682,-0.417145,-0.963135,0
0.326935,-0.26442,-0.977341,0
-0.156647,-0.182449,-0.930588,0
-0.197235,-0.319427,-0.984589,0
0.07666,-0.308655,-0.978531,0
-0.019226,-0.342941,-0.78244,0
0.017929,-0.415436,-0.938065,0
0.127914,-0.442703,-1.036087,0
-0.050949,-0.410614,-0.990433,0
-0.063675,-0.083359,-1.072449,0
-0.04364,-0.324463,-0.796524,0
0.000168,-0.251053,-0.989197,0
0.032104,-0.261887,-0.842575,0
0.073303,-0.313736,-0.973541,0
0.131195,-0.329239,-0.979065,0
-0.040619,-0.206863,-1.150421,0
0.224182,0.033218,-1.119629,0
-0.241257,-0.363434,-0.853256,0
0.251022,-0.188492,-0.937439,0
0.250214,-0.296509,-0.748672,0
-0.061874,-0.363953,-1.028397,0
0.122009,-0.389984,-1.037582,0
0.187912,-0.126083,-1.125183,0
-0.033173,0.06662,-0.761475,0
0.04837,-0.154739,-0.978653,0
0.150162,-0.039993,-1.130417,0
-0.022903,-0.307175,-0.922501,0
0.268677,-0.128586,-0.836838,0
0.238098,-0.255676,-1.053482,0
0.074326,-0.223312,-0.937012,0
0.041718,-0.324036,-0.94339,0
0.067703,-0.288101,-0.986679,0
-0.013901,-0.296066,-0.889877,0
0.092117,-0.279861,-0.968948,0
0.134476,-0.22641,-0.975586,0
-0.009369,-0.148254,-1.028625,0
0.240952,-0.144302,-0.999939,0
0.178223,-0.222626,-1.119614,0
0.119324,-0.18335,-0.91571,0
0.079758,-0.274399,-0.881516,0
0.103043,-0.191925,-1.118668,0
0.154251,-0.185852,-0.85321,0
-0.083618,-0.262283,-1.134033,0
0.081467,-0.19989,-0.978317,0
-0.102768,-0.221069,-0.976349,0
0.010498,-0.309753,-0.985748,0
0.102859,-0.259521,-0.98558,0
-0.079483,-0.312897,-0.888916,0
-0.24559,-0.229996,-0.870483,0
-0.150284,-0.30217,-0.922195,0
-0.142136,-0.320099,-1.080399,0
-0.195938,-0.343582,-1.160995,0
0.010681,-0.024231,-0.960678,0
-0.022552,-0.004379,-0.807602,0
-0.160431,-0.253174,-1.015793,0
-0.225159,-0.375641,-0.871475,0
0.222824,-0.265656,-1.021667,0
0.148941,-0.127213,-1.112045,0
-0.23172,-0.245468,-0.948257,0
0.162704,-0.081024,-1.037476,0
-0.077469,-0.03389,-0.893768,0
-0.286163,-0.233414,-0.757812,0
-0.248032,-0.357101,-0.962646,0
-0.164261,-0.32431,-1.078552,0
-0.053223,-0.01889,-1.286713,0
0.02916,-0.01944,-0.562943,0
-0.28447,-0.312759,-1.047607,0
-0.069092,-0.172516,-0.972961,0
-0.06987,-0.189301,-1.003235,0
0.088699,-0.240616,-0.893677,0
-0.295227,-0.218338,-1.160614,0
0.025986,0.070694,-0.98822,0
-0.324356,-0.216812,-1.026566,0
-0.005966,-0.243576,-0.766266,0
-0.021713,-0.27356,-0.992432,0
-0.259338,-0.265625,-0.908157,0
-0.229004,-0.427048,-1.101227,0
0.099258,-0.048843,-1.039154,0
-0.185257,-0.183563,-0.793564,0
-0.14682,-0.161774,-0.965302,0
-0.228287,-0.350189,-0.889099,0
-0.118805,-0.294617,-1.081085,0
0.068497,-0.264771,-1.074554,0
0.124634,-0.105804,-0.994034,0
-0.370834,-0.201126,-0.976959,0
-0.143204,-0.219757,-1.037491,0
0.021576,-0.275803,-0.850861,0
-0.210526,-0.200073,-0.932037,0
-0.220291,-0.269608,-0.81514,0
-0.221161,-0.296295,-0.96991,0
-0.115143,-0.160339,-1.045532,0
-0.208694,-0.205368,-0.891403,0
-0.071335,-0.224625,-1.038696,0
