time,x,y,z,TgF
0.0390,-0.2178,0.7215,0.7147,1.04
0.1400,-0.1321,0.7005,0.8048,1.08
0.2400,-0.1021,0.6763,0.5794,0.90
0.3410,-0.0608,0.6680,0.6854,0.96
0.4730,-0.1502,0.7410,0.8097,1.11
0.5650,-0.1192,0.6133,0.7352,0.96
0.6610,0.0361,0.6400,0.6859,0.94
0.7670,0.1450,0.6458,0.8446,1.07
0.8410,0.2119,0.6570,0.6944,0.98
0.9420,0.1487,0.7887,0.9073,1.21
1.0420,0.2593,0.5377,1.4955,1.61
1.1430,-0.0779,0.5076,0.9989,1.12
1.2460,0.2644,0.3184,0.9906,1.07
1.3440,0.2110,0.4356,0.7015,0.85
1.4440,0.0488,0.4168,0.7938,0.90
1.5440,-0.0315,0.3116,0.7860,0.85
1.6460,-0.2068,0.3709,0.8055,0.91
1.7680,-0.4581,0.2957,0.7073,0.89
1.8660,-0.7044,0.2266,0.6209,0.97
1.9630,-0.9090,0.3684,0.6146,1.16
2.0630,-0.8751,0.2500,0.5540,1.07
2.1690,-0.6885,0.1311,0.5640,0.90
2.2740,-0.7686,0.0662,0.3724,0.86
2.3720,-1.1207,-0.0181,0.5206,1.24
2.4700,-0.9513,-0.0264,0.4598,1.06
2.5680,-1.0875,-0.0418,0.3199,1.13
2.6670,-0.8665,0.0151,0.3272,0.93
2.7660,-0.9305,0.0100,0.3050,0.98
2.8530,-0.9564,-0.0037,0.3528,1.02
2.9670,-0.9337,-0.0144,0.3487,1.00
3.0670,-0.9449,-0.0232,0.3631,1.01
3.1670,-0.9923,-0.0085,0.3570,1.05
3.2730,-0.9527,0.0120,0.3912,1.03
3.3700,-0.9557,0.0195,0.3409,1.01
3.4590,-0.9417,0.0413,0.3462,1.00
3.5590,-0.9542,0.0413,0.4017,1.04
3.6590,-0.9234,0.0483,0.3958,1.01
3.7590,-0.8980,0.0540,0.3753,0.97
3.8610,-0.9334,0.0593,0.3997,1.02
3.9600,-0.9361,0.0549,0.4419,1.04
4.0610,-0.9137,0.0608,0.3572,0.98
4.1610,-0.9278,0.0508,0.4153,1.02
4.2610,-0.9291,0.0613,0.4434,1.03
4.3610,-0.9303,0.0635,0.4441,1.03
4.4620,-0.9019,0.0864,0.4324,1.00
4.5630,-0.9337,0.0732,0.4302,1.03
4.6630,-0.9425,0.0649,0.4002,1.03
4.7630,-0.9295,0.0628,0.4224,1.02
4.8640,-0.9239,0.0569,0.4546,1.03
4.9640,-0.9234,0.0701,0.4290,1.02
5.0650,-0.9317,0.0662,0.4485,1.04
5.1650,-0.9295,0.0945,0.4244,1.03
5.2650,-0.9371,0.0950,0.4278,1.03
5.3650,-0.9312,0.1316,0.4317,1.03
5.4660,-0.8656,0.1516,0.4454,0.99
5.5660,-0.9740,0.2117,0.4605,1.10
5.6660,-0.8695,0.2107,0.4703,1.01
5.7670,-0.8460,0.1504,0.5201,1.00
5.8670,-0.8702,0.1406,0.5252,1.03
5.9680,-0.9022,0.1680,0.4590,1.03
6.0680,-0.8841,0.1531,0.4966,1.03
6.1690,-0.8919,0.1353,0.4974,1.03
6.2690,-0.9019,0.1419,0.4949,1.04
6.3690,-0.9200,0.1409,0.4786,1.05
6.4700,-0.9015,0.1384,0.5042,1.04
6.5700,-0.8868,0.1587,0.5127,1.04
6.6710,-0.8998,0.1487,0.4852,1.03
6.7720,-0.8795,0.1511,0.4539,1.00
6.8730,-0.8761,0.1548,0.4561,1.00
