time,x,y,z,TgF
0.002,-0.0913,0.4117,0.8167,0.919
0.002,-0.0928,0.4082,0.8121,0.914
0.002,-0.0967,0.4051,0.8184,0.918
0.003,-0.0991,0.3985,0.8365,0.932
0.003,-0.1004,0.3912,0.8531,0.944
0.003,-0.1001,0.3841,0.8678,0.954
0.003,-0.1001,0.3811,0.8797,0.964
0.004,-0.1057,0.3794,0.8941,0.977
0.01,-0.1138,0.377,0.9183,s
0.01,-0.1179,0.3785,0.9503,1.03
0.011,-0.1162,0.3826,0.9732,1.052
0.013,-0.1118,0.3916,0.9852,1.066
0.016,-0.1069,0.3995,0.9913,1.074
0.019,-0.1006,0.4053,0.9869,1.072
0.021,-0.0972,0.4102,0.9808,1.068
0.024,-0.093,0.4124,0.9769,1.064
0.026,-0.0952,0.4158,0.9759,1.065
0.028,-0.0979,0.4117,0.9776,1.065
0.031,-0.1006,0.41,0.9769,1.064
0.033,-0.105,0.4085,0.9774,1.065
0.037,-0.1082,0.4058,0.9754,1.062
0.039,-0.1067,0.4031,0.971,1.057
0.042,-0.1111,0.4046,0.9647,1.052
0.044,-0.1123,0.4056,0.9564,1.045
0.046,-0.1133,0.4043,0.9557,1.044
0.048,-0.1113,0.4075,0.95,1.04
0.052,-0.1072,0.4102,0.9376,1.029
0.054,-0.1062,0.4104,0.9254,1.018
0.056,-0.1023,0.4117,0.9198,1.013
0.059,-0.1004,0.4153,0.9139,1.009
0.061,-0.0967,0.4178,0.9134,1.009
0.063,-0.0962,0.4205,0.9117,1.009
0.066,-0.0967,0.4192,0.9105,1.007
0.069,-0.0913,0.4207,0.9139,1.01
0.071,-0.0877,0.4222,0.919,1.015
0.074,-0.0886,0.4212,0.9229,1.018
0.076,-0.085,0.4192,0.9239,1.018
0.079,-0.0845,0.4178,0.9259,1.019
0.081,-0.082,0.4143,0.9283,1.02
0.086,-0.0794,0.4104,0.9283,1.018
0.086,-0.0737,0.4068,0.9259,1.014
0.088,-0.0718,0.4046,0.9251,1.012
0.091,-0.0679,0.4024,0.9205,1.007
0.093,-0.0649,0.4039,0.9156,1.003
0.096,-0.0618,0.4026,0.9095,0.997
0.099,-0.0615,0.4012,0.9037,0.991
0.101,-0.0615,0.4007,0.9017,0.989
0.104,-0.0586,0.3965,0.8968,0.982
0.107,-0.0564,0.3965,0.8966,0.982
0.108,-0.0591,0.396,0.8971,0.982
0.111,-0.0628,0.3938,0.8971,0.982
0.113,-0.0642,0.3912,0.8988,0.982
0.116,-0.0693,0.3904,0.9012,0.985
0.119,-0.0742,0.3868,0.9022,0.984
0.121,-0.0759,0.3892,0.9068,0.99
0.124,-0.0784,0.3909,0.9107,0.994
0.126,-0.083,0.3887,0.9144,0.997
0.128,-0.0828,0.3909,0.919,1.002
0.131,-0.0852,0.3926,0.9281,1.011
0.133,-0.0886,0.3946,0.9327,1.017
0.137,-0.0879,0.3965,0.9374,1.022
0.139,-0.0857,0.3968,0.9439,1.028
0.141,-0.0881,0.3985,0.9391,1.024
0.143,-0.0886,0.3987,0.9339,1.019
0.146,-0.0881,0.3992,0.9293,1.015
0.148,-0.0935,0.398,0.9269,1.013
0.151,-0.0913,0.398,0.9276,1.013
0.154,-0.0906,0.3965,0.9254,1.011
0.156,-0.0911,0.397,0.9244,1.01
0.159,-0.0913,0.3948,0.9259,1.011
0.161,-0.0906,0.3951,0.9215,1.007
0.164,-0.0955,0.3943,0.9234,1.009
0.166,-0.0994,0.3912,0.9239,1.008
0.169,-0.1008,0.3914,0.9278,1.012
0.171,-0.1016,0.3907,0.9315,1.015
0.174,-0.1016,0.3919,0.9337,1.018
0.176,-0.1006,0.3938,0.9361,1.021
0.178,-0.0979,0.3982,0.9383,1.024
0.181,-0.0957,0.3995,0.941,1.027
0.183,-0.0947,0.3999,0.9425,1.028
0.186,-0.0925,0.4012,0.9464,1.032
0.188,-0.0947,0.4009,0.9464,1.032
0.191,-0.0891,0.4014,0.9449,1.031
0.193,-0.0862,0.4031,0.9479,1.034
0.196,-0.0852,0.4004,0.9491,1.034
0.199,-0.0852,0.396,0.9444,1.028
0.201,-0.0825,0.3946,0.9471,1.029
0.204,-0.0808,0.3929,0.9479,1.029
0.206,-0.0811,0.3904,0.9481,1.029
0.208,-0.0803,0.3882,0.9464,1.026
0.211,-0.0774,0.3875,0.9493,1.028
0.213,-0.0764,0.3863,0.9476,1.026
0.216,-0.073,0.386,0.9464,1.025
0.219,-0.074,0.3846,0.9435,1.022
0.221,-0.074,0.3838,0.9403,1.018
0.223,-0.0713,0.3848,0.9371,1.016
0.226,-0.0686,0.3863,0.9278,1.007
0.228,-0.0706,0.387,0.9276,1.008
0.231,-0.0708,0.3853,0.9251,1.005
0.233,-0.0713,0.3836,0.9225,1.002
0.237,-0.0708,0.3843,0.9205,1
0.239,-0.0723,0.3848,0.9198,1
0.241,-0.072,0.3841,0.9193,0.999
0.243,-0.0745,0.3824,0.9207,1
0.246,-0.0781,0.3797,0.9234,1.001
0.248,-0.0781,0.3789,0.9361,1.013
0.251,-0.0798,0.3785,0.9459,1.022
0.253,-0.0796,0.3814,0.9532,1.03
0.256,-0.0759,0.3816,0.9562,1.032
0.259,-0.075,0.3838,0.9518,1.029
0.261,-0.0745,0.3843,0.9461,1.024
0.263,-0.0728,0.386,0.9427,1.021
0.266,-0.0713,0.3863,0.9366,1.016
0.268,-0.0715,0.3855,0.9359,1.015
0.271,-0.0703,0.3855,0.932,1.011
0.273,-0.0718,0.3855,0.9295,1.009
0.276,-0.0715,0.3853,0.9303,1.009
0.278,-0.073,0.3824,0.9295,1.008
0.281,-0.0732,0.3816,0.93,1.008
0.283,-0.0767,0.3819,0.9298,1.008
0.287,-0.0784,0.3809,0.9276,1.006
0.288,-0.0801,0.3826,0.9293,1.008
0.291,-0.0784,0.3838,0.9259,1.005
0.293,-0.0798,0.3819,0.9256,1.004
0.296,-0.0796,0.3841,0.9273,1.007
0.299,-0.0808,0.3872,0.9261,1.007
0.302,-0.0816,0.3897,0.9256,1.008
0.303,-0.0825,0.3904,0.9261,1.008
0.306,-0.0833,0.3912,0.9261,1.009
0.309,-0.0835,0.3912,0.9293,1.012
0.311,-0.0833,0.3904,0.9305,1.013
0.313,-0.0842,0.3926,0.9312,1.014
0.316,-0.0847,0.3941,0.9364,1.019
0.32,-0.0842,0.3921,0.9381,1.02
0.321,-0.0862,0.3909,0.9395,1.021
0.323,-0.0852,0.3875,0.9457,1.026
0.326,-0.0833,0.3868,0.9452,1.025
0.328,-0.0847,0.3875,0.9452,1.025
0.331,-0.0833,0.3865,0.9425,1.022
0.333,-0.0776,0.3865,0.94,1.019
0.337,-0.0745,0.3853,0.9381,1.017
0.339,-0.0728,0.3843,0.9359,1.014
0.341,-0.0696,0.3831,0.9359,1.014
0.343,-0.072,0.3833,0.9349,1.013
0.346,-0.0706,0.3836,0.9349,1.013
0.348,-0.0711,0.3836,0.9347,1.013
0.351,-0.0732,0.3831,0.9334,1.012
0.354,-0.072,0.3838,0.931,1.01
0.356,-0.0754,0.3829,0.9325,1.011
0.359,-0.0776,0.3829,0.9312,1.01
0.361,-0.0789,0.3821,0.9286,1.007
0.363,-0.0808,0.3819,0.9288,1.007
0.366,-0.083,0.3802,0.9308,1.009
0.368,-0.0828,0.3809,0.9308,1.009
0.371,-0.0808,0.3846,0.9344,1.014
0.373,-0.0801,0.3846,0.9359,1.015
0.376,-0.0796,0.3848,0.9337,1.013
0.378,-0.0798,0.3853,0.9361,1.015
0.381,-0.0801,0.3855,0.9369,1.016
0.383,-0.0806,0.3833,0.9376,1.016
0.387,-0.0808,0.3824,0.9398,1.018
0.388,-0.0823,0.3831,0.943,1.021
0.391,-0.0808,0.3824,0.9439,1.022
0.393,-0.0835,0.3799,0.9408,1.018
0.396,-0.0813,0.3804,0.9417,1.019
0.398,-0.0835,0.3807,0.9422,1.02
0.401,-0.0862,0.3811,0.9408,1.019
0.404,-0.085,0.3853,0.9403,1.02
0.406,-0.0857,0.3853,0.9452,1.024
0.408,-0.0864,0.386,0.9432,1.023
0.411,-0.0874,0.3858,0.9403,1.02
0.413,-0.0852,0.3848,0.9395,1.019
0.416,-0.0825,0.3841,0.9395,1.018
0.419,-0.0852,0.3841,0.9359,1.015
0.421,-0.0859,0.3838,0.9364,1.016
0.423,-0.0862,0.3836,0.9395,1.018
0.426,-0.0889,0.3833,0.9395,1.019
0.428,-0.0918,0.3848,0.941,1.021
0.431,-0.0918,0.3875,0.94,1.021
0.433,-0.0906,0.3877,0.941,1.022
0.436,-0.0918,0.3897,0.9413,1.023
0.439,-0.0913,0.3897,0.9437,1.025
0.441,-0.0925,0.388,0.9486,1.029
0.443,-0.0911,0.3885,0.9537,1.034
0.446,-0.0896,0.3885,0.9566,1.036
0.448,-0.0884,0.3897,0.9608,1.041
0.451,-0.0869,0.3887,0.963,1.042
0.456,-0.0845,0.3872,0.9608,1.039
0.456,-0.0828,0.3882,0.9586,1.038
0.459,-0.0794,0.3882,0.9559,1.035
0.461,-0.0769,0.388,0.9527,1.032
0.463,-0.0745,0.3887,0.9464,1.026
0.466,-0.0745,0.3872,0.9422,1.021
0.471,-0.0772,0.3836,0.9422,1.02
0.473,-0.0767,0.3814,0.9398,1.017
0.474,-0.0774,0.3821,0.9383,1.016
0.476,-0.0803,0.3807,0.9347,1.012
0.479,-0.0798,0.3826,0.9339,1.012
0.483,-0.0808,0.3794,0.9327,1.01
0.488,-0.0801,0.3826,0.9303,1.009
0.491,-0.0786,0.3829,0.9261,1.005
0.496,-0.0798,0.3821,0.9261,1.005
0.496,-0.0811,0.3853,0.9237,1.004
0.497,-0.0813,0.385,0.9239,1.004
0.497,-0.0813,0.3833,0.9251,1.005
0.499,-0.083,0.3863,0.9291,1.01
0.501,-0.0835,0.3848,0.9327,1.012
0.505,-0.0833,0.3841,0.9359,1.015
0.513,-0.083,0.3853,0.9364,1.016
0.514,-0.0855,0.3858,0.9371,1.017
0.514,-0.0842,0.3848,0.9366,1.016
0.515,-0.0857,0.3843,0.9391,1.018
0.516,-0.085,0.3841,0.9383,1.017
0.52,-0.0862,0.3833,0.9381,1.017
0.523,-0.0864,0.3836,0.9378,1.017
0.526,-0.0857,0.3843,0.9376,1.017
0.527,-0.0842,0.3821,0.9366,1.015
0.528,-0.0842,0.3802,0.9342,1.012
0.531,-0.0857,0.3819,0.9291,1.008
0.533,-0.0847,0.3789,0.9259,1.004
0.537,-0.0837,0.3804,0.9242,1.003
0.543,-0.082,0.3799,0.9232,1.002
0.543,-0.0813,0.376,0.9176,0.995
0.544,-0.0816,0.3794,0.9193,0.998
0.546,-0.082,0.3785,0.92,0.998
0.548,-0.0801,0.3802,0.9203,0.999
0.552,-0.0776,0.3789,0.9203,0.998
0.556,-0.0808,0.3787,0.9227,1.001
0.56,-0.083,0.378,0.9269,1.004
0.561,-0.082,0.3775,0.9295,1.007
0.561,-0.0835,0.378,0.9322,1.009
0.564,-0.0847,0.3767,0.9332,1.01
0.566,-0.0877,0.3765,0.9361,1.013
0.572,-0.0899,0.3741,0.9427,1.018
0.576,-0.0896,0.3728,0.9505,1.025
0.58,-0.0913,0.375,0.9591,1.034
0.581,-0.0889,0.3746,0.9642,1.038
0.581,-0.0877,0.3772,0.9627,1.038
0.582,-0.0884,0.378,0.9586,1.034
0.584,-0.0857,0.3789,0.9579,1.034
0.599,-0.0852,0.3809,0.9574,1.034
0.6,-0.0835,0.3799,0.9571,1.033
0.602,-0.0842,0.3792,0.9566,1.032
0.603,-0.084,0.3789,0.9547,1.031
0.608,-0.0833,0.3753,0.9535,1.028
0.617,-0.0852,0.3767,0.9515,1.027
0.619,-0.0872,0.3743,0.9491,1.024
0.619,-0.0874,0.3755,0.9476,1.023
0.62,-0.0879,0.3748,0.9437,1.019
0.62,-0.0864,0.3748,0.941,1.017
0.62,-0.0835,0.3765,0.9386,1.015
0.621,-0.0842,0.376,0.9334,1.01
0.621,-0.0837,0.3765,0.9339,1.01
0.621,-0.0801,0.376,0.9312,1.007
0.627,-0.0808,0.3775,0.9281,1.005
0.628,-0.0828,0.378,0.9278,1.005
0.628,-0.0808,0.3782,0.9244,1.002
0.634,-0.0847,0.376,0.9237,1.001
0.634,-0.0859,0.3777,0.9229,1.001
0.634,-0.0852,0.3777,0.9222,1
0.636,-0.0837,0.3775,0.9222,1
0.639,-0.0845,0.378,0.919,0.997
0.641,-0.0808,0.3802,0.921,1
0.643,-0.0813,0.3814,0.9193,0.999
0.645,-0.0798,0.3804,0.922,1.001
0.648,-0.0791,0.3792,0.9237,1.002
0.651,-0.0759,0.3789,0.9229,1.001
0.655,-0.0769,0.3767,0.9244,1.001
0.657,-0.0796,0.377,0.9232,1
0.659,-0.0772,0.3763,0.9242,1.001
0.661,-0.0774,0.3758,0.9256,1.002
0.663,-0.0818,0.3753,0.9232,1
0.666,-0.0816,0.3748,0.9251,1.002
0.672,-0.0862,0.377,0.9271,1.005
0.673,-0.0857,0.3775,0.9271,1.005
0.678,-0.0872,0.3799,0.9273,1.006
0.678,-0.0869,0.3809,0.9273,1.006
0.679,-0.085,0.3819,0.9276,1.007
0.681,-0.0884,0.3838,0.9283,1.008
0.683,-0.0896,0.3858,0.9295,1.01
0.688,-0.0903,0.3838,0.9322,1.012
0.69,-0.0908,0.385,0.9322,1.013
0.692,-0.0886,0.3836,0.9342,1.014
0.693,-0.0881,0.3829,0.9376,1.017
0.696,-0.0911,0.3804,0.9395,1.018
0.698,-0.0894,0.3792,0.942,1.019
0.7,-0.0911,0.3792,0.9435,1.021
0.703,-0.0928,0.3767,0.9464,1.023
0.707,-0.0916,0.376,0.9515,1.027
0.709,-0.0913,0.3758,0.9547,1.03
0.711,-0.0881,0.375,0.9544,1.029
0.714,-0.0852,0.3746,0.9513,1.026
0.716,-0.0818,0.3755,0.9486,1.023
0.719,-0.0803,0.3765,0.9461,1.021
0.721,-0.0798,0.3787,0.9435,1.02
0.726,-0.0757,0.377,0.9437,1.019
0.726,-0.0786,0.377,0.9435,1.019
0.728,-0.0794,0.375,0.941,1.016
0.731,-0.0806,0.3746,0.9439,1.019
0.733,-0.0806,0.3724,0.9457,1.02
0.737,-0.0828,0.3702,0.9447,1.018
0.74,-0.0806,0.3702,0.941,1.014
0.742,-0.0825,0.368,0.9381,1.011
0.744,-0.0825,0.3682,0.9337,1.007
0.746,-0.0847,0.3716,0.9288,1.004
0.748,-0.0806,0.3724,0.9269,1.002
0.751,-0.0803,0.3731,0.9251,1.001
0.754,-0.082,0.3731,0.9259,1.002
0.758,-0.084,0.3741,0.9244,1.001
0.763,-0.0852,0.3743,0.9264,1.003
0.764,-0.0859,0.375,0.9271,1.004
0.765,-0.0835,0.375,0.9293,1.006
0.766,-0.0847,0.3748,0.9286,1.005
0.77,-0.0852,0.3733,0.932,1.008
0.777,-0.0869,0.3738,0.9327,1.009
0.778,-0.0862,0.3728,0.9325,1.008
0.778,-0.085,0.3741,0.9312,1.007
0.785,-0.0859,0.3728,0.9325,1.008
0.785,-0.0845,0.375,0.931,1.007
0.79,-0.0872,0.375,0.9305,1.007
0.791,-0.0862,0.3777,0.9286,1.006
0.791,-0.0855,0.3767,0.9295,1.007
0.792,-0.0867,0.377,0.9288,1.006
0.796,-0.0891,0.377,0.9298,1.007
0.796,-0.0889,0.3785,0.9286,1.007
0.799,-0.0872,0.3772,0.9281,1.006
0.801,-0.0899,0.3772,0.9293,1.007
0.804,-0.0918,0.3782,0.9281,1.006
0.806,-0.0933,0.3797,0.9269,1.006
0.808,-0.0923,0.3777,0.9264,1.005
0.811,-0.093,0.3811,0.9254,1.005
0.815,-0.0916,0.3807,0.9259,1.005
0.816,-0.0918,0.3802,0.9259,1.005
0.818,-0.0925,0.3809,0.9256,1.005
0.822,-0.0899,0.378,0.9298,1.008
0.825,-0.0894,0.378,0.9303,1.008
0.826,-0.0894,0.3775,0.9293,1.007
0.828,-0.0923,0.375,0.9281,1.005
0.831,-0.0894,0.3772,0.93,1.008
0.833,-0.0928,0.3792,0.9298,1.008
0.837,-0.0921,0.3777,0.9337,1.011
0.842,-0.094,0.3775,0.9391,1.016
0.842,-0.093,0.3746,0.94,1.016
0.843,-0.0933,0.376,0.9422,1.019
0.845,-0.0923,0.3765,0.94,1.017
0.848,-0.0886,0.3765,0.9393,1.016
0.851,-0.0889,0.3777,0.9354,1.013
0.855,-0.0896,0.378,0.931,1.009
