x,y,z,is_fall
-0.246933,-0.303711,-0.629959,0
0.067108,-0.144958,-0.92572,0
0.00296,-0.178497,-1.17749,0
-0.009674,-0.199646,-0.995483,0
-0.014771,-0.202362,-1.093811,0
-0.023376,-0.162857,-1.037964,0
-0.049118,-0.158447,-0.868683,0
-0.133987,-0.082947,-0.690567,0
-0.241196,0.079712,-1.321915,0
-0.55162,-0.472305,-2.134171,0
0.185883,0.147888,-0.101822,0
0.182526,0.320328,0.332642,0
0.00174,-0.044266,0.283585,0
-0.252197,-0.11322,-0.89386,0
-1.043747,0.963287,-3.939423,0
0.746262,0.424957,-1.404724,0
0.297455,0.579086,0.569824,0
-0.591888,-0.334961,-0.243408,0
-0.011307,0.093857,-0.107834,0
0.073212,0.336075,-0.51181,0
-2.210083,-0.127762,-3.933426,0
-0.027298,0.586365,-1.260422,0
-0.308701,0.452209,0.787369,0
-0.893936,-0.353317,-0.294205,0
-0.101044,0.032974,0.25676,0
-0.191025,0.68782,-2.641953,0
-0.20285,0.710754,-2.879227,0
0.117126,0.520645,-0.212921,0
-0.776062,-0.729874,0.176575,0
0.3759,0.130676,0.015961,0
-0.008804,0.048172,-0.177139,0
-1.984589,-1.409698,-2.781906,0
0.118835,-0.344528,-2.537979,0
0.024292,0.454346,0.58757,0
0.086914,-0.309448,-0.45546,0
-0.087357,-0.003632,0.171509,0
0.024399,0.189957,-1.023392,0
-0.731049,-0.812714,-4.264999,0
-0.013916,0.452637,-0.798355,0
-0.465683,0.008362,-0.344788,0
0.027054,-0.164856,-0.103104,0
-0.071701,0.023376,-0.079742,0
-0.558884,-0.853622,-2.578384,0
-0.293121,-0.45636,-2.058838,0
0.138519,0.738358,0.66568,0
0.119614,-0.099854,-0.049026,0
0.001221,-0.000504,0.114288,0
-0.073441,0.340057,-0.633057,0
-0.107849,-0.540771,-3.764862,0
-0.115021,-0.040222,-1.645874,0
0.112457,0.198837,0.6306,0
0.069748,-0.113464,-0.301025,0
0.00531,0.044479,0.045975,0
-0.011292,0.338058,-1.831497,0
-0.936157,-0.350769,-4.086868,0
0.233337,0.395401,-0.673096,0
-0.635651,-0.024521,-0.139526,0
0.049591,-0.129791,-0.035156,0
0.007996,-0.099686,-0.018188,0
-0.476898,-0.213135,-2.03038,0
-0.46666,-0.013245,-2.030609,0
0.036118,0.336609,0.697708,0
-0.128082,-0.104065,-0.292786,0
0.076889,-0.099014,0.113922,0
-0.026428,0.30864,-0.261948,0
-0.230835,-0.268646,-3.108261,0
-0.36554,0.112595,-1.739319,0
-0.131638,0.048203,-0.691086,0
