x,y,z
0.731186,-0.279663,-0.49588
0.492172,-0.163803,-0.890823
0.175964,-0.202148,-0.921509
0.193893,-0.220596,-0.95871
0.38356,-0.208633,-0.905289
0.232498,0.005539,-0.838577
0.51297,-0.119904,-0.949936
-0.336243,-0.312927,-0.808624
-0.030746,0.019196,-1.145691
0.029816,-0.097626,-0.76033
-0.136505,-0.08754,-0.775497
-0.047165,0.20842,-0.935837
0.054672,0.19371,-1.20369
0.081879,0.235733,-1.007828
0.113205,0.054779,-0.952469
0.237335,0.124451,-0.944809
0.175308,0.146881,-1.529587
0.090942,0.349823,-0.747025
-0.468842,-0.153717,-0.764709
0.176605,-0.090515,-1.156631
-0.07991,-0.16127,-0.818893
0.007919,-0.176605,-1.094223
-0.051834,-0.213135,-1.156052
-0.055695,0.033646,-1.155029
0.191147,0.227921,-0.657425
-0.149597,0.070007,-1.196625
-0.036591,-0.047104,-1.109192
0.043274,-0.046005,-0.95726
0.088669,0.049622,-0.96669
-0.052841,-0.151367,-1.014648
0.206375,0.055206,-1.144653
0.145126,0.263489,-1.198273
-0.354248,0.115631,-0.86937
0.159424,-0.045273,-0.933929
-0.276321,0.036728,-1.113037
-0.179153,-0.106369,-0.9375
-0.167908,-0.129593,-0.910583
-0.227585,-0.190414,-0.880432
-0.197174,-0.218079,-0.944733
-0.146408,-0.283493,-1.106384
-0.214767,-0.187881,-1.096634
0.149246,0.05719,-0.872192
0.061203,0.080612,-0.808746
-0.087173,0.053757,-1.169327
-0.054825,0.055771,-1.016891
0.282578,0.102905,-0.984558
-0.101105,0.106705,-1.042145
0.175156,0.066818,-0.977158
0.168915,-0.003357,-0.998001
0.193497,0.033127,-1.166534
0.205139,0.211426,-0.938187
-0.433319,0.099319,-0.864059
-0.069839,0.110184,-1.030838
-0.145859,0.091995,-1.053696
-0.101852,0.005341,-0.928543
-0.086639,-0.034241,-0.859161
0.100281,0.03653,-0.953781
-0.346298,0.078415,-1.471588
0.216888,0.39473,-1.030975
-0.398331,0.224319,-0.705917
-0.15239,0.129242,-0.818985
0.0103,0.100189,-1.08461
-0.071014,0.079224,-0.981293
0.002731,0.068924,-1.077972
0.075851,0.146973,-1.04689
0.161453,0.262985,-1.108429
-0.158875,0.217041,-0.840042
-0.019653,0.164047,-1.067688
0.127487,0.135956,-1.00975
0.054886,0.176743,-1.004974
-0.042343,0.191376,-1.075653
0.111725,0.051147,-0.990738
0.109253,0.063995,-0.785889
-0.198242,0.085159,-0.982498
-0.07222,0.184174,-1.134079
0.066727,0.135056,-0.996063
-0.005188,0.210236,-0.869797
0.058228,0.207962,-1.037018
-0.074463,0.190292,-0.982178
0.063263,0.182465,-1.120453
0.156067,0.105408,-0.896851
0.054977,0.042542,-0.846268
0.094254,0.389648,-1.112869
-0.38855,0.167053,-1.007706
-0.12413,0.096603,-0.84729
0.034393,0.094574,-0.916534
0.014816,0.035721,-0.926788
-0.133774,0.101501,-0.86824
-0.328018,0.04776,-0.779007
-0.189346,-0.156296,-0.856613
0.015762,-0.310745,-1.020432
-0.021759,-0.083862,-0.665543
-0.152313,0.414474,-1.290955
-0.552246,-0.980453,-1.168152
0.071014,0.291779,-1.880219
0.093094,1.834045,0.821762
0.093658,-0.833969,-1.36084
-0.435318,0.153214,-2.003799
-0.262634,-0.186493,-0.585022
-0.820328,0.845917,-1.906708
-0.375092,0.908813,0.07338
-0.056458,-0.111282,-0.606674
0.072937,0.110275,-1.032135
-0.043503,0.125458,-0.958588
-0.094543,0.202881,-0.986511
-0.055191,0.166504,-0.990555
-0.063217,0.193069,-0.991638
-0.057266,0.176041,-0.98645
-0.069687,0.168198,-0.967346
-0.052139,0.161331,-0.995193
-0.069962,0.172089,-0.971497
-0.061859,0.157455,-0.991119
-0.054062,0.164993,-0.966766
-0.056732,0.164703,-0.9823
-0.038574,0.169266,-0.989288
-0.021545,0.173187,-0.979111
-0.048355,0.17186,-0.98642
-0.034683,0.183426,-0.98172
-0.075546,0.168533,-0.97438
-0.038605,0.162048,-0.979599
-0.048065,0.167297,-0.992233
-0.03215,0.168152,-1.009445
0.013611,0.138885,-1.024628
-0.087585,0.185181,-0.976807
-0.057755,0.168716,-0.98613
-0.016617,0.069656,-1.024475
-0.027542,0.112839,-0.969193
-0.051422,0.120667,-0.991272
-0.081451,0.141754,-0.990463
-0.132462,0.207535,-0.972412
-0.097092,0.152985,-0.991577
-0.089645,0.153885,-1.038406
-0.095215,0.112717,-1.064651
-0.151184,-0.002853,-0.941757
-0.112045,-0.008301,-0.950668
-0.156219,0.065674,-1.068192
-0.226456,0.074921,-0.947128
-0.146332,0.077362,-1.030533
-0.185593,0.064438,-1.072723
-0.052536,-0.051376,-1.125534
-0.433304,-0.100159,-0.949936
-0.186295,-0.15329,-1.111526
-0.148636,-0.175049,-1.269104
-0.075699,-0.143097,-0.964859
-0.040421,-0.01944,-1.402954
-0.261795,-0.075943,-1.06012
-0.200134,-0.111313,-0.993866
-0.169754,-0.077393,-0.801605
-0.126663,-0.090195,-0.678238
-0.198593,-0.065948,-0.900604
-0.054855,-0.194458,-0.765366
-0.041824,-0.115997,-0.81102
0.117477,0.076019,-0.924515
0.069077,0.08197,-1.077408
-0.100159,-0.003983,-0.98053
-0.134842,-0.083527,-0.996155
-0.099976,-0.08429,-0.907562
0.001175,-0.024231,-0.96785
-0.056335,-0.157532,-1.012924
-0.049942,-0.035004,-1.002594
-0.246658,-0.104492,-1.028839
0.004791,0.211731,-1.180634
0.049408,0.032135,-0.974716
-0.058273,0.058624,-1.12291
-0.09256,0.02861,-0.795914
0.075668,0.085434,-1.005188
0.003082,0.231171,-0.979355
-0.079391,0.310013,-0.979645
-0.016907,0.234802,-0.983139
-0.004562,0.204056,-0.938309
-0.25708,0.237854,-1.144012
-0.112686,0.310013,-0.859222
-0.166245,0.204224,-0.899048
-0.264786,0.31398,-0.845474
-0.297974,0.250092,-0.870056
-0.252899,0.198181,-0.7827
-0.079391,0.224564,-1.016342
-0.117401,0.144897,-0.98645
-0.269012,0.029922,-1.250183
-0.063431,-0.080948,-1.030823
0.019409,0.115158,-1.001877
-0.156616,-0.062469,-0.875778
-0.274902,-0.099457,-0.942719
-0.160797,0.005768,-1.131027
-0.051422,-0.049911,-0.843842
-0.233109,-0.097931,-1.054245
-0.17067,-0.071396,-0.916473
-0.176865,-0.035965,-1.00444
-0.150467,-0.017426,-0.999405
-0.110123,0.02594,-0.875305
-0.152847,0.023804,-1.176682
-0.129562,0.072891,-0.829422
-0.265289,0.094437,-1.025574
-0.190399,0.156662,-1.071198
-0.158417,0.053268,-0.906525
-0.102722,0.155914,-1.32103
-0.403671,0.188095,-0.912567
-0.346161,0.283386,-0.991821
-0.269501,0.329544,-1.010056
-0.200012,0.406921,-0.92807
-0.147949,0.407043,-0.811081
-0.12529,0.352615,-0.854767
-0.11972,0.39325,-0.756744
-0.085175,0.388596,-0.65921
-0.123993,0.440308,-0.924423
-0.270004,0.368134,-0.984253
-0.297958,0.317673,-1.043594
-0.103149,0.187195,-0.817566
-0.119446,0.082779,-0.78418
-0.285461,0.06134,-1.07193
-0.305969,0.023026,-1.304184
-0.079926,0.37204,-0.895966
-0.132065,0.46608,-0.653122
-0.238205,0.189743,-0.962952
-0.129471,0.339355,-1.009766
-0.232925,0.270081,-0.896317
-0.12088,0.277435,-1.011688
-0.060303,0.153961,-0.916397
0.067169,0.171082,-1.039261
-0.122314,0.468475,-0.902985
-0.308472,0.436081,-0.919266
-0.290649,0.135544,-0.840729
-0.221207,0.199539,-1.049042
-0.125656,0.1996,-0.700577
-0.290649,0.067627,-0.344925
-0.37648,-0.406326,-0.807861
0.005142,-0.845856,-1.374802
-0.310303,0.344406,-0.816833
-0.393845,0.444275,-0.369888
-1.252274,0.825439,-0.302917
-0.44104,0.107605,-0.865372
-2.062057,1.295654,-1.480026
-0.407913,0.612167,-0.370377
-0.198746,0.603806,-0.530365
-0.596344,0.059433,-0.79216
-1.421936,0.515945,0.559128
-1.174057,0.055969,-0.151047
-0.403168,-0.12114,0.083786
-4.708389,1.66037,0.988312
-1.473633,0.120544,-0.180008
-0.330612,-0.007751,-0.169281
-1.26622,0.178558,-1.522903
-0.737823,0.177811,-1.475967
-0.137802,0.260834,-1.102264
-0.520111,0.308182,-0.94017
-0.356995,0.227356,-0.867249
-0.521729,0.361801,-0.931061
-0.147537,0.244659,-1.038498
-0.00238,0.295776,-0.947006
-0.271347,0.268478,-1.046173
0.133591,0.179123,-0.90593
0.17778,0.106567,-0.981689
0.168533,0.07579,-0.994293
0.093292,0.146469,-0.919022
0.329727,-0.013733,-0.936676
0.315842,0.057404,-0.914658
0.364944,-0.02475,-0.901398
0.231201,0.143814,-0.937225
0.362823,0.233795,-0.805328
0.698914,0.177139,-1.009308
0.239487,0.413803,-1.152863
0.00209,0.041153,-0.871017
0.429031,-0.571915,-1.322571
0.26976,-0.145111,-0.986969
0.108459,-0.374222,-0.252625
0.219955,-0.176697,-0.736801
0.647522,-0.188705,-0.653351
1.238266,-0.105362,-0.560715
0.78154,0.074402,-0.732666
0.758575,0.018631,-0.454193
0.759995,0.33107,-1.001175
0.775101,0.414459,-0.96788
0.485779,0.433823,-1.093765
0.255493,0.532837,-0.970963
0.301453,0.544525,-0.95639
0.167908,0.625153,-0.77977
0.131561,0.45256,-0.574768
-0.01268,0.326782,-0.508011
-0.405716,0.348312,-0.782318
-0.485367,0.532837,-0.739822
-0.201782,0.425034,-0.638046
