x,y,z,is_fall
-0.255249,-0.271332,-0.904449,0
-0.149658,-0.229172,-0.902908,0
-0.046951,-0.282608,-1.147873,0
-0.273529,-0.163788,-0.581497,0
0.025726,-0.100876,-0.85376,0
-0.608185,0.148621,-0.661667,0
-0.198257,0.236557,-1.103577,0
0.377548,-0.166733,-1.014908,0
-0.22702,-0.373001,-2.16951,0
0.019806,-0.011963,-0.865829,0
-0.319672,0.369095,0.486282,0
-0.843491,0.099228,-2.533661,0
0.068863,0.249802,-1.452835,0
-0.510452,-0.456573,0.246704,0
-0.064697,-0.279617,-2.419693,0
0.169022,-0.12735,-0.183243,0
-0.423309,0.567993,-0.391342,0
-0.614395,1.09729,-2.929382,0
-0.124359,-0.11348,0.312088,0
0.044189,-0.34581,-0.291382,0
0.331696,0.4245,-3.13176,0
0.690079,0.14743,-0.167389,0
-0.835464,0.672882,-0.485107,0
0.001801,0.634109,-2.432281,0
-0.255951,-0.041046,0.098755,0
-0.29007,-0.081848,-0.520386,0
0.207001,0.241272,-3.06366,0
-0.16095,0.345093,0.811829,0
-0.593658,0.439819,-0.878815,0
-1.072479,1.236389,-2.357986,0
0.018539,-0.165619,-0.081558,0
-0.145645,-0.097733,-0.52684,0
-0.396988,-0.0168,-2.751648,0
0.295212,0.328278,-0.16185,0
-1.099335,0.39003,0.075714,0
-0.135239,0.824203,-1.887711,0
-0.006714,-0.287872,-0.363342,0
-0.019852,-0.177933,-0.430283,0
-0.452393,-0.122482,-3.276535,0
0.332458,0.090286,0.306122,0
-0.429214,0.523697,-0.232391,0
-0.608902,0.667587,-2.656387,0
0.23172,0.054138,-0.025757,0
-0.016663,-0.44426,-0.463577,0
0.368225,-0.383499,-2.770554,0
0.23674,0.363358,0.456161,0
-0.422089,0.276428,-0.234894,0
0.060333,0.59787,-2.053009,0
-0.080322,0.050049,0.352997,0
0.120422,-0.693451,-1.338715,0
-0.125656,-0.440964,-1.985062,0
0.096634,-0.017288,0.024658,0
0.081284,0.51239,-0.469345,0
0.039154,0.567734,-2.537125,0
-0.914337,-0.167236,0.401962,0
-0.237839,-0.428787,-0.955078,0
0.309555,-0.063217,-3.501541,0
0.176315,0.290878,0.637756,0
-1.160873,0.304214,-0.558167,0
0.275772,0.850372,-2.419083,0
-0.420013,-0.309128,0.242462,0
0.014145,-0.411972,-1.012085,0
0.224457,-0.146317,-2.789841,0
0.424622,0.126175,0.571472,0
-0.251175,0.027176,-0.46994,0
-0.322083,-0.002411,-1.921936,0
-0.010864,0.528076,0.132797,0
-0.269867,-0.381058,-1.271133,0
-0.076797,-0.406677,-2.72699,0
-0.14325,-0.221222,-0.33342,0
0.027634,0.15976,-0.190964,0
-0.107651,-0.205872,-2.057114,0
-0.133392,0.116287,-0.068604,0
0.163757,-0.294693,-1.021912,0
-0.132324,-0.751099,-1.436859,0
-0.234634,-0.145233,-0.428452,0
-0.21402,0.017014,-1.026962,0
