x,y,z,vector,angle
0.584625,-0.819427,-0.551849,1.147947872,0.534346043
0.288208,-0.56958,-0.729263,0.969179937,0.301940057
0.191299,-0.658798,-0.958282,1.178522169,0.163042484
0.174316,-0.588196,-1.011169,1.182718626,0.147924743
-0.094543,-0.709366,-0.835403,1.10001667,-0.086053046
-0.313339,-0.778076,-0.362808,0.913900014,-0.349958869
-0.025528,-0.579742,-0.927078,1.093721209,-0.02334262
-0.081528,-0.528183,-1.050797,1.178897125,-0.069211405
-0.09108,-0.573074,-0.809753,0.996197419,-0.091555517
-0.118866,-0.583466,-0.740219,0.949992562,-0.12545189
-0.165985,-0.471863,-0.697769,0.858537878,-0.194559648
-0.177094,-0.460342,-0.641617,0.809289452,-0.220611688
-0.157425,-0.528656,-0.608322,0.821167128,-0.192902989
-0.375809,-0.613876,-0.610397,0.94374819,-0.40956351
-0.180542,-0.56572,-0.656616,0.885312998,-0.205370753
-0.118408,-0.622086,-0.490356,0.800912263,-0.148385343
-0.494476,-0.644974,-0.556274,0.984854679,-0.526002414
-0.58374,-0.228622,-0.781647,1.001994231,-0.6218972
0.872406,-0.392105,-0.461044,1.061791001,0.9642757
-1.436539,0.57724,-1.840622,2.405148574,-0.640101206
-1.651031,0.1642,-0.488754,1.72966629,-1.268103714
-1.437241,-0.29451,0.045944,1.467824473,-1.366303391
0.380249,0.703873,0.478531,0.932211575,0.420152716
-0.141418,0.550049,-4.181732,4.220122685,-0.033516675
-0.108383,0.184052,-1.045639,1.067231433,-0.101730672
-0.089127,0.478882,-1.176712,1.273547299,-0.070040518
-0.066681,0.184067,-0.955475,0.975325326,-0.06842133
-0.151489,0.121948,-0.954773,0.974377603,-0.156105833
-0.125839,0.061813,-0.99147,1.001333642,-0.126004567
-0.136917,0.121262,-1.051743,1.067527084,-0.128610488
-0.253113,0.114975,-1.09877,1.133393557,-0.225222382
-0.318024,0.02562,-0.851608,0.909412907,-0.357253574
-0.476944,0.064743,-1.003036,1.112541439,-0.443050849
-0.395203,0.04039,-0.751282,0.849847873,-0.483666164
-0.679321,-0.212845,-0.590118,0.92467252,-0.825167124
-0.422119,0.024551,-1.028946,1.112437447,-0.389206246
-0.180954,-0.006393,-0.896011,0.91412304,-0.199269826
-0.424759,0.022583,-0.546371,0.692424342,-0.660405847
-0.135422,-0.065018,-1.02951,1.040412081,-0.130532254
-0.074265,0.024994,-0.80162,0.805440634,-0.092335338
-0.061996,-0.016663,-0.942291,0.944475245,-0.065687912
-0.001389,0.006683,-0.988815,0.988838559,-0.001404679
0.006241,0.023163,-0.997665,0.997953369,0.00625384
0.004288,0.022308,-1.0009,1.001157752,0.004283054
0.005219,0.023422,-1.001602,1.001889412,0.005209181
0.004166,0.023514,-1.001709,1.001993605,0.004157723
0.004837,0.0233,-1.00061,1.000892931,0.004832704
0.004669,0.021683,-1.00267,1.002915291,0.004655445
0.005066,0.022614,-1.001846,1.002113998,0.005055335
-0.055435,0.066559,-0.982742,0.986552066,-0.05622026
