time,x,y,z,TgF
0.0070,-0.2595,0.5987,0.8160,1.04
0.0930,-0.2366,0.5784,0.8040,1.02
0.1930,-0.1829,0.5662,0.8568,1.04
0.3000,-0.1836,0.5604,0.8495,1.03
0.3940,-0.0735,0.5035,0.8387,0.98
0.4950,-0.0200,0.4725,0.9146,1.03
0.5950,-0.0684,0.4964,0.8951,1.03
0.6960,-0.0393,0.4837,0.8709,1.00
0.8010,-0.0339,0.4749,0.8936,1.01
0.9220,-0.0215,0.4700,0.8932,1.01
0.9980,-0.0369,0.4756,0.9041,1.02
1.1030,-0.0298,0.4678,0.8961,1.01
1.2080,-0.0349,0.4678,0.8878,1.00
1.3230,-0.0369,0.4739,0.8968,1.02
1.3930,-0.0278,0.4683,0.9012,1.02
1.5150,-0.0322,0.4715,0.8988,1.02
1.5920,-0.0266,0.4695,0.8956,1.01
1.6930,-0.0325,0.4688,0.8976,1.01
1.7950,-0.0295,0.4732,0.8966,1.01
1.8940,-0.0352,0.4749,0.8990,1.02
1.9990,-0.0359,0.4700,0.8990,1.02
2.1220,-0.0349,0.4725,0.8998,1.02
2.2180,-0.0374,0.4717,0.8971,1.01
2.3390,-0.0386,0.4729,0.8980,1.02
2.4210,-0.0303,0.4700,0.9046,1.02
2.5220,-0.0315,0.4639,0.9027,1.02
2.6230,-0.0386,0.4766,0.8973,1.02
2.6990,-0.0313,0.4598,0.9002,1.01
2.8010,-0.0364,0.4678,0.8946,1.01
2.9170,-0.0327,0.4625,0.8963,1.01
3.0020,-0.0466,0.4612,0.9005,1.01
3.1030,-0.0315,0.4439,0.9073,1.01
3.2030,-0.0435,0.4561,0.9220,1.03
3.3040,-0.0447,0.4505,0.8951,1.00
3.4040,-0.1174,0.4295,0.8893,0.99
3.5040,-0.0789,0.2884,1.0353,1.08
3.6040,-0.1167,0.3255,0.9439,1.01
3.7050,-0.0979,0.3457,0.9376,1.00
3.8050,-0.1128,0.2776,1.0272,1.07
3.9050,-0.0896,0.3267,0.9115,0.97
4.0060,-0.1245,0.3706,1.0086,1.08
4.1070,-0.0901,0.3965,0.8976,0.99
4.2080,-0.1209,0.3299,1.0409,1.10
4.3080,-0.1387,0.3736,0.8104,0.90
4.4080,-0.1621,0.3120,0.9171,0.98
4.5090,-0.1179,0.2830,0.9776,1.02
4.6090,-0.0903,0.2874,0.8714,0.92
4.7090,-0.0767,0.2852,1.0155,1.06
4.8090,-0.0676,0.2862,0.9911,1.03
4.9110,-0.0391,0.2845,0.9569,1.00
5.0310,-0.0308,0.2732,0.9740,1.01
5.1110,-0.0581,0.2996,0.9630,1.01
5.2130,-0.0454,0.2884,0.9852,1.03
5.3140,-0.0452,0.2952,0.9425,0.99
5.4140,-0.0501,0.2879,0.9659,1.01
5.5140,-0.0466,0.2920,0.9691,1.01
5.6140,-0.0654,0.2842,0.9720,1.01
5.7150,-0.0584,0.2840,0.9801,1.02
5.8150,-0.0596,0.3081,0.9498,1.00
5.9150,-0.0386,0.3340,0.9769,1.03
6.0160,0.0017,0.3116,0.9376,0.99
6.1180,-0.0056,0.3030,0.9654,1.01
6.2180,-0.0051,0.3011,0.9850,1.03
6.3170,-0.0134,0.3167,0.9571,1.01
6.4180,0.0083,0.3147,0.9522,1.00
6.5190,0.0098,0.3059,0.9696,1.02
6.6190,-0.0032,0.3160,0.9686,1.02
6.7190,0.0049,0.3103,0.9584,1.01
6.8200,0.0056,0.3123,0.9669,1.02
6.9200,0.0095,0.3069,0.9649,1.01
7.0200,0.0142,0.2981,0.9579,1.00
7.1210,0.0042,0.3055,0.9544,1.00
7.2210,0.0061,0.3047,0.9637,1.01
7.3220,0.0037,0.3098,0.9657,1.01
7.4210,0.0056,0.3084,0.9632,1.01
7.5220,-0.0054,0.3098,0.9681,1.02
7.6220,0.0010,0.3052,0.9696,1.02
7.7220,0.0029,0.3076,0.9615,1.01
7.8230,0.0005,0.3138,0.9613,1.01
7.9230,0.0046,0.3076,0.9671,1.01
8.0230,0.0059,0.3116,0.9623,1.01
8.1240,0.0049,0.3101,0.9720,1.02
8.2240,0.0103,0.3123,0.9671,1.02
8.3250,0.0090,0.3152,0.9459,1.00
8.4250,0.0071,0.3152,0.9510,1.00
8.5260,0.0112,0.3103,0.9701,1.02
8.6260,0.0044,0.3164,0.9603,1.01
8.7270,0.0020,0.3133,0.9657,1.02
8.8270,0.0098,0.3138,0.9691,1.02
8.9280,0.0029,0.3160,0.9615,1.01
9.0280,0.0037,0.3125,0.9562,1.01
9.1280,0.0090,0.3164,0.9493,1.00
9.2300,0.0095,0.3262,0.9806,1.03
9.3310,0.0063,0.3118,0.9703,1.02
9.4310,0.0093,0.3142,0.9618,1.01
9.5310,0.0068,0.3199,0.9625,1.01
9.6320,0.0056,0.3174,0.9659,1.02
9.7320,0.0044,0.3213,0.9701,1.02
9.8340,0.0098,0.3172,0.9596,1.01
9.9340,0.0105,0.3155,0.9557,1.01
10.0350,0.0063,0.3177,0.9574,1.01
10.1360,0.0090,0.3162,0.9596,1.01
10.2370,0.0100,0.3194,0.9620,1.01
10.3380,0.0010,0.3233,0.9625,1.02
10.4390,0.0073,0.3216,0.9667,1.02
10.5370,0.0090,0.3186,0.9703,1.02
10.6380,0.0146,0.3240,0.9679,1.02
10.7390,0.0200,0.3225,0.9544,1.01
10.8390,0.0176,0.3250,0.9403,1.00
10.9400,0.0168,0.3343,0.9691,1.03
11.0410,0.0315,0.3479,0.9820,1.04
11.1410,0.0686,0.3611,0.9161,0.99
11.2420,0.0703,0.3711,0.9566,1.03
11.3420,0.0872,0.3985,0.9305,1.02
11.4420,0.1409,0.4158,0.8685,0.97
11.5430,0.1441,0.4395,0.8582,0.97
11.6430,0.1904,0.4600,0.8497,0.98
11.7440,0.1953,0.4556,0.8809,1.01
11.8450,0.1912,0.4568,0.8773,1.01
11.9450,0.1919,0.4490,0.8919,1.02
