time,x,y,z,TgF
0.0610,-0.1150,0.4637,0.8827,1.00
0.1590,-0.1409,0.3313,0.9542,1.02
0.2620,-0.1477,0.4505,0.6444,0.80
0.3600,-0.1360,0.4075,0.9034,1.00
0.4600,-0.1216,0.4649,0.6824,0.83
0.5630,-0.1060,0.5154,0.8758,1.02
0.6610,-0.3496,0.5132,1.1390,1.30
0.7630,-0.2586,0.4143,1.3290,1.42
0.8630,-0.1626,0.5596,0.6243,0.85
0.9630,-0.1675,0.4422,0.6881,0.83
1.0630,-0.0764,0.4402,0.6487,0.79
1.1720,0.0093,0.5235,0.8927,1.03
1.2660,0.0256,0.4986,1.2235,1.32
1.3780,-0.0129,0.4212,1.2242,1.29
1.4660,0.0684,0.4734,0.7801,0.92
1.5630,-0.0466,0.5164,0.6180,0.81
1.6640,-0.0339,0.5018,0.7955,0.94
1.7650,-0.1282,0.6473,0.8748,1.10
1.8630,-0.4551,0.5877,1.2304,1.44
1.9650,-0.2581,0.5445,0.4473,0.75
2.0640,-0.2066,0.4764,0.5872,0.78
2.1740,-0.1340,0.4656,0.8912,1.01
2.2680,-0.1470,0.4688,1.1796,1.28
2.3680,-0.0449,0.2163,1.2716,1.29
2.4660,-0.3391,0.2156,1.1600,1.23
2.5870,-0.4603,0.3462,0.6412,0.86
2.6840,-0.3304,0.3780,0.7222,0.88
2.7810,-0.4036,0.3616,0.9234,1.07
2.8830,-0.4795,0.2959,0.9549,1.11
2.9820,-0.3269,-0.0901,1.1439,1.19
3.0640,-0.5801,-0.0303,0.6766,0.89
3.1640,-0.6173,-0.0237,0.6773,0.92
3.2640,-0.7699,-0.1404,0.9049,1.20
3.3640,-0.9049,-0.2964,0.8673,1.29
3.4650,-0.7459,-0.6414,0.7657,1.25
3.5650,-0.7928,-0.4974,0.9796,1.35
3.6650,-0.9281,0.0042,0.3770,1.00
3.7650,-0.6192,-0.1751,0.4344,0.78
3.8660,-0.2578,-0.3904,0.3565,0.59
3.9660,-0.9813,-0.2783,0.4434,1.11
4.0670,-0.9984,-0.4415,0.2183,1.11
4.1670,-0.9918,-0.7772,0.7816,1.48
4.2670,-0.7413,-0.2952,0.0559,0.80
4.3670,-1.0751,-0.4256,0.0381,1.16
4.4690,-1.1547,-0.2176,0.3909,1.24
4.5700,-0.8880,-0.1946,-0.2552,0.94
4.6910,-1.0670,-0.0344,0.0313,1.07
4.7710,-1.3532,-0.1497,-0.0327,1.36
4.8700,-1.0301,-0.1699,0.3291,1.09
4.9980,-0.7799,0.2718,0.2937,0.88
5.0710,-0.6505,-0.1941,-0.0110,0.68
5.1710,-0.7918,0.1074,0.0244,0.80
5.2720,-1.1847,0.4480,0.0681,1.27
5.3720,-1.0582,0.3221,0.0356,1.11
5.4740,-1.0843,0.0715,0.0088,1.09
5.5740,-0.9061,-0.0906,0.1848,0.93
5.6750,-0.8910,-0.0816,-0.0535,0.90
5.7750,-0.8407,-0.0667,-0.1035,0.85
5.8750,-1.2570,0.2029,0.2261,1.29
5.9750,-1.2357,0.1182,0.2503,1.27
6.0760,-0.9300,-0.1751,0.4949,1.07
6.1770,-1.2228,0.2324,0.4605,1.33
6.2770,-0.5950,0.1377,0.1297,0.62
6.3790,-0.8338,0.3030,0.3777,0.96
6.4910,-0.9081,0.5377,0.2644,1.09
6.5800,-1.0834,0.3868,0.0337,1.15
6.6800,-0.9254,0.1504,0.4273,1.03
6.7800,-0.9193,0.1497,0.3628,1.00
6.8810,-0.6712,0.1587,0.0603,0.69
6.9810,-0.8866,0.1795,0.0767,0.91
7.0810,-1.0438,0.1467,0.1113,1.06
